"","rules","support","confidence","lift","laplace"
"1","{X1=-1,X5=[-Inf;0],X8=-1} => {Y=-1}",0.0884244372990354,1,1.80289855072464,0.982456140350877
"2","{X5=[-Inf;0],X8=-1,X11=-1} => {Y=-1}",0.14951768488746,0.98936170212766,1.78371877890842,0.979166666666667
"3","{X3=(-0.6994645; Inf],X8=-1,X13=[-Inf;-0.895]} => {Y=-1}",0.0562700964630225,1,1.80289855072464,0.972972972972973
"4","{X8=1,X9=1,X14=(-0.99016; Inf]} => {Y=1}",0.147909967845659,0.978723404255319,2.19771103771411,0.96875
"5","{X7=[-Inf;-0.9108775],X8=-1,X11=1} => {Y=-1}",0.114147909967846,0.959459459459459,1.7298080689385,0.947368421052632
"6","{X7=(-0.9108775; Inf],X8=-1,X9=1} => {Y=-1}",0.022508038585209,1,1.80289855072464,0.9375
"7","{X4=[-Inf;-0.5],X5=(0;0.4615385],X8=-1} => {Y=-1}",0.0401929260450161,0.961538461538462,1.73355629877369,0.928571428571429
"8","{X4=(-0.5; Inf],X8=1,X13=[-Inf;-0.895]} => {Y=1}",0.184887459807074,0.934959349593496,2.09943940594641,0.928
"9","{X1=1,X8=-1,X11=-1} => {Y=-1}",0.178456591639871,0.932773109243697,1.68169528681038,0.925619834710744
"10","{X8=1,X9=1,X10=(-0.9253735; Inf]} => {Y=1}",0.22508038585209,0.927152317880795,2.08190881488034,0.92156862745098
"11","{X8=1,X9=-1,X14=(-0.99016; Inf]} => {Y=1}",0.0321543408360129,0.952380952380952,2.13855939487708,0.91304347826087
"12","{X5=[-Inf;0],X6=[-Inf;-0.875],X14=[-Inf;-0.99016]} => {Y=-1}",0.0707395498392283,0.916666666666667,1.65265700483092,0.9
"13","{X5=[-Inf;0],X9=-1,X13=(-0.895; Inf]} => {Y=-1}",0.178456591639871,0.895161290322581,1.61388499298738,0.888888888888889
"14","{X6=(0.625; Inf],X8=-1,X13=[-Inf;-0.895]} => {Y=-1}",0.0112540192926045,1,1.80289855072464,0.888888888888889
"15","{X3=[-Inf;-0.6994645],X5=(0.4615385; Inf],X8=1} => {Y=1}",0.0723472668810289,0.882352941176471,1.98131238054789,0.867924528301887
"16","{X4=[-Inf;-0.5],X9=-1,X14=[-Inf;-0.99016]} => {Y=-1}",0.133440514469453,0.864583333333333,1.55875603864734,0.857142857142857
"17","{X3=(-0.6994645; Inf],X6=(-0.875;0.625],X8=1} => {Y=1}",0.146302250803859,0.850467289719626,1.90971355308884,0.844036697247706
"18","{X1=-1,X5=(0.4615385; Inf],X11=-1} => {Y=1}",0.045016077170418,0.8,1.79638989169675,0.783783783783784
"19","{X6=(0.625; Inf],X8=1,X9=-1} => {Y=1}",0.0418006430868167,0.764705882352941,1.71713739647484,0.75
"20","{X5=[-Inf;0],X11=1,X14=[-Inf;-0.99016]} => {Y=-1}",0.117363344051447,0.737373737373737,1.32941004245352,0.732673267326733
"21","{X5=(0.4615385; Inf]} => {Y=1}",0.165594855305466,0.715277777777778,1.60614721219414,0.712328767123288
"22","{X5=(0;0.4615385],X13=(-0.895; Inf],X14=[-Inf;-0.99016]} => {Y=-1}",0.12540192926045,0.709090909090909,1.27841897233202,0.705357142857143
"23","{X1=1,X11=-1,X14=[-Inf;-0.99016]} => {Y=-1}",0.191318327974277,0.695906432748538,1.25464869904229,0.69364161849711
"24","{X5=(0.4615385; Inf],X6=[-Inf;-0.875]} => {Y=1}",0.00160771704180064,1,2.24548736462094,0.666666666666667
"25","{X6=[-Inf;-0.875],X8=1,X9=1} => {Y=1}",0.00803858520900321,0.714285714285714,1.60391954615781,0.666666666666667
"26","{X5=(0.4615385; Inf],X10=[-Inf;-0.9253735],X14=[-Inf;-0.99016]} => {Y=-1}",0.0546623794212219,0.53125,0.957789855072464,0.53030303030303
"27","{X3=[-Inf;-0.6994645],X4=(-0.5; Inf],X5=(0;0.4615385]} => {Y=1}",0.0643086816720257,0.43010752688172,0.965801017041264,0.431578947368421
"28","{X5=[-Inf;0],X7=(-0.9108775; Inf],X13=(-0.895; Inf]} => {Y=1}",0.0369774919614148,0.418181818181818,0.939021988841483,0.421052631578947
"29","{X9=-1,X11=1,X13=(-0.895; Inf]} => {Y=1}",0.045016077170418,0.239316239316239,0.537381591533216,0.243697478991597
"30","{X6=(0.625; Inf],X10=(-0.9253735; Inf],X11=1} => {Y=-1}",0.00643086816720257,0.210526315789474,0.379557589626239,0.238095238095238
"31","{X1=-1,X5=(0.4615385; Inf],X9=1} => {Y=-1}",0.0112540192926045,0.179487179487179,0.323597175771089,0.195121951219512
"32","{} => {Y=-1}",0,0,0,0
