"","rules","support","confidence","lift","laplace"
"1","{surgery=no,pain=alert no pain,outcome=lived} => {surgical_lesion=no}",0.0876132930513595,1,2.71311475409836,0.967741935483871
"2","{surgery=yes,capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}",0.0845921450151057,1,1.58373205741627,0.966666666666667
"3","{surgery=yes,peristalsis=hypomotile,outcome=died} => {surgical_lesion=yes}",0.0785498489425982,1,1.58373205741627,0.964285714285714
"4","{surgery=yes,nasogastric_tube=slight,abdomen=distended large intestine} => {surgical_lesion=yes}",0.0755287009063444,1,1.58373205741627,0.962962962962963
"5","{surgery=yes,pulse=(58; Inf],outcome=lived} => {surgical_lesion=yes}",0.193353474320242,0.96969696969697,1.5357401768885,0.955882352941177
"6","{surgery=yes,abdomen=distended small intestine} => {surgical_lesion=yes}",0.117824773413897,0.975,1.54413875598086,0.952380952380952
"7","{surgery=yes,pain=continuous severe pain} => {surgical_lesion=yes}",0.11178247734139,0.973684210526316,1.54205489801058,0.95
"8","{peristalsis=absent,nasogastric_reflux=none,abdomen=distended large intestine} => {surgical_lesion=yes}",0.0453172205438066,1,1.58373205741627,0.941176470588235
"9","{respiratory_rate=(59; Inf],abdomen=} => {surgical_lesion=yes}",0.0453172205438066,1,1.58373205741627,0.941176470588235
"10","{surgery=yes,temp_extremities=normal,rectal_examination=absent} => {surgical_lesion=yes}",0.0422960725075529,1,1.58373205741627,0.9375
"11","{nasogastric_tube=none,abdomen=distended small intestine} => {surgical_lesion=yes}",0.0392749244712991,1,1.58373205741627,0.933333333333333
"12","{peripheral_pulse=,abdomen=distended large intestine} => {surgical_lesion=yes}",0.0392749244712991,1,1.58373205741627,0.933333333333333
"13","{surgery=yes,rectal_examination=decreased} => {surgical_lesion=yes}",0.0785498489425982,0.962962962962963,1.525075314549,0.931034482758621
"14","{mucous_membranes=pale pink,pain=intermittent severe pain} => {surgical_lesion=yes}",0.0332326283987915,1,1.58373205741627,0.923076923076923
"15","{peripheral_pulse=reduced,mucous_membranes=pale pink,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}",0.0332326283987915,1,1.58373205741627,0.923076923076923
"16","{surgery=yes,temp_extremities=normal,abdomen=distended large intestine} => {surgical_lesion=yes}",0.0332326283987915,1,1.58373205741627,0.923076923076923
"17","{surgery=no,peripheral_pulse=normal,outcome=lived} => {surgical_lesion=no}",0.181268882175227,0.923076923076923,2.50441361916772,0.91044776119403
"18","{peristalsis=absent,nasogastric_tube=none,outcome=died} => {surgical_lesion=yes}",0.027190332326284,1,1.58373205741627,0.909090909090909
"19","{rectal_examination=absent,outcome=died} => {surgical_lesion=yes}",0.0845921450151057,0.933333333333333,1.47814992025518,0.90625
"20","{surgery=yes,peristalsis=} => {surgical_lesion=yes}",0.0694864048338369,0.92,1.45703349282297,0.888888888888889
