"","rules","support","confidence","lift","laplace"
"1","{A9=t,A10=t,A15=(492; Inf]} => {class=+}",0.156451612903226,0.97979797979798,2.20099546186503,0.97029702970297
"2","{A8=[-Inf;1.27],A9=f,A13=g} => {class=-}",0.311290322580645,0.969849246231156,1.74798410657941,0.965174129353234
"3","{A9=t,A10=t,A14=[-Inf;99.5]} => {class=+}",0.141935483870968,0.956521739130435,2.14870825456837,0.946808510638298
"4","{A8=(1.27; Inf],A9=f,A10=t} => {class=-}",0.0258064516129032,1,1.80232558139535,0.944444444444444
"5","{A4=y,A9=t,A15=(492; Inf]} => {class=+}",0.0241935483870968,1,2.2463768115942,0.941176470588235
"6","{A4=u,A7=h,A9=t} => {class=+}",0.112903225806452,0.921052631578947,2.06903127383677,0.91025641025641
"7","{A3=(4.2075; Inf],A6=x,A8=(1.27; Inf]} => {class=+}",0.0145161290322581,1,2.2463768115942,0.909090909090909
"8","{A1=a,A6=cc} => {class=+}",0.0145161290322581,1,2.2463768115942,0.909090909090909
"9","{A6=ff} => {class=-}",0.0645161290322581,0.888888888888889,1.60206718346253,0.872340425531915
"10","{A8=[-Inf;1.27],A10=f,A13=s} => {class=-}",0.0419354838709677,0.896551724137931,1.6158781074579,0.870967741935484
"11","{A8=[-Inf;1.27],A9=t,A14=[-Inf;99.5]} => {class=+}",0.0564516129032258,0.875,1.96557971014493,0.857142857142857
"12","{A4=y,A6=aa,A10=f} => {class=-}",0.0161290322580645,0.909090909090909,1.6384778012685,0.846153846153846
"13","{A8=(1.27; Inf],A9=f,A10=f} => {class=-}",0.0709677419354839,0.846153846153846,1.52504472271914,0.833333333333333
"14","{A4=y,A9=t,A10=t} => {class=+}",0.0419354838709677,0.838709677419355,1.88405797101449,0.818181818181818
"15","{A4=u,A7=v,A9=t} => {class=+}",0.191935483870968,0.820689655172414,1.84357821089455,0.816326530612245
"16","{A1=a,A8=[-Inf;1.27],A9=t} => {class=+}",0.0612903225806452,0.826086956521739,1.85570258349086,0.8125
"17","{A6=m,A7=bb} => {class=+}",0.00483870967741936,1,2.2463768115942,0.8
"18","{A6=k,A14=[-Inf;99.5],A15=(492; Inf]} => {class=+}",0.00483870967741936,1,2.2463768115942,0.8
"19","{A6=k,A10=t,A15=[-Inf;492]} => {class=-}",0.00967741935483871,0.857142857142857,1.54485049833887,0.777777777777778
"20","{A6=e,A7=v,A10=t} => {class=+}",0.0032258064516129,1,2.2463768115942,0.75
"21","{A7=bb,A9=t,A10=f} => {class=-}",0.0145161290322581,0.75,1.35174418604651,0.714285714285714
"22","{A4=} => {class=+}",0.00645161290322581,0.8,1.79710144927536,0.714285714285714
"23","{A7=z,A14=(99.5; Inf]} => {class=-}",0.00161290322580645,1,1.80232558139535,0.666666666666667
"24","{A8=(1.27; Inf],A13=s,A14=[-Inf;99.5]} => {class=+}",0.00483870967741936,0.75,1.68478260869565,0.666666666666667
"25","{A4=l,A13=s} => {class=+}",0.00161290322580645,1,2.2463768115942,0.666666666666667
"26","{A6=q,A7=n} => {class=+}",0.00161290322580645,1,2.2463768115942,0.666666666666667
"27","{A4=y,A7=h,A9=t} => {class=+}",0.0193548387096774,0.666666666666667,1.4975845410628,0.65
"28","{A7=bb,A8=(1.27; Inf],A12=f} => {class=+}",0.0129032258064516,0.666666666666667,1.4975845410628,0.642857142857143
"29","{A1=b,A6=q,A8=[-Inf;1.27]} => {class=-}",0.0112903225806452,0.636363636363636,1.14693446088795,0.615384615384615
"30","{A3=[-Inf;4.2075],A6=c,A7=bb} => {class=+}",0.00483870967741936,0.6,1.34782608695652,0.571428571428571
"31","{A3=[-Inf;4.2075],A10=t,A15=[-Inf;492]} => {class=-}",0.0758064516129032,0.559523809523809,1.00844407530454,0.558139534883721
"32","{A4=y,A6=d,A8=(1.27; Inf]} => {class=+}",0.0032258064516129,0.5,1.1231884057971,0.5
"33","{A1=,A15=(492; Inf]} => {class=+}",0.00161290322580645,0.5,1.1231884057971,0.5
"34","{A9=t,A10=f,A15=[-Inf;492]} => {class=-}",0.0790322580645161,0.49,0.883139534883721,0.490196078431373
"35","{A6=q,A10=t,A12=t} => {class=-}",0.00967741935483871,0.285714285714286,0.514950166112957,0.304347826086957
"36","{A4=} => {class=-}",0.00161290322580645,0.2,0.36046511627907,0.285714285714286
"37","{A3=[-Inf;4.2075],A6=c,A10=f} => {class=+}",0.0209677419354839,0.276595744680851,0.621338267036694,0.285714285714286
"38","{A6=q,A14=[-Inf;99.5]} => {class=-}",0.00483870967741936,0.12,0.216279069767442,0.148148148148148
"39","{} => {class=-}",0,0,0,0
