"","rules","support","confidence","lift","laplace"
"1","{RI=[-Inf;1.517335],Mg=(2.695; Inf],Ca=(7.005;8.315]} => {Type=build wind non-float}",0.172774869109948,0.916666666666667,2.57475490196078,0.80952380952381
"2","{Ba=(0.335; Inf]} => {Type=headlamps}",0.120418848167539,0.92,6.75846153846154,0.774193548387097
"3","{K=[-Inf;0.055],Ba=(0.335; Inf]} => {Type=headlamps}",0.0837696335078534,1,7.34615384615385,0.772727272727273
"4","{RI=(1.517335;1.517985],Al=[-Inf;1.39],Ca=(8.315;10.075]} => {Type=build wind float}",0.104712041884817,0.833333333333333,2.52645502645503,0.7
"5","{RI=(1.517335;1.517985],Al=[-Inf;1.39],Ca=(7.005;8.315]} => {Type=build wind float}",0.0366492146596859,1,3.03174603174603,0.615384615384615
"6","{Na=[-Inf;13.785],Al=(1.39;1.775],Ca=(10.075; Inf]} => {Type=containers}",0.0366492146596859,1,17.3636363636364,0.615384615384615
"7","{Al=[-Inf;1.39],Ca=(10.075; Inf]} => {Type=build wind non-float}",0.0523560209424084,0.833333333333333,2.3406862745098,0.611111111111111
"8","{RI=(1.517985; Inf],Al=[-Inf;1.39],Ca=(8.315;10.075]} => {Type=build wind float}",0.130890052356021,0.657894736842105,1.99456975772765,0.590909090909091
"9","{RI=(1.517985; Inf],Na=[-Inf;13.785],Ca=(7.005;8.315]} => {Type=build wind non-float}",0.0261780104712042,1,2.80882352941176,0.545454545454545
"10","{Mg=[-Inf;2.695],K=[-Inf;0.055],Ba=[-Inf;0.335]} => {Type=tableware}",0.0418848167539267,0.727272727272727,17.3636363636364,0.529411764705882
"11","{Al=(1.39;1.775],K=[-Inf;0.055],Ba=[-Inf;0.335]} => {Type=tableware}",0.0209424083769634,1,23.875,0.5
"12","{RI=[-Inf;1.517335],Al=(1.39;1.775],Ca=(8.315;10.075]} => {Type=build wind non-float}",0.0209424083769634,0.8,2.24705882352941,0.454545454545455
"13","{RI=[-Inf;1.517335],Mg=[-Inf;2.695],K=(0.745; Inf]} => {Type=containers}",0.0157068062827225,0.75,13.0227272727273,0.4
"14","{K=(0.745; Inf],Ca=(8.315;10.075]} => {Type=headlamps}",0.0104712041884817,1,7.34615384615385,0.375
"15","{RI=(1.517335;1.517985],Mg=(2.695; Inf],Al=(1.39;1.775]} => {Type=build wind float}",0.0157068062827225,0.6,1.81904761904762,0.363636363636364
"16","{RI=[-Inf;1.517335],Mg=(2.695; Inf],Ca=(8.315;10.075]} => {Type=vehic wind float}",0.0366492146596859,0.4375,5.57083333333333,0.363636363636364
"17","{RI=(1.517985; Inf],Na=[-Inf;13.785],Ca=(8.315;10.075]} => {Type=build wind non-float}",0.0523560209424084,0.344827586206897,0.968559837728195,0.314285714285714
"18","{Na=(13.785; Inf],K=(0.055;0.655],Ca=(7.005;8.315]} => {Type=build wind float}",0.0104712041884817,0.5,1.51587301587302,0.3
"19","{Na=[-Inf;13.785],Mg=(2.695; Inf],Ca=(10.075; Inf]} => {Type=build wind float}",0.00523560209424084,1,3.03174603174603,0.285714285714286
"20","{Na=(13.785; Inf],Al=(1.39;1.775],Ca=(10.075; Inf]} => {Type=build wind non-float}",0.00523560209424084,1,2.80882352941176,0.285714285714286
"21","{Al=(1.775; Inf],K=(0.055;0.655],Ca=(10.075; Inf]} => {Type=containers}",0.00523560209424084,1,17.3636363636364,0.285714285714286
"22","{RI=(1.517335;1.517985],Al=(1.39;1.775]} => {Type=vehic wind float}",0.0104712041884817,0.4,5.09333333333333,0.272727272727273
"23","{K=(0.745; Inf],Ca=(10.075; Inf]} => {Type=build wind non-float}",0.00523560209424084,0.5,1.40441176470588,0.25
"24","{Na=(13.785; Inf],Mg=(2.695; Inf],Ca=(8.315;10.075]} => {Type=vehic wind float}",0.0157068062827225,0.272727272727273,3.47272727272727,0.235294117647059
"25","{RI=[-Inf;1.517335],Al=[-Inf;1.39],K=(0.055;0.655]} => {Type=build wind non-float}",0.0157068062827225,0.25,0.702205882352941,0.222222222222222
"26","{RI=[-Inf;1.517335],Mg=(2.695; Inf],Al=[-Inf;1.39]} => {Type=build wind float}",0.0157068062827225,0.230769230769231,0.6996336996337,0.210526315789474
"27","{RI=(1.517335;1.517985]} => {Type=vehic wind float}",0.0209424083769634,0.111111111111111,1.41481481481481,0.119047619047619
"28","{Al=(1.39;1.775],Ca=(7.005;8.315]} => {Type=build wind float}",0.0157068062827225,0.0967741935483871,0.293394777265745,0.108108108108108
"29","{RI=(1.517985; Inf]} => {Type=headlamps}",0.031413612565445,0.0769230769230769,0.56508875739645,0.0833333333333333
"30","{RI=(1.517335;1.517985]} => {Type=build wind non-float}",0.0104712041884817,0.0555555555555556,0.156045751633987,0.0714285714285714
"31","{RI=(1.517985; Inf]} => {Type=vehic wind float}",0.0209424083769634,0.0512820512820513,0.652991452991453,0.0595238095238095
"32","{} => {Type=build wind non-float}",0,0,0,0
