"","rules","support","confidence","lift","laplace"
"1","{a03=(0.741295;0.998505],a07=(0.029375;0.999995]} => {class=g}",0.293375394321767,1,1.5615763546798,0.989473684210526
"2","{a21=(0.07206;0.998475],a25=(0.3303;0.999495],a27=(0.52812;0.99921]} => {class=g}",0.271293375394322,1,1.5615763546798,0.988636363636364
"3","{a05=[-Inf;0.04144]} => {class=b}",0.192429022082019,1,2.78070175438596,0.984126984126984
"4","{a07=(0.029375;0.999995],a25=(0.3303;0.999495],a34=(0.0054;0.95098]} => {class=g}",0.170347003154574,1,1.5615763546798,0.982142857142857
"5","{a05=(0.04144;0.995175],a12=(0.001845;0.98374],a14=(-0.554585;0.652535]} => {class=g}",0.258675078864353,0.987951807228916,1.54276218173185,0.976470588235294
"6","{a07=(0.029375;0.999995],a08=(0.000985;0.979525],a34=(-0.974115;-3e-05]} => {class=g}",0.1198738170347,1,1.5615763546798,0.975
"7","{a01=0,a27=(0.99921; Inf]} => {class=b}",0.100946372239748,1,2.78070175438596,0.970588235294118
"8","{a13=(-0.076515;0.35474],a21=(-1.5e-05;0.07206]} => {class=b}",0.0946372239747634,1,2.78070175438596,0.96875
"9","{a06=(0.00101;0.953815],a22=(-0.96798;-0.0014],a34=(-0.974115;-3e-05]} => {class=g}",0.0914826498422713,1,1.5615763546798,0.967741935483871
"10","{a03=(0.998505; Inf],a04=(0.007075;0.74685],a10=(-0.49981;0.591395]} => {class=g}",0.0788643533123028,1,1.5615763546798,0.962962962962963
"11","{a08=[-Inf;-0.983575]} => {class=b}",0.0757097791798107,1,2.78070175438596,0.961538461538462
"12","{a18=[-Inf;-0.8145],a27=(0.99921; Inf]} => {class=b}",0.0694006309148265,1,2.78070175438596,0.958333333333333
"13","{a05=(0.995175; Inf],a06=(-0.79531;-0.00114],a34=(-0.974115;-3e-05]} => {class=g}",0.0599369085173502,1,1.5615763546798,0.952380952380952
"14","{a22=(0.923655; Inf],a23=(0.999665; Inf]} => {class=b}",0.0536277602523659,1,2.78070175438596,0.947368421052632
"15","{a14=[-Inf;-0.554585],a30=(-0.91428;0.921765]} => {class=b}",0.0504731861198738,1,2.78070175438596,0.944444444444444
"16","{a03=(0.998505; Inf],a08=(-0.983575;-0.000375],a23=(0.18657;0.999665]} => {class=g}",0.0504731861198738,1,1.5615763546798,0.944444444444444
"17","{a03=[-Inf;0.19028],a12=(-0.56293;-0.00027],a13=(-0.076515;0.35474]} => {class=b}",0.0315457413249211,1,2.78070175438596,0.916666666666667
"18","{a23=(0.18657;0.999665],a24=(-0.987455;-0.02301],a27=[-Inf;0.52812]} => {class=g}",0.0536277602523659,0.944444444444444,1.47482211275315,0.9
"19","{a06=(-0.00114;0.00101],a12=(-0.56293;-0.00027]} => {class=b}",0.0220820189274448,1,2.78070175438596,0.888888888888889
"20","{a11=(0.08713;0.9991],a34=(0.95098; Inf]} => {class=b}",0.00946372239747634,1,2.78070175438596,0.8
"21","{a03=(0.19028;0.741295],a15=(-0.0283;0.210915],a34=(-0.974115;-3e-05]} => {class=g}",0.00946372239747634,1,1.5615763546798,0.8
"22","{a04=(0.007075;0.74685],a10=(0.9891; Inf]} => {class=g}",0.00946372239747634,1,1.5615763546798,0.8
"23","{a23=(0.999665; Inf],a27=[-Inf;0.52812]} => {class=b}",0.00315457413249211,1,2.78070175438596,0.666666666666667
"24","{a03=(0.19028;0.741295],a06=(-0.79531;-0.00114],a24=(0.00933;0.89747]} => {class=b}",0.00946372239747634,0.375,1.04276315789474,0.4
"25","{} => {class=g}",0,0,0,0
