"","rules","support","confidence","lift","laplace"
"1","{intensity.mean=(82.9815; Inf]} => {class=sky}",0.142857142857143,1,7,0.980263157894737
"2","{hue.mean=(0.64353; Inf]} => {class=grass}",0.141414141414141,1,7,0.980066445182724
"3","{region.centroid.row=(170.5;210.5],hue.mean=(-2.08594;-1.85084]} => {class=path}",0.114478114478114,1,7,0.975510204081633
"4","{region.centroid.row=(210.5; Inf]} => {class=grass}",0.0658970658970659,1,7,0.958333333333333
"5","{exred.mean=(0.1666665; Inf],exgreen.mean=(-8.5;-6.388885]} => {class=brickface}",0.0553150553150553,1,7,0.950819672131147
"6","{rawred.mean=(18.16665;22.8889],rawgreen.mean=(12.38885;16.94445]} => {class=brickface}",0.05002405002405,1,7,0.945945945945946
"7","{rawblue.mean=(26.16665;36.27775],saturation.mean=(0.3629445;0.447372],hue.mean=(-1.85084;-1.51262]} => {class=brickface}",0.0442520442520443,1,7,0.939393939393939
"8","{region.centroid.row=(83.5;119.5],hue.mean=(-1.51262;-0.28793347]} => {class=brickface}",0.0331890331890332,1,7,0.921052631578947
"9","{saturation.mean=(0.7169145; Inf],hue.mean=(-2.41102;-2.245905]} => {class=foliage}",0.0322270322270322,1,7,0.918918918918919
"10","{hedge.mean=(4.02778;19.3611],exred.mean=(-22.27775;-13.94445],saturation.mean=(0.2749175;0.321112]} => {class=path}",0.0404040404040404,0.976744186046512,6.83720930232558,0.913978494623656
"11","{region.centroid.col=[-Inf;151.5],region.centroid.row=(83.5;119.5],exgreen.mean=(-5.055555;-0.0555555]} => {class=foliage}",0.0298220298220298,0.984126984126984,6.88888888888889,0.9
"12","{rawred.mean=[-Inf;3.833335],hue.mean=(-2.08594;-1.85084]} => {class=window}",0.0298220298220298,0.984126984126984,6.88888888888889,0.9
"13","{region.centroid.row=(129.5;147.5],hue.mean=(-1.51262;-0.28793347]} => {class=brickface}",0.0226070226070226,1,7,0.888888888888889
"14","{region.centroid.row=(83.5;119.5],short.line.density.2=[-Inf;0.0555555],rawgreen.mean=(36.05555;55.83335]} => {class=cement}",0.0221260221260221,1,7,0.886792452830189
"15","{region.centroid.row=(83.5;119.5],value.mean=(20.5;28.61115],hue.mean=(-2.20746;-2.08594]} => {class=window}",0.0206830206830207,1,7,0.88
"16","{hedge.sd=(0.3470235;0.964527],intensity.mean=(31.8889;45.9074]} => {class=cement}",0.0192400192400192,1,7,0.872340425531915
"17","{region.centroid.col=[-Inf;151.5],region.centroid.row=(52.5;67.5],hue.mean=(-1.85084;-1.51262]} => {class=brickface}",0.0182780182780183,1,7,0.866666666666667
"18","{hedge.mean=(0.8333335;1.916665],saturation.mean=(0.247783;0.2749175],hue.mean=(-2.08594;-1.85084]} => {class=cement}",0.0182780182780183,1,7,0.866666666666667
"19","{region.centroid.col=(151.5;194.5],hedge.mean=[-Inf;0.2777785]} => {class=window}",0.0182780182780183,1,7,0.866666666666667
"20","{rawgreen.mean=(55.83335;63.72225]} => {class=cement}",0.0173160173160173,1,7,0.86046511627907
"21","{region.centroid.row=(83.5;119.5],rawred.mean=[-Inf;3.833335],hue.mean=(-2.20746;-2.08594]} => {class=foliage}",0.0173160173160173,1,7,0.86046511627907
"22","{intensity.mean=(31.8889;45.9074],rawred.mean=(31.72225;41.94445],rawgreen.mean=(31.55555;36.05555]} => {class=cement}",0.0197210197210197,0.976190476190476,6.83333333333333,0.857142857142857
