"","rules","support","confidence","lift","laplace"
"1","{attribute_21=[-Inf;0.67995],attribute_48=[-Inf;0.07585],attribute_52=[-Inf;0.00935]} => {Class=Rock}",0.154255319148936,1,2.13636363636364,0.967741935483871
"2","{attribute_4=[-Inf;0.052],attribute_12=[-Inf;0.1677],attribute_51=[-Inf;0.01325]} => {Class=Rock}",0.143617021276596,1,2.13636363636364,0.96551724137931
"3","{attribute_9=(0.1164; Inf],attribute_45=(0.38545; Inf]} => {Class=Mine}",0.132978723404255,1,1.88,0.962962962962963
"4","{attribute_11=(0.16095; Inf],attribute_45=(0.38545; Inf]} => {Class=Mine}",0.127659574468085,1,1.88,0.961538461538462
"5","{attribute_4=(0.052; Inf],attribute_46=(0.1734; Inf]} => {Class=Mine}",0.122340425531915,1,1.88,0.96
"6","{attribute_9=(0.1164; Inf],attribute_28=(0.9233; Inf],attribute_48=(0.07585; Inf]} => {Class=Mine}",0.117021276595745,1,1.88,0.958333333333333
"7","{attribute_9=[-Inf;0.1164],attribute_36=(0.5047; Inf],attribute_45=[-Inf;0.38545]} => {Class=Rock}",0.117021276595745,1,2.13636363636364,0.958333333333333
"8","{attribute_5=[-Inf;0.0392],attribute_51=[-Inf;0.01325],attribute_52=[-Inf;0.00935]} => {Class=Rock}",0.106382978723404,1,2.13636363636364,0.954545454545455
"9","{attribute_10=[-Inf;0.16315],attribute_12=[-Inf;0.1677],attribute_48=[-Inf;0.07585]} => {Class=Rock}",0.175531914893617,0.970588235294118,2.07352941176471,0.944444444444444
"10","{attribute_21=[-Inf;0.67995],attribute_36=(0.5047; Inf],attribute_45=[-Inf;0.38545]} => {Class=Rock}",0.170212765957447,0.96969696969697,2.07162534435262,0.942857142857143
"11","{attribute_4=[-Inf;0.052],attribute_11=[-Inf;0.16095],attribute_54=[-Inf;0.0225]} => {Class=Rock}",0.25,0.959183673469388,2.04916512059369,0.941176470588235
"12","{attribute_11=(0.16095; Inf],attribute_36=[-Inf;0.5047],attribute_51=(0.01325; Inf]} => {Class=Mine}",0.297872340425532,0.949152542372881,1.78440677966102,0.934426229508197
"13","{attribute_21=[-Inf;0.67995],attribute_47=[-Inf;0.0613],attribute_48=[-Inf;0.07585]} => {Class=Rock}",0.143617021276596,0.964285714285714,2.06006493506494,0.933333333333333
"14","{attribute_4=(0.052; Inf],attribute_36=[-Inf;0.5047],attribute_48=(0.07585; Inf]} => {Class=Mine}",0.138297872340426,0.962962962962963,1.81037037037037,0.931034482758621
"15","{attribute_54=(0.0225; Inf]} => {Class=Mine}",0.101063829787234,0.95,1.786,0.909090909090909
"16","{attribute_28=(0.9233; Inf],attribute_45=(0.38545; Inf]} => {Class=Mine}",0.0425531914893617,1,1.88,0.9
"17","{attribute_12=(0.1677; Inf],attribute_21=(0.67995; Inf],attribute_52=(0.00935; Inf]} => {Class=Mine}",0.212765957446809,0.909090909090909,1.70909090909091,0.891304347826087
"18","{attribute_4=(0.052; Inf],attribute_47=[-Inf;0.0613],attribute_52=[-Inf;0.00935]} => {Class=Rock}",0.0265957446808511,1,2.13636363636364,0.857142857142857
"19","{attribute_9=(0.1164; Inf],attribute_36=[-Inf;0.5047],attribute_47=(0.0613; Inf]} => {Class=Mine}",0.340425531914894,0.842105263157895,1.58315789473684,0.833333333333333
"20","{attribute_21=(0.67995; Inf],attribute_51=[-Inf;0.01325],attribute_52=[-Inf;0.00935]} => {Class=Rock}",0.0585106382978723,0.733333333333333,1.56666666666667,0.705882352941177
"21","{attribute_4=(0.052; Inf],attribute_10=(0.16315; Inf],attribute_13=[-Inf;0.16265]} => {Class=Rock}",0.0106382978723404,0.666666666666667,1.42424242424242,0.6
"22","{attribute_21=(0.67995; Inf],attribute_51=[-Inf;0.01325]} => {Class=Rock}",0.0851063829787234,0.516129032258065,1.10263929618768,0.515151515151515
"23","{} => {Class=Mine}",0,0,0,0
