"","rules","support","confidence","lift","laplace"
"1","{word_freq_order=[-Inf;0.045],word_freq_george=(0.44; Inf]} => {class=0}",0.134782608695652,1,1.65005978477481,0.998214285714286
"2","{word_freq_your=[-Inf;0.385],word_freq_hpl=(0.12; Inf],X.char_freq_..21.=[-Inf;0.005]} => {class=0}",0.0956521739130435,1,1.65005978477481,0.99748743718593
"3","{word_freq_our=(0.375; Inf],word_freq_your=(1.025;6.6],X.char_freq_..24.=(0.1425; Inf]} => {class=1}",0.0565217391304348,1,2.53832004904966,0.995762711864407
"4","{word_freq_hp=(1.495; Inf],word_freq_1999=(0.105; Inf]} => {class=0}",0.0528985507246377,1,1.65005978477481,0.995475113122172
"5","{word_freq_hpl=[-Inf;0.12],word_freq_george=[-Inf;0.005],capital_run_length_longest=(240; Inf]} => {class=1}",0.0384057971014493,1,2.53832004904966,0.993788819875776
"6","{word_freq_hp=(1.495; Inf],word_freq_hpl=[-Inf;0.12],word_freq_data=[-Inf;0.335]} => {class=0}",0.0335748792270531,1,1.65005978477481,0.99290780141844
"7","{word_freq_money=[-Inf;0.01],word_freq_meeting=(0.455; Inf],capital_run_length_average=(1.075;2.014]} => {class=0}",0.0272946859903382,1,1.65005978477481,0.991304347826087
"8","{word_freq_free=(0.095; Inf],X.char_freq_..21.=(0.377;7.52],X.char_freq_..24.=(0.1425; Inf]} => {class=1}",0.0536231884057971,0.995515695067265,2.52693744793285,0.991111111111111
"9","{word_freq_mail=[-Inf;0.045],word_freq_money=[-Inf;0.01],word_freq_hpl=(0.12; Inf]} => {class=0}",0.121014492753623,0.992079207920792,1.63699000430135,0.990138067061144
"10","{word_freq_all=(0.235;1.93],word_freq_remove=(0.01; Inf],word_freq_free=(0.095; Inf]} => {class=1}",0.0678743961352657,0.992932862190813,2.52038139145921,0.989473684210526
"11","{word_freq_make=[-Inf;0.075],word_freq_internet=(0.015; Inf],X.char_freq_..21.=(0.377;7.52]} => {class=1}",0.0222222222222222,1,2.53832004904966,0.98936170212766
"12","{word_freq_business=[-Inf;0.055],word_freq_george=(0.005;0.44]} => {class=0}",0.0219806763285024,1,1.65005978477481,0.989247311827957
"13","{word_freq_all=(0.235;1.93],word_freq_your=(1.025;6.6],word_freq_money=(0.01; Inf]} => {class=1}",0.0842995169082126,0.991477272727273,2.51668663954072,0.988700564971751
"14","{word_freq_receive=[-Inf;0.045],word_freq_hp=(0.12;1.495],X.char_freq_..21.=[-Inf;0.005]} => {class=0}",0.0731884057971015,0.990196078431373,1.63388272806133,0.987012987012987
"15","{word_freq_hp=(0.12;1.495],word_freq_1999=(0.105; Inf],capital_run_length_average=(1.075;2.014]} => {class=0}",0.0178743961352657,1,1.65005978477481,0.986842105263158
"16","{word_freq_your=(0.385;1.025],word_freq_george=(0.44; Inf]} => {class=0}",0.0169082125603865,1,1.65005978477481,0.986111111111111
"17","{word_freq_technology=(1.43; Inf]} => {class=0}",0.0140096618357488,1,1.65005978477481,0.983333333333333
"18","{word_freq_receive=[-Inf;0.045],word_freq_650=[-Inf;0.01],word_freq_edu=(0.125; Inf]} => {class=0}",0.0823671497584541,0.985549132947977,1.62621499019714,0.982758620689655
"19","{word_freq_make=(0.075; Inf],word_freq_your=(0.385;1.025],word_freq_000=(0.26; Inf]} => {class=1}",0.0135265700483092,1,2.53832004904966,0.982758620689655
