"","rules","support","confidence","orderedConf","orderedSupp"
"1","{X3=[-0.89;Inf],X5=[-0.384615;0.846154],X8=-1} => {Y=-1}",0.138709679245949,1,1,86
"2","{X8=-1,X9=1,X11=1} => {Y=-1}",0.0435483865439892,1,1,15
"3","{X5=[-Inf;-0.230769],X8=-1,X14=[-Inf;-0.9498]} => {Y=-1}",0.224193543195724,0.985815584659576,0.982905982905983,115
"4","{X4=-1,X7=[-Inf;-0.897544],X8=-1} => {Y=-1}",0.0967741906642914,0.983606576919556,0.947368421052632,18
"5","{X8=-1,X13=[-Inf;-0.879]} => {Y=-1}",0.154838711023331,0.959999978542328,0.777777777777778,14
"6","{X2=[-Inf;-0.182857],X7=[-Inf;-0.897544],X8=-1} => {Y=-1}",0.314516127109528,0.951219499111176,0.75,21
"7","{X3=[-Inf;-0.696429],X4=-1,X9=-1} => {Y=-1}",0.109677419066429,0.906666696071625,0.666666666666667,10
"8","{X5=[-Inf;-0.230769],X9=-1,X14=[-Inf;-0.98104]} => {Y=-1}",0.208064511418343,0.88965517282486,0.636363636363636,21
"9","{X5=[-Inf;-0.230769],X9=-1} => {Y=-1}",0.229032263159752,0.87654322385788,0.333333333333333,1
"10","{X9=-1,X13=[-0.927;Inf],X14=[-Inf;-0.99032]} => {Y=-1}",0.335483878850937,0.809338510036469,0.452830188679245,24
"11","{} => {Y=1}",0.445161283016205,0.445161283016205,0.918454935622318,214
