"","rules","support","confidence","orderedConf","orderedSupp"
"1","{X5=[-Inf;0.230769],X8=-1,X9=1} => {Y=-1}",0.083601288497448,1,1,52
"2","{X3=[-0.89;Inf],X5=[-0.384615;0.846154],X8=-1} => {Y=-1}",0.135048225522041,0.988235294818878,0.985507246376812,68
"3","{X5=[-Inf;-0.230769],X8=-1,X14=[-Inf;-0.94994]} => {Y=-1}",0.21382637321949,0.985185205936432,0.98019801980198,99
"4","{X4=-1,X7=[-Inf;-0.897544],X8=-1} => {Y=-1}",0.0996784567832947,0.98412698507309,0.947368421052632,18
"5","{X8=1,X9=1,X14=[-0.993;Inf]} => {Y=1}",0.165594860911369,0.980952382087708,0.980952380952381,103
"6","{X6=[0.5;Inf],X8=1,X13=[-Inf;-0.864]} => {Y=1}",0.0755627006292343,0.979166686534882,0.967741935483871,30
"7","{X1=-1,X8=-1,X11=1} => {Y=-1}",0.0643086805939674,0.97560977935791,0.857142857142857,6
"8","{X2=[-Inf;-0.182857],X8=-1,X11=-1} => {Y=-1}",0.233118966221809,0.947712421417236,0.741935483870968,23
"9","{X5=[-0.384615;0.230769],X8=1,X9=1} => {Y=1}",0.128617361187935,0.941176474094391,0.848484848484849,28
"10","{X3=[-0.711429;Inf],X7=[-0.927018;Inf],X8=1} => {Y=1}",0.183279737830162,0.934426248073578,0.86046511627907,37
"11","{X4=[0;Inf],X8=1,X13=[-Inf;-0.883]} => {Y=1}",0.191318333148956,0.9296875,0.75,21
"12","{X3=[-Inf;-0.648929],X5=[0.384615;Inf],X8=1} => {Y=1}",0.083601288497448,0.928571403026581,0.8125,13
"13","{X5=[-Inf;-0.384615],X7=[-Inf;-0.927018],X14=[-Inf;-0.99032]} => {Y=-1}",0.154340833425522,0.905660390853882,0.785714285714286,11
"14","{X6=[0.5;Inf],X8=1} => {Y=1}",0.138263672590256,0.895833313465118,0.571428571428571,8
"15","{X3=[-0.711429;Inf],X11=1,X14=[-0.99032;Inf]} => {Y=1}",0.0385852083563805,0.888888895511627,1,1
"16","{X5=[0.384615;Inf],X7=[-0.927018;Inf]} => {Y=1}",0.131832793354988,0.836734712123871,1,1
"17","{X9=-1,X13=[-0.892;Inf]} => {Y=-1}",0.326366573572159,0.808764934539795,0.733333333333333,33
"18","{X4=-1,X14=[-Inf;-0.99032]} => {Y=-1}",0.155948549509048,0.808333337306976,0.666666666666667,2
"19","{} => {Y=1}",0.445337623357773,0.445337623357773,0.666666666666667,6
