"","rules","support","confidence","orderedConf","orderedSupp"
"1","{normalizedLosses=[-Inf;123.059210526],numOfDoors=four,wheelBase=[95.3;97.2]} => {XClass=0}",0.13368983566761,1,1,25
"2","{width=[63.8;64.2],horsepower=[60;72]} => {XClass=1}",0.128342241048813,1,1,24
"3","{width=[65.5;65.6]} => {XClass=2}",0.0695187151432037,1,1,13
"4","{normalizedLosses=[-Inf;115],numOfDoors=four,wheelBase=[104.5;Inf]} => {XClass=-1}",0.0481283403933048,1,1,9
"5","{normalizedLosses=[-Inf;74]} => {XClass=-1}",0.0427807494997978,1,1,8
"6","{numOfDoors=two,engineType=dohc,highwayMpg=[-Inf;28]} => {XClass=3}",0.0267379675060511,1,1,5
"7","{height=56.2} => {XClass=-2}",0.0160427801311016,1,1,3
"8","{make=audi,wheelBase=[100.4;Inf]} => {XClass=1}",0.0160427801311016,1,1,3
"9","{make=honda,wheelBase=[88.4;96.3]} => {XClass=1}",0.0160427801311016,1,1,2
"10","{make=audi,width=[-Inf;67.7]} => {XClass=2}",0.0160427801311016,1,1,3
"11","{engineLocation=rear} => {XClass=3}",0.0106951873749495,1,1,2
"12","{make=saab,numOfDoors=two} => {XClass=3}",0.0106951873749495,1,1,1
"13","{aspiration=turbo,numOfDoors=two,numOfCylinders=five} => {XClass=0}",0.0106951873749495,1,1,2
"14","{make=mazda,numOfDoors=two,width=[66;Inf]} => {XClass=1}",0.0106951873749495,1,1,2
"15","{make=mercury} => {XClass=1}",0.00534759368747473,1,1,1
"16","{make=dodge,wheelBase=[96;Inf]} => {XClass=-1}",0.00534759368747473,1,1,1
"17","{aspiration=std,fuelSystem=spdi} => {XClass=-1}",0.00534759368747473,1,1,1
"18","{bodyStyle=wagon,engineType=dohc} => {XClass=-1}",0.00534759368747473,1,1,1
"19","{make=volkswagen,bodyStyle=hatchback} => {XClass=3}",0.00534759368747473,1,1,1
"20","{numOfCylinders=six,wheelBase=[93;Inf],height=[-Inf;51.6]} => {XClass=1}",0.00534759368747473,1,1,1
"21","{height=[-Inf;50.2]} => {XClass=3}",0.0855614989995956,0.941176474094391,1,14
"22","{numOfDoors=two,width=[-Inf;64.2],engineSize=[70;103]} => {XClass=1}",0.122994653880596,0.920000016689301,0.818181818181818,9
"23","{bodyStyle=sedan,height=[-Inf;51.6]} => {XClass=1}",0.0427807494997978,0.888888895511627,1,4
"24","{bore=[2.92;3.17],horsepower=[70;97]} => {XClass=0}",0.0374331548810005,0.875,1,4
"25","{bodyStyle=convertible} => {XClass=3}",0.0213903747498989,0.800000011920929,1,2
"26","{make=bmw} => {XClass=0}",0.0320855602622032,0.75,0.75,6
"27","{normalizedLosses=[101;Inf],numOfDoors=four,bore=[3.19;Inf]} => {XClass=0}",0.181818187236786,0.708333313465118,0.92,23
"28","{numOfCylinders=eight} => {XClass=1}",0.0106951873749495,0.5,1,2
"29","{numOfDoors=} => {XClass=0}",0.00534759368747473,0.5,1,1
"30","{} => {XClass=2}",0.155080214142799,0.155080214142799,1,8
