"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Bare_Nuclei=[9;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.173290938138962,1,1,109
"2","{Clump_Thickness=[7;Inf],Cell_Size_Uniformity=[5;Inf]} => {Class=malignant}",0.151033386588097,1,1,46
"3","{Cell_Size_Uniformity=[5;Inf],Mitoses=[2;Inf]} => {Class=malignant}",0.119236886501312,1,1,11
"4","{Normal_Nucleoli=10} => {Class=malignant}",0.0922098532319069,1,1,10
"5","{Cell_Size_Uniformity=[5;Inf],Marginal_Adhesion=[2;4]} => {Class=malignant}",0.0731319561600685,1,1,3
"6","{Clump_Thickness=5,Cell_Shape_Uniformity=[5;Inf],Marginal_Adhesion=[2;Inf]} => {Class=malignant}",0.0461049266159534,1,1,3
"7","{Single_Epi_Cell_Size=3,Bare_Nuclei=[3;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.0445151031017303,1,1,5
"8","{Clump_Thickness=[5;Inf],Marginal_Adhesion=[1;2],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.0429252795875072,1,1,4
"9","{Cell_Size_Uniformity=[5;Inf],Bare_Nuclei=[1;3]} => {Class=malignant}",0.0381558015942574,1,1,2
"10","{Cell_Shape_Uniformity=[3;4],Bland_Chromatin=3,Normal_Nucleoli=[3;10]} => {Class=malignant}",0.0174880754202604,1,1,7
"11","{Clump_Thickness=[-Inf;4],Marginal_Adhesion=[4;Inf],Single_Epi_Cell_Size=[-Inf;2]} => {Class=malignant}",0.0015898251440376,1,1,1
"12","{Bare_Nuclei=[9;Inf]} => {Class=malignant}",0.198728144168854,0.992063462734222,0.875,7
"13","{Clump_Thickness=[7;Inf],Marginal_Adhesion=[4;Inf]} => {Class=malignant}",0.136724963784218,0.988505721092224,0.75,3
"14","{Clump_Thickness=5,Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.0508744046092033,0.969696998596191,0.5,1
"15","{Cell_Size_Uniformity=[5;Inf]} => {Class=malignant}",0.24642288684845,0.96875,0.285714285714286,2
"16","{Clump_Thickness=[7;Inf]} => {Class=malignant}",0.209856912493706,0.963503658771515,0.2,1
"17","{Marginal_Adhesion=[2;3],Bare_Nuclei=[3.51712887439;Inf]} => {Class=malignant}",0.0540540553629398,0.944444417953491,0.666666666666667,2
"18","{} => {Class=benign}",0.65500795841217,0.65500795841217,1,399
