"","rules","support","confidence","orderedConf","orderedSupp"
"1","{surgery=yes,capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}",0.0873493999242783,1,1,29
"2","{surgery=yes,peristalsis=hypomotile,outcome=died} => {surgical_lesion=yes}",0.0873493999242783,1,1,14
"3","{surgery=yes,abdomen=,outcome=died} => {surgical_lesion=yes}",0.0753012076020241,1,1,7
"4","{pain=depressed,outcome=died} => {surgical_lesion=yes}",0.0481927692890167,1,1,5
"5","{surgery=yes,mucous_membranes=,abdominocentesis_appearance=} => {surgical_lesion=yes}",0.0481927692890167,1,1,11
"6","{surgery=yes,nasogastric_reflux=none,rectal_examination=decreased} => {surgical_lesion=yes}",0.0451807230710983,1,1,12
"7","{mucous_membranes=pale pink,pain=intermittent severe pain} => {surgical_lesion=yes}",0.0421686731278896,1,1,9
"8","{pain=continuous severe pain,rectal_examination=absent,abdomen=distended large intestine} => {surgical_lesion=yes}",0.0421686731278896,1,1,10
"9","{pulse=[-Inf;110],rectal_examination=,abdomen=distended large intestine} => {surgical_lesion=yes}",0.0361445769667625,1,1,9
"10","{pulse=[-Inf;76],abdominocentesis_appearance=,outcome=euthanized} => {surgical_lesion=yes}",0.0331325307488441,1,1,5
"11","{pulse=[60;Inf],abdominocentesis_appearance=serosanguinous,outcome=euthanized} => {surgical_lesion=yes}",0.0271084345877171,1,1,8
"12","{pulse=[49;Inf],nasogastric_tube=none,nasogastric_reflux=<1l} => {surgical_lesion=yes}",0.0271084345877171,1,1,6
"13","{surgery=yes,temp_extremities=cool,mucous_membranes=bright red} => {surgical_lesion=yes}",0.0240963846445084,1,1,3
"14","{surgery=no,pain=intermittent mild pain,abdominal_distension=moderate} => {surgical_lesion=yes}",0.0180722884833813,1,1,4
"15","{temp_extremities=normal,nasogastric_reflux=>1l} => {surgical_lesion=yes}",0.0120481923222542,1,1,4
"16","{peripheral_pulse=reduced,rectal_examination=decreased,abdomen=} => {surgical_lesion=yes}",0.0120481923222542,1,1,3
"17","{surgery=no,peripheral_pulse=absent} => {surgical_lesion=yes}",0.00903614424169064,1,1,2
"18","{temp_extremities=,mucous_membranes=pale pink,pain=} => {surgical_lesion=yes}",0.00602409616112709,1,1,2
"19","{temp_extremities=,pain=depressed,peristalsis=} => {surgical_lesion=yes}",0.00602409616112709,1,1,1
"20","{temp_extremities=,peristalsis=normal} => {surgical_lesion=yes}",0.00301204808056355,1,1,1
"21","{temp_extremities=warm,nasogastric_tube=none,rectal_examination=absent} => {surgical_lesion=yes}",0.00301204808056355,1,1,1
"22","{surgery=yes,abdomen=distended small intestine} => {surgical_lesion=yes}",0.114457830786705,0.974358975887299,0.95,19
"23","{surgery=yes,pulse=[54;Inf],outcome=lived} => {surgical_lesion=yes}",0.189759030938148,0.969230771064758,0.931034482758621,27
"24","{surgery=yes,temp_extremities=cool,outcome=lived} => {surgical_lesion=yes}",0.0933734923601151,0.939393937587738,0.714285714285714,5
"25","{surgery=yes,peripheral_pulse=normal,abdominocentesis_appearance=} => {surgical_lesion=yes}",0.0602409653365612,0.909090936183929,0.666666666666667,4
"26","{} => {surgical_lesion=no}",0.370481938123703,0.370481938123703,0.935483870967742,116
