"","rules","support","confidence","orderedConf","orderedSupp"
"1","{A2=[34.17;Inf],A7=bb,A8=[-Inf;2.165]} => {class=-}",0.0177419353276491,1,1,11
"2","{A4=y,A6=k,A8=[0.29;Inf]} => {class=-}",0.00806451588869095,1,1,5
"3","{A1=a,A7=bb,A8=[-Inf;2.165]} => {class=-}",0.00483870971947908,1,1,2
"4","{A8=[-Inf;1.46],A9=f,A13=g} => {class=-}",0.308064520359039,0.964646458625793,0.963541666666667,185
"5","{A8=[1.04;Inf],A9=t,A10=t} => {class=+}",0.230645164847374,0.95333331823349,0.959731543624161,143
"6","{A3=[4.25;Inf],A6=x} => {class=+}",0.0258064512163401,0.941176474094391,1,9
"7","{A8=[-Inf;1.665],A10=f,A13=s} => {class=-}",0.0435483865439892,0.931034505367279,0.925925925925926,25
"8","{A9=f} => {class=-}",0.446774184703827,0.926421403884888,0.844155844155844,65
"9","{A4=y,A6=i} => {class=-}",0.0161290317773819,0.909090936183929,1,1
"10","{A6=aa,A10=f,A14=[21;Inf]} => {class=-}",0.0387096777558327,0.888888895511627,0.75,9
"11","{A4=y,A15=[-Inf;286]} => {class=-}",0.151612907648087,0.817391276359558,0.5,9
"12","{A10=f,A14=[73;Inf],A15=[-Inf;484]} => {class=-}",0.329032272100449,0.809523820877075,0.428571428571429,18
"13","{} => {class=+}",0.445161283016205,0.445161283016205,0.893333333333333,67
