"","rules","support","confidence","orderedConf","orderedSupp"
"1","{checking_status=no checking,purpose=used car,other_payment_plans=none} => {class=good}",0.0466666668653488,1,1,42
"2","{purpose=used car,credit_amount=[-Inf;4110]} => {class=good}",0.045555554330349,1,1,17
"3","{checking_status=no checking,credit_amount=[2779;Inf],employment=4<=X<7} => {class=good}",0.0311111118644476,1,1,21
"4","{duration=[-Inf;33],credit_history=critical/other existing credit,purpose=used car} => {class=good}",0.0233333334326744,1,1,4
"5","{checking_status=no checking,duration=[26;Inf],employment=>=7} => {class=good}",0.0233333334326744,1,1,17
"6","{checking_status=0<=X<200,duration=[20;Inf],savings_status=no known savings} => {class=good}",0.0233333334326744,1,1,20
"7","{checking_status=0<=X<200,credit_amount=[2764;14318],savings_status=no known savings} => {class=good}",0.0211111102253199,1,1,3
"8","{employment=>=7,personal_status=male mar/wid} => {class=good}",0.0133333336561918,1,1,12
"9","{other_parties=none,job=skilled,foreign_worker=no} => {class=good}",0.0122222220525146,1,1,10
"10","{purpose=new car,savings_status=>=1000} => {class=good}",0.00999999977648258,1,1,8
"11","{credit_amount=[3850;Inf],job=unskilled resident,num_dependents=2} => {class=good}",0.00999999977648258,1,1,8
"12","{checking_status=0<=X<200,purpose=used car,personal_status=male single} => {class=good}",0.00999999977648258,1,1,4
"13","{credit_history=delayed previously,savings_status=100<=X<500,other_payment_plans=none} => {class=good}",0.00999999977648258,1,1,8
"14","{checking_status=<0,credit_history=all paid,other_payment_plans=none} => {class=bad}",0.00888888910412788,1,1,8
"15","{purpose=radio/tv,personal_status=female div/dep/mar,other_parties=guarantor} => {class=good}",0.00888888910412788,1,1,8
"16","{purpose=furniture/equipment,other_parties=guarantor} => {class=good}",0.0077777779661119,1,1,7
"17","{checking_status=>=200,credit_history=critical/other existing credit,credit_amount=[2320;Inf]} => {class=good}",0.00666666682809591,1,1,5
"18","{purpose=furniture/equipment,savings_status=no known savings,employment=4<=X<7} => {class=good}",0.00555555569007993,1,1,4
"19","{checking_status=0<=X<200,savings_status=no known savings,job=unskilled resident} => {class=good}",0.00555555569007993,1,1,1
"20","{credit_amount=[3235;Inf],employment=<1,property_magnitude=real estate} => {class=good}",0.00555555569007993,1,1,3
"21","{property_magnitude=no known property,other_payment_plans=stores} => {class=bad}",0.00444444455206394,1,1,4
"22","{checking_status=no checking,credit_history=delayed previously,employment=<1} => {class=bad}",0.00444444455206394,1,1,4
"23","{credit_history=all paid,employment=>=7,own_telephone=yes} => {class=bad}",0.00444444455206394,1,1,4
"24","{purpose=repairs,housing=own,job=unskilled resident} => {class=good}",0.00444444455206394,1,1,3
"25","{purpose=furniture/equipment,employment=1<=X<4,job=high qualif/self emp/mgmt} => {class=bad}",0.00333333341404796,1,1,3
"26","{personal_status=male div/sep,property_magnitude=car,housing=rent} => {class=bad}",0.00333333341404796,1,1,3
"27","{credit_history=no credits/all paid,other_payment_plans=stores} => {class=bad}",0.00222222227603197,1,1,2
"28","{credit_history=existing paid,purpose=education,savings_status=100<=X<500} => {class=bad}",0.00222222227603197,1,1,2
"29","{checking_status=>=200,housing=for free,num_dependents=2} => {class=bad}",0.00222222227603197,1,1,2
"30","{purpose=new car,property_magnitude=real estate,other_payment_plans=stores} => {class=bad}",0.00222222227603197,1,1,2
"31","{credit_history=delayed previously,purpose=repairs,credit_amount=[-Inf;6199]} => {class=bad}",0.00222222227603197,1,1,2
"32","{credit_history=no credits/all paid,purpose=radio/tv,personal_status=male single} => {class=bad}",0.00222222227603197,1,1,2
"33","{credit_history=all paid,purpose=radio/tv,employment=>=7} => {class=good}",0.00222222227603197,1,1,2
"34","{checking_status=<0,other_parties=co applicant,job=high qualif/self emp/mgmt} => {class=good}",0.00222222227603197,1,1,2
"35","{checking_status=no checking,purpose=repairs,employment=1<=X<4} => {class=good}",0.00222222227603197,1,1,2
"36","{checking_status=>=200,personal_status=male mar/wid,own_telephone=yes} => {class=bad}",0.00111111113801599,1,1,1
"37","{credit_history=existing paid,savings_status=no known savings,other_parties=guarantor} => {class=bad}",0.00111111113801599,1,1,1
"38","{checking_status=no checking,credit_history=critical/other existing credit,other_payment_plans=none} => {class=good}",0.131111115217209,0.975206613540649,0.963855421686747,80
"39","{checking_status=0<=X<200,savings_status=no known savings,personal_status=male single} => {class=good}",0.0255555547773838,0.958333313465118,0.875,7
"40","{purpose=radio/tv,savings_status=<100,employment=>=7} => {class=good}",0.0322222225368023,0.935483872890472,0.875,14
"41","{credit_history=delayed previously,savings_status=no known savings} => {class=good}",0.0144444443285465,0.928571403026581,1,3
"42","{personal_status=male mar/wid,property_magnitude=real estate,own_telephone=none} => {class=good}",0.0266666673123837,0.923076927661896,0.882352941176471,15
"43","{employment=4<=X<7,other_payment_plans=none,job=unskilled resident} => {class=good}",0.0233333334326744,0.91304349899292,0.909090909090909,10
"44","{checking_status=no checking,credit_amount=[-Inf;3913]} => {class=good}",0.276666671037674,0.912087917327881,0.852459016393443,104
"45","{duration=[-Inf;36],credit_history=critical/other existing credit,personal_status=male single} => {class=good}",0.150000005960464,0.894039750099182,0.74468085106383,35
"46","{credit_history=delayed previously,employment=1<=X<4,own_telephone=none} => {class=good}",0.0177777782082558,0.888888895511627,0.8,4
"47","{credit_history=critical/other existing credit,credit_amount=[-Inf;3965]} => {class=good}",0.193333327770233,0.878787875175476,0.703703703703704,19
"48","{checking_status=no checking} => {class=good}",0.348888874053955,0.877094984054565,0.352941176470588,6
"49","{duration=[-Inf;33],credit_amount=[-Inf;3914],own_telephone=yes} => {class=good}",0.20444443821907,0.859813094139099,0.706896551724138,41
