"","rules","support","confidence","orderedConf","orderedSupp"
"1","{plas=[-Inf;106],mass=[-Inf;27.5]} => {class=tested_negative}",0.121387280523777,1,1,84
"2","{plas=[-Inf;127],insu=[14;89],age=[28;Inf]} => {class=tested_negative}",0.0433526001870632,1,1,25
"3","{plas=[105;154],insu=[49;114],age=[-Inf;30]} => {class=tested_negative}",0.0419075153768063,1,1,26
"4","{plas=[94;124],insu=[130;Inf],age=[-Inf;28]} => {class=tested_negative}",0.040462426841259,1,1,26
"5","{plas=[-Inf;165],insu=[135;Inf],mass=[-Inf;27]} => {class=tested_negative}",0.0231213867664337,1,1,9
"6","{plas=[-Inf;128],mass=[-Inf;28.3],age=[-Inf;28]} => {class=tested_negative}",0.147398844361305,0.990291237831116,0.961538461538462,25
"7","{plas=[-Inf;124],mass=[-Inf;27.3]} => {class=tested_negative}",0.176300585269928,0.968253970146179,0.833333333333333,15
"8","{plas=[-Inf;99],age=[-Inf;30]} => {class=tested_negative}",0.163294792175293,0.95762711763382,0.909090909090909,50
"9","{plas=[81;127],insu=[14;110]} => {class=tested_negative}",0.153179183602333,0.954954981803894,0.8125,13
"10","{preg=[-Inf;Inf],plas=[103;124],insu=[115;148]} => {class=tested_negative}",0.0216763000935316,0.9375,0.833333333333333,5
"11","{plas=[-Inf;99]} => {class=tested_negative}",0.22976878285408,0.92441862821579,0.724137931034483,21
"12","{plas=[94;157],insu=[140;510],age=[-Inf;28]} => {class=tested_negative}",0.0722543373703957,0.909090936183929,0.782608695652174,18
"13","{insu=[15;110]} => {class=tested_negative}",0.189306363463402,0.897260248661041,0.384615384615385,5
"14","{mass=[-Inf;27.3]} => {class=tested_negative}",0.226878613233566,0.892045438289642,0.580645161290323,18
"15","{preg=[-Inf;6],plas=[44;123]} => {class=tested_negative}",0.406069368124008,0.867283940315247,0.6,42
"16","{} => {class=tested_positive}",0.34971097111702,0.34971097111702,0.71063829787234,167
