"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Mg=[-Inf;3.57],Ca=[5.43;Inf],Ba=[0.4;1.71]} => {Type=headlamps}",0.11979166418314,1,1,23
"2","{RI=[-Inf;Inf],Mg=[3.26;3.65],Al=[1.1;1.21]} => {Type=build wind float}",0.0625,1,1,12
"3","{RI=[1.51719;1.51797],Ca=[5.43;8.43]} => {Type=build wind float}",0.0520833320915699,1,1,8
"4","{Na=[-Inf;Inf],Al=[1.05;Inf],Ca=[10.99;12.5]} => {Type=containers}",0.03125,1,1,6
"5","{Na=[11.56;13.83],Mg=[-Inf;3.18],Al=[1.74;Inf]} => {Type=containers}",0.03125,1,1,5
"6","{Al=[0.87;1.76],K=[-Inf;0.05]} => {Type=tableware}",0.026041666045785,1,1,5
"7","{Al=[0.47;Inf],Ca=[5.87;6.96]} => {Type=containers}",0.015625,1,1,1
"8","{Mg=[-Inf;Inf],Al=[1.45;2.27],Ca=[8.75;9.18]} => {Type=vehic wind float}",0.015625,1,1,3
"9","{Na=[12.64;14.32],Al=[-Inf;1.11],Ca=[9.14;9.49]} => {Type=vehic wind float}",0.0104166669771075,1,1,2
"10","{RI=[1.51707;1.51808],Al=[0.67;1.51]} => {Type=build wind float}",0.16666667163372,0.914285719394684,0.85,17
"11","{Na=[13.73;Inf],K=[-Inf;0],Ba=[-Inf;0.53]} => {Type=tableware}",0.0416666679084301,0.888888895511627,1,3
"12","{RI=[1.51735;1.51797]} => {Type=build wind float}",0.15625,0.833333313465118,0.5,1
"13","{RI=[1.51569;1.5172],K=[0.51;0.72],Ca=[8.27;8.79]} => {Type=vehic wind float}",0.0364583320915699,0.777777791023254,0.777777777777778,7
"14","{K=[0.72;Inf],Ca=[8.55;10.09]} => {Type=headlamps}",0.0104166669771075,0.666666686534882,1,2
"15","{Mg=[2.68;Inf],Al=[-Inf;1.4]} => {Type=build wind float}",0.291666656732559,0.643678188323975,0.564102564102564,22
"16","{} => {Type=build wind non-float}",0.354166656732559,0.354166656732559,0.942307692307692,49
