"","rules","support","confidence","orderedConf","orderedSupp"
"1","{SPIDERS=no,ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.407142847776413,1,1,57
"2","{FATIGUE=no,HISTOLOGY=no} => {Class=LIVE}",0.228571429848671,1,1,7
"3","{SEX=male} => {Class=LIVE}",0.107142858207226,1,1,9
"4","{ANOREXIA=yes,BILIRUBIN=[-Inf;1.4]} => {Class=LIVE}",0.0928571447730064,1,1,7
"5","{LIVER_BIG=no,HISTOLOGY=yes} => {Class=LIVE}",0.0714285746216774,1,1,7
"6","{ANOREXIA=yes,LIVER_FIRM=yes,ASCITES=no} => {Class=LIVE}",0.0714285746216774,1,1,2
"7","{FATIGUE=} => {Class=LIVE}",0.00714285718277097,1,1,1
"8","{MALAISE=no,SPIDERS=no} => {Class=LIVE}",0.46428570151329,0.970149278640747,0.8,8
"9","{BILIRUBIN=[-Inf;1.4],PROTIME=[43;Inf]} => {Class=LIVE}",0.585714280605316,0.964705884456635,0.833333333333333,10
"10","{SPIDERS=no} => {Class=LIVE}",0.592857122421265,0.912087917327881,0.375,3
"11","{} => {Class=DIE}",0.207142859697342,0.207142859697342,1,20
