"","rules","support","confidence","orderedConf","orderedSupp"
"1","{SPIDERS=no,ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.385714292526245,1,1,54
"2","{LIVER_FIRM=yes,BILIRUBIN=[-Inf;1.9],HISTOLOGY=no} => {Class=LIVE}",0.150000005960464,1,1,12
"3","{LIVER_BIG=no,BILIRUBIN=[-Inf;1.9]} => {Class=LIVE}",0.121428571641445,1,1,8
"4","{SEX=female,ALBUMIN=[-Inf;2.8]} => {Class=DIE}",0.0714285746216774,1,1,10
"5","{SPLEEN_PALPABLE=yes,ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.0642857179045677,1,1,4
"6","{MALAISE=yes,ANOREXIA=no,PROTIME=[-Inf;43]} => {Class=DIE}",0.0642857179045677,1,1,7
"7","{ASCITES=yes,BILIRUBIN=[1.4;Inf]} => {Class=DIE}",0.0571428574621677,1,1,1
"8","{SPLEEN_PALPABLE=,PROTIME=[36;Inf]} => {Class=LIVE}",0.0285714287310839,1,1,4
"9","{STEROID=no,FATIGUE=yes,LIVER_BIG=} => {Class=DIE}",0.0285714287310839,1,1,2
"10","{MALAISE=no,SPIDERS=yes,BILIRUBIN=[1.7;Inf]} => {Class=DIE}",0.0142857143655419,1,1,2
"11","{LIVER_FIRM=no,SPIDERS=no,PROTIME=[42;Inf]} => {Class=LIVE}",0.385714292526245,0.981818199157715,1,16
"12","{STEROID=yes,BILIRUBIN=[-Inf;1.8],PROTIME=[47;Inf]} => {Class=LIVE}",0.342857152223587,0.979591846466064,0.833333333333333,5
"13","{STEROID=yes,SPLEEN_PALPABLE=no,ASCITES=no} => {Class=LIVE}",0.342857152223587,0.979591846466064,1,3
"14","{ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.507142841815948,0.972602725028992,0.666666666666667,2
"15","{LIVER_FIRM=no,SPLEEN_PALPABLE=yes,SPIDERS=yes} => {Class=DIE}",0.0285714287310839,0.800000011920929,1,3
"16","{} => {Class=LIVE}",0.79285717010498,0.79285717010498,0.6,3
