"","rules","support","confidence","orderedConf","orderedSupp"
"1","{a03=[0.84843;1],a04=[-0.0349;0.63548],a10=[-0.51171;1]} => {class=g}",0.323809534311295,1,1,102
"2","{a03=[0.73523;0.99701],a05=[0.00428;0.99815]} => {class=g}",0.307936519384384,1,1,34
"3","{a03=[0.68317;1],a05=[-0.78824;0.99815],a06=[0.04918;0.90763]} => {class=g}",0.209523811936378,1,1,3
"4","{a10=[0.44898;0.9782],a12=[0.0213;0.99557]} => {class=g}",0.168253973126411,1,1,6
"5","{a08=[0.00197;1],a09=[-0.01478;Inf],a34=[-0.94823;-6e-05]} => {class=g}",0.136507943272591,1,1,12
"6","{a08=[0.00197;0.98903],a09=[0.84111;Inf]} => {class=g}",0.1206349208951,1,1,1
"7","{a04=[-Inf;0.00526],a06=[-0.208;-0.00143],a34=[-1;0.11447]} => {class=g}",0.114285714924335,1,1,15
"8","{a06=[0.00202;0.90763],a11=[-0.83152;-0.02116]} => {class=g}",0.101587302982807,1,1,1
"9","{a03=[-0.67935;1],a09=[-0.55941;-0.11108]} => {class=g}",0.0603174604475498,1,1,1
"10","{a21=[0.00048;0.99776],a27=[0.53215;0.99989]} => {class=g}",0.295238107442856,0.989361703395844,0.941176470588235,16
"11","{a07=[0.01437;0.99999],a14=[-0.8209;0.9513],a25=[0.21;0.99899]} => {class=g}",0.365079373121262,0.97457629442215,0.785714285714286,11
"12","{} => {class=b}",0.358730167150497,0.358730167150497,1,109
