"","rules","support","confidence","orderedConf","orderedSupp"
"1","{pension=,education.allowance=} => {class=good}",0.333333343267441,1,1,17
"2","{contribution.to.dental.plan=full} => {class=good}",0.254901975393295,1,1,6
"3","{wage.increase.first.year=[2.8;Inf],contribution.to.health.plan=} => {class=good}",0.215686276555061,1,1,3
"4","{pension=none} => {class=bad}",0.176470592617989,1,1,9
"5","{contribution.to.health.plan=none} => {class=bad}",0.137254908680916,1,1,4
"6","{longterm.disability.assistance=no} => {class=bad}",0.137254908680916,1,1,2
"7","{wage.increase.first.year=[3;Inf],pension=empl_contr} => {class=good}",0.117647059261799,1,1,3
"8","{vacation=} => {class=good}",0.0784313753247261,1,1,1
"9","{pension=,education.allowance=yes} => {class=good}",0.0784313753247261,1,1,3
"10","{} => {class=bad}",0.352941185235977,0.352941185235977,1,3
