"","rules","support","confidence","orderedConf","orderedSupp"
"1","{block_of_affere=yes,changes_in_node=lac_margin,no_of_nodes_in=[-Inf;2]} => {class=metastases}",0.276119410991669,1,1,37
"2","{changes_in_stru=coarse,no_of_nodes_in=[-Inf;2]} => {class=metastases}",0.119402982294559,1,1,5
"3","{block_of_affere=yes,changes_in_stru=diluted,no_of_nodes_in=[-Inf;2]} => {class=metastases}",0.0895522385835648,1,1,2
"4","{early_uptake_in=no,defect_in_node=lac_central,changes_in_node=lac_margin} => {class=metastases}",0.0671641826629639,1,1,6
"5","{lymphatics=arched,by_pass=yes,regeneration_of=no} => {class=metastases}",0.0522388070821762,1,1,2
"6","{by_pass=yes,lym_nodes_dimin=[2;Inf]} => {class=fibrosis}",0.0298507455736399,1,1,4
"7","{lymphatics=normal} => {class=normal}",0.0149253727868199,1,1,2
"8","{block_of_affere=yes,special_forms=chalices} => {class=metastases}",0.208955228328705,0.965517222881317,0.857142857142857,6
"9","{lym_nodes_enlar=[-Inf;2],changes_in_lym=round} => {class=metastases}",0.156716421246529,0.954545438289642,0.857142857142857,6
"10","{changes_in_node=lacunar,exclusion_of_no=no} => {class=metastases}",0.0671641826629639,0.899999976158142,0.75,3
"11","{extravasates=no,special_forms=no,dislocation_of=yes} => {class=metastases}",0.0671641826629639,0.899999976158142,0.833333333333333,5
"12","{} => {class=malign_lymph}",0.410447746515274,0.410447746515274,0.980769230769231,51
