"","rules","support","confidence","orderedConf","orderedSupp"
"1","{intensity.mean=[86.2963;Inf]} => {class=sky}",0.142857149243355,1,1,297
"2","{hue.mean=[1.28706;Inf]} => {class=grass}",0.141895145177841,1,1,295
"3","{region.centroid.row=[159;Inf],rawred.mean=[25.3333;137.111]} => {class=path}",0.140933141112328,1,1,293
"4","{region.centroid.row=[163;Inf],hue.mean=[-2.86995;-1.75551]} => {class=path}",0.131313130259514,1,1,4
"5","{region.centroid.col=[-Inf;151],rawred.mean=[18.1111;45.5556],hue.mean=[-1.85316;0]} => {class=brickface}",0.0740740746259689,1,1,154
"6","{region.centroid.row=[156;Inf],value.mean=[14.6667;22.2222]} => {class=grass}",0.0721500739455223,1,1,1
"7","{saturation.mean=[0.466345;Inf],hue.mean=[-Inf;-2.23829]} => {class=foliage}",0.0711880698800087,1,1,148
"8","{region.centroid.col=[-Inf;201],hue.mean=[-1.51256;-0.57094]} => {class=brickface}",0.0654160678386688,1,1,108
"9","{region.centroid.col=[37;Inf],region.centroid.row=[206;Inf]} => {class=grass}",0.0639730617403984,1,1,1
"10","{exred.mean=[-2.33333;Inf],exgreen.mean=[-8.77778;-5]} => {class=brickface}",0.060606062412262,1,1,21
"11","{region.centroid.row=[82;159],short.line.density.2=0,rawgreen.mean=[32.4444;66.4444]} => {class=cement}",0.0548340566456318,1,1,114
"12","{region.centroid.row=[-Inf;172],saturation.mean=[0.193665;0.277778],hue.mean=[-2.08549;-1.86318]} => {class=cement}",0.043771043419838,1,1,40
"13","{hedge.mean=[-Inf;44.7222],rawred.mean=[-Inf;0.555556],hue.mean=[-Inf;-2.09452]} => {class=foliage}",0.043771043419838,1,1,64
"14","{vedge.mean=[-Inf;2.22222],exblue.mean=[-12.4444;9.88889],hue.mean=[-2.86995;-2.09452]} => {class=foliage}",0.0404040403664112,1,1,3
"15","{region.centroid.row=[-Inf;125],exred.mean=[-14.7778;-8.22222],hue.mean=[-2.2166;-2.1041]} => {class=window}",0.0370370373129845,1,1,77
"16","{region.centroid.row=[-Inf;72],rawblue.mean=[40.3333;115.444]} => {class=cement}",0.034632034599781,1,1,51
"17","{region.centroid.row=[-Inf;124],exred.mean=[-14.4444;-7.77778],hue.mean=[-2.18547;-2.0967]} => {class=window}",0.0341510325670242,1,1,6
"18","{region.centroid.col=[133;213],value.mean=[0;5]} => {class=window}",0.0307840313762426,1,1,64
"19","{region.centroid.col=[133;213],hedge.mean=[-Inf;0.333332]} => {class=window}",0.0274170283228159,1,1,4
"20","{region.centroid.row=[121;Inf],rawred.mean=[-Inf;4],hue.mean=[-2.09439;-1.47702]} => {class=window}",0.0274170283228159,1,1,33
"21","{region.centroid.row=[-Inf;129],vegde.sd=[0.47778;2.56296],saturation.mean=[0.742819;Inf]} => {class=foliage}",0.0274170283228159,1,1,6
"22","{hedge.sd=[0.272166;0.962963],rawred.mean=[25;45.8889]} => {class=cement}",0.0269360262900591,1,1,21
"23","{region.centroid.col=[-Inf;Inf],saturation.mean=[0.425441;0.511905],hue.mean=[-1.90427;1.78351]} => {class=brickface}",0.0269360262900591,1,1,9
"24","{region.centroid.col=[110;Inf],vedge.mean=[-Inf;0.222221],hedge.mean=[-Inf;0.333332]} => {class=window}",0.0254930257797241,1,1,19
"25","{intensity.mean=[0;6.14815],hue.mean=[-2.22055;-2.13331]} => {class=foliage}",0.024050023406744,1,1,5
"26","{region.centroid.row=[115;130],exblue.mean=[5.55556;12.4444]} => {class=foliage}",0.0235690232366323,1,1,7
"27","{region.centroid.row=[-Inf;68],rawred.mean=[11.4444;24.3333]} => {class=brickface}",0.022607022896409,1,1,1
"28","{region.centroid.row=[106;158],rawred.mean=[27.3333;41.6667]} => {class=cement}",0.022607022896409,1,1,7
"29","{region.centroid.row=[117;153],saturation.mean=[0.252103;0.332815]} => {class=cement}",0.0211640205234289,1,1,4
"30","{region.centroid.row=[109;170],intensity.mean=[45.1852;101.926]} => {class=cement}",0.0197210200130939,1,1,1
"31","{region.centroid.col=[143;Inf],rawblue.mean=[37.8889;49.6667],hue.mean=[-2.07516;-1.87105]} => {class=cement}",0.0182780176401138,1,1,4
"32","{region.centroid.col=[-Inf;176],region.centroid.row=[-Inf;80],hue.mean=[-2.09022;-1.93792]} => {class=cement}",0.0182780176401138,1,1,2
"33","{region.centroid.row=[147;Inf],rawred.mean=[-Inf;3.77778]} => {class=window}",0.0177970174700022,1,1,4
"34","{hedge.mean=[-Inf;4.5],rawred.mean=[24.6667;137.111],rawgreen.mean=[30.8889;36.4444]} => {class=cement}",0.0173160172998905,1,1,1
"35","{intensity.mean=[3.85185;20.5185],hue.mean=[-2.1931;-2.14267]} => {class=window}",0.0158730167895555,1,1,8
"36","{region.centroid.col=[92;Inf],rawred.mean=[9.66667;16.5556],rawblue.mean=[20.3333;28.5556]} => {class=window}",0.0153920156881213,1,1,1
"37","{value.mean=[0;10.8889],hue.mean=[-1.98558;-1.56397]} => {class=window}",0.0149110145866871,1,1,3
"38","{region.centroid.row=[73;129],vegde.sd=[0.211113;2.47132],saturation.mean=[0.437404;0.524328]} => {class=window}",0.0149110145866871,1,1,8
"39","{region.centroid.row=[-Inf;130],vedge.mean=[0.111111;0.499999],exgreen.mean=[-6.55556;-1.33333]} => {class=foliage}",0.0134680131450295,1,1,7
"40","{region.centroid.row=[58;83],exgreen.mean=[-6.55556;-1.33333]} => {class=foliage}",0.0129870129749179,1,1,4
"41","{region.centroid.row=[-Inf;115],hedge.sd=[0.699204;1039.54],saturation.mean=[0.300036;0.323021]} => {class=cement}",0.0125060128048062,1,1,1
"42","{exblue.mean=[6.66667;44],saturation.mean=[0.321139;0.366946],hue.mean=[-2.10152;-2.01665]} => {class=cement}",0.012025011703372,1,1,2
"43","{region.centroid.col=[151;195],rawblue.mean=[8.66667;29.4444],exblue.mean=[10.3333;82]} => {class=window}",0.0115440115332603,1,1,12
"44","{rawblue.mean=[76.6667;122.222],hue.mean=[-2.18202;-2.08527]} => {class=cement}",0.0110630113631487,1,1,1
"45","{rawgreen.mean=[7.22222;102.778],saturation.mean=[0;0.204536]} => {class=cement}",0.0101010100916028,1,1,4
"46","{hedge.sd=[0.72265;Inf],exred.mean=[-16;-8.88889],exgreen.mean=[-10;-8.22222]} => {class=window}",0.00865800864994526,1,1,2
"47","{hedge.mean=[0.777779;11.6667],intensity.mean=[19.5185;30.4815],exgreen.mean=[-12.5556;-10.4444]} => {class=cement}",0.00865800864994526,1,1,15
"48","{region.centroid.col=[78;Inf],exgreen.mean=[-4.11111;-1.88889],hue.mean=[-2.11046;-2.07216]} => {class=foliage}",0.00769600784406066,1,1,8
"49","{hedge.mean=[-Inf;0.666666],rawblue.mean=[27.4444;36]} => {class=window}",0.00673400657251477,1,1,1
"50","{rawgreen.mean=[29.5556;36.5556],hue.mean=[-2.17565;-2.07523]} => {class=cement}",0.00673400657251477,1,1,1
