"","rules","support","confidence","orderedConf","orderedSupp"
"1","{attribute_10=[-Inf;0.2154],attribute_12=[-Inf;0.1554],attribute_48=[-Inf;0.0748]} => {Class=Rock}",0.1861702054739,1,1,35
"2","{attribute_4=[-Inf;0.0581],attribute_12=[0.0259;0.1935],attribute_51=[-Inf;0.0132]} => {Class=Rock}",0.159574463963509,1,1,8
"3","{attribute_21=[-Inf;0.696],attribute_48=[-Inf;0.0755],attribute_52=[-Inf;0.0093]} => {Class=Rock}",0.15425531566143,1,1,7
"4","{attribute_9=[0.0889;Inf],attribute_45=[0.3517;Inf]} => {Class=Mine}",0.138297870755196,1,1,26
"5","{attribute_9=[0.095;Inf],attribute_28=[0.9166;Inf],attribute_48=[0.0748;Inf]} => {Class=Mine}",0.138297870755196,1,1,17
"6","{attribute_11=[0.1459;Inf],attribute_45=[0.3955;Inf]} => {Class=Mine}",0.132978722453117,1,1,1
"7","{attribute_28=[0.5363;Inf],attribute_45=[0.3955;Inf]} => {Class=Mine}",0.127659574151039,1,1,1
"8","{attribute_5=[-Inf;0.0403],attribute_51=[-Inf;0.0167],attribute_52=[-Inf;0.0133]} => {Class=Rock}",0.127659574151039,1,1,8
"9","{attribute_4=[0.0521;Inf],attribute_46=[0.1717;Inf]} => {Class=Mine}",0.122340425848961,1,1,8
"10","{attribute_9=[-Inf;0.116],attribute_36=[0.5071;Inf],attribute_45=[-Inf;0.3955]} => {Class=Rock}",0.117021277546883,1,1,8
"11","{attribute_4=[0.0387;Inf],attribute_47=[-Inf;0.0624],attribute_52=[0.0022;0.0094]} => {Class=Rock}",0.0691489353775978,1,1,1
"12","{attribute_4=[-Inf;Inf],attribute_10=[0.211;0.5079],attribute_13=[-Inf;0.1608]} => {Class=Rock}",0.0159574467688799,1,1,2
"13","{attribute_21=[-Inf;0.7352],attribute_36=[0.4593;Inf],attribute_45=[-Inf;0.3754]} => {Class=Rock}",0.180851057171822,0.971428573131561,1,6
"14","{attribute_21=[-Inf;0.7084],attribute_47=[-Inf;0.0608],attribute_48=[-Inf;0.0927]} => {Class=Rock}",0.143617019057274,0.964285731315613,0.666666666666667,2
"15","{attribute_4=[0.0494;Inf],attribute_36=[-Inf;0.5142],attribute_48=[0.0745;Inf]} => {Class=Mine}",0.143617019057274,0.964285731315613,1,10
"16","{attribute_4=[-Inf;0.0539],attribute_11=[-Inf;0.1675],attribute_54=[-Inf;0.0226]} => {Class=Rock}",0.260638296604156,0.960784316062927,0.8,4
"17","{attribute_11=[0.1609;Inf],attribute_36=[-Inf;0.5142],attribute_51=[0.0128;Inf]} => {Class=Mine}",0.303191483020782,0.949999988079071,1,22
"18","{attribute_54=[0.0226;Inf]} => {Class=Mine}",0.101063832640648,0.949999988079071,1,2
"19","{attribute_12=[0.17;0.6552],attribute_21=[0.5297;Inf],attribute_52=[0.0094;Inf]} => {Class=Mine}",0.260638296604156,0.942307710647583,0.888888888888889,8
"20","{attribute_9=[0.1151;0.5276],attribute_36=[-Inf;0.5071],attribute_47=[0.0598;Inf]} => {Class=Mine}",0.34042552113533,0.853333353996277,0.6,3
"21","{} => {Class=Rock}",0.468085110187531,0.468085110187531,1,4
