"","rules","support","confidence","orderedConf","orderedSupp"
"1","{word_freq_order=[-Inf;1.27],word_freq_george=[0.45;Inf]} => {class=0}",0.138405799865723,1,1,573
"2","{word_freq_your=[-Inf;2.54],word_freq_george=[0.45;Inf]} => {class=0}",0.134541064500809,1,1,5
"3","{word_freq_your=[-Inf;0.38],word_freq_hpl=[0.04;Inf],X.char_freq_..21.=[-Inf;0.028]} => {class=0}",0.0990338176488876,1,1,314
"4","{word_freq_hp=[0.02;Inf],word_freq_1999=[0.06;Inf],capital_run_length_average=[1;2.812]} => {class=0}",0.0797101482748985,1,1,168
"5","{word_freq_our=[0.3;Inf],word_freq_your=[0.88;11.11],X.char_freq_..24.=[0.104;Inf]} => {class=1}",0.0731884092092514,1,1,303
"6","{word_freq_business=[-Inf;0.36],word_freq_george=[0.01;1.27]} => {class=0}",0.0712560415267944,1,1,33
"7","{word_freq_hp=[1.19;Inf],word_freq_1999=[0.05;Inf]} => {class=0}",0.066425122320652,1,1,14
"8","{word_freq_make=[0.01;Inf],word_freq_your=[0.07;11.11],word_freq_000=[0.27;Inf]} => {class=1}",0.064975842833519,1,1,181
"9","{word_freq_meeting=[0.46;Inf]} => {class=0}",0.0531400963664055,1,1,127
"10","{word_freq_hp=[1.17;Inf],word_freq_hpl=[-Inf;0.38],word_freq_data=[-Inf;1.01]} => {class=0}",0.0444444455206394,1,1,70
"11","{word_freq_hpl=[-Inf;0.5],word_freq_george=[0;0.28],capital_run_length_longest=[245;Inf]} => {class=1}",0.0384057983756065,1,1,64
"12","{word_freq_make=[-Inf;0.15],word_freq_internet=[0.01;Inf],X.char_freq_..21.=[0.373;32.478]} => {class=1}",0.0299516916275024,1,1,65
"13","{word_freq_data=[0.02;Inf],capital_run_length_longest=[-Inf;9]} => {class=0}",0.0178743954747915,1,1,26
"14","{word_freq_technology=[1.44;Inf]} => {class=0}",0.0140096619725227,1,1,11
"15","{word_freq_font=[0.07;Inf],capital_run_length_longest=[47;Inf]} => {class=1}",0.0132850240916014,1,1,31
"16","{word_freq_000=[0.01;0.38],X.char_freq_..5B.=[0.028;Inf]} => {class=1}",0.00821256078779697,1,1,10
"17","{word_freq_3d=[0.42;Inf],word_freq_hp=[-Inf;0.11]} => {class=1}",0.00628019310534,1,1,13
"18","{word_freq_1999=[0.05;Inf],X.char_freq_..21.=[0.051;0.548],X.char_freq_..24.=[0.047;0.146]} => {class=0}",0.00314009655267,1,1,2
"19","{word_freq_your=[-Inf;1.27],X.char_freq_..23.=[0.002;0.04],capital_run_length_average=[1;2.05]} => {class=0}",0.00314009655267,1,1,7
"20","{word_freq_000=[0.01;0.61],word_freq_re=[0.5;1.12]} => {class=0}",0.00048309177509509,1,1,2
"21","{word_freq_our=[0;Inf],X.char_freq_..28.=[0.559;0.611],capital_run_length_total=[-Inf;9]} => {class=1}",0.000241545887547545,1,1,1
"22","{word_freq_free=[0.01;Inf],X.char_freq_..21.=[0.373;32.478],X.char_freq_..24.=[0.104;Inf]} => {class=1}",0.0632850229740143,0.996197700500488,0.983606557377049,60
"23","{word_freq_all=[0.23;5.1],word_freq_remove=[0.02;Inf],word_freq_free=[0.01;Inf]} => {class=1}",0.0719806775450706,0.993333339691162,1,93
"24","{word_freq_receive=[-Inf;0.1],word_freq_hp=[0.02;3.57],X.char_freq_..21.=[-Inf;0.028]} => {class=0}",0.134541064500809,0.992869853973389,0.952380952380952,60
"25","{word_freq_all=[0.03;5.1],word_freq_your=[0.98;11.11],word_freq_money=[0.02;Inf]} => {class=1}",0.100000001490116,0.992805778980255,0.976744186046512,84
"26","{word_freq_mail=[-Inf;0.16],word_freq_hpl=[0.07;Inf]} => {class=0}",0.12777778506279,0.99249529838562,0.936170212765957,44
"27","{word_freq_you=[0.02;14.28],word_freq_hp=[0.02;Inf],capital_run_length_average=[1;2.152]} => {class=0}",0.0635265707969666,0.99245285987854,0.933333333333333,14
"28","{word_freq_mail=[-Inf;0.32],word_freq_money=[0.04;Inf],capital_run_length_longest=[56;213]} => {class=1}",0.0258454103022814,0.990740716457367,0.958333333333333,23
"29","{word_freq_hp=[-Inf;1.97],X.char_freq_..24.=[0.129;Inf],capital_run_length_average=[3.27;7.561]} => {class=1}",0.0867149755358696,0.988980710506439,0.945205479452055,69
"30","{word_freq_receive=[-Inf;0.11],word_freq_650=[0;0.23],word_freq_edu=[0.09;Inf]} => {class=0}",0.0874396115541458,0.986376047134399,0.986348122866894,289
"31","{word_freq_remove=[0.02;Inf],word_freq_hp=[-Inf;0.45],X.char_freq_..21.=[0.077;0.585]} => {class=1}",0.0944444462656975,0.984886646270752,0.96039603960396,97
"32","{word_freq_people=[-Inf;0.15],X.char_freq_..21.=[0.378;32.478],capital_run_length_total=[127;Inf]} => {class=1}",0.0751207694411278,0.984177231788635,0.959459459459459,71
"33","{X.char_freq_..21.=[0.371;9.575],capital_run_length_average=[4.512;Inf]} => {class=1}",0.0835748761892319,0.982954561710358,0.939393939393939,31
"34","{word_freq_george=[0;2.56],X.char_freq_..24.=[0.054;0.312],capital_run_length_longest=[56;213]} => {class=1}",0.0514492765069008,0.977064192295074,0.833333333333333,5
"35","{word_freq_all=[0.03;5.1],word_freq_1999=[0.05;Inf],capital_run_length_total=[42;138]} => {class=0}",0.0101449275389314,0.976744174957275,1,6
"36","{word_freq_free=[-Inf;1.24],X.char_freq_..21.=[-Inf;0.104],capital_run_length_longest=[-Inf;5]} => {class=0}",0.180917873978615,0.971465647220612,0.943019943019943,331
"37","{word_freq_you=[1.77;14.28],word_freq_credit=[0.01;Inf]} => {class=1}",0.0473429933190346,0.970297038555145,0.857142857142857,6
"38","{word_freq_business=[0.01;Inf],word_freq_you=[1.69;14.28],word_freq_hp=[-Inf;0.36]} => {class=1}",0.109420292079449,0.970021426677704,0.898305084745763,53
"39","{word_freq_our=[0;0.08],word_freq_over=[0.06;0.26],word_freq_money=[0;0.05]} => {class=0}",0.0152173908427358,0.969230771064758,0.857142857142857,6
"40","{word_freq_you=[0.02;0.85],X.char_freq_..28.=[0.094;0.264],capital_run_length_total=[66;143]} => {class=0}",0.00652173906564713,0.964285731315613,1,3
"41","{X.char_freq_..21.=[-Inf;0.04],X.char_freq_..24.=[0.05;0.16],capital_run_length_average=[2.111;3.388]} => {class=0}",0.00628019310534,0.962962985038757,0.5,1
"42","{word_freq_remove=[0.02;Inf]} => {class=1}",0.164492756128311,0.945833325386047,0.942857142857143,66
"43","{word_freq_our=[0;0.44],word_freq_re=[0.49;21.42],capital_run_length_longest=[-Inf;20]} => {class=0}",0.100724637508392,0.94130927324295,0.982758620689655,57
"44","{word_freq_edu=[0.13;Inf]} => {class=0}",0.0949275344610214,0.937947511672974,0.238095238095238,5
"45","{word_freq_our=[0.38;Inf],word_freq_mail=[0.01;2.41],word_freq_george=[0;0.14]} => {class=1}",0.0876811593770981,0.933161973953247,0.807692307692308,21
"46","{X.char_freq_..28.=[0.004;0.11],capital_run_length_total=[709;Inf]} => {class=1}",0.0473429933190346,0.915887832641602,0.833333333333333,5
"47","{word_freq_business=[0.06;Inf],word_freq_hp=[-Inf;0.11]} => {class=1}",0.147101446986198,0.910313904285431,0.529411764705882,9
"48","{word_freq_free=[0.09;16.66],word_freq_1999=[-Inf;0.12],word_freq_edu=[-Inf;0.08]} => {class=1}",0.193961352109909,0.903262078762054,0.731707317073171,90
"49","{X.char_freq_..28.=[0.269;1.932],capital_run_length_total=[-Inf;83]} => {class=0}",0.0731884092092514,0.901785731315613,0.883720930232558,38
"50","{word_freq_remove=[0;0.07],word_freq_free=[-Inf;0.1],X.char_freq_..24.=[-Inf;0.016]} => {class=0}",0.509903371334076,0.899829506874084,0.677018633540373,218
"51","{word_freq_free=[-Inf;0.13],word_freq_money=0,X.char_freq_..24.=[-Inf;0.055]} => {class=0}",0.53309178352356,0.874752283096313,0.75,3
"52","{} => {class=1}",0.39396134018898,0.39396134018898,0.769230769230769,20
