"","rules","support","confidence","orderedConf","orderedSupp"
"1","{CIRCULARITY=[39;50],RADIUS.RATIO=[-Inf;175],MAX.LENGTH.ASPECT.RATIO=[9;19]} => {Class=van}",0.111402362585068,1,1,85
"2","{MAX.LENGTH.ASPECT.RATIO=[9;13],SCALED.VARIANCE_MAJOR=[-Inf;183],KURTOSIS.ABOUT_MAJOR=[-Inf;17]} => {Class=van}",0.107470512390137,1,1,7
"3","{PR.AXIS.ASPECT.RATIO=[67;Inf],MAX.LENGTH.ASPECT.RATIO=[-Inf;7]} => {Class=bus}",0.0891218855977058,1,1,68
"4","{CIRCULARITY=[42;Inf],DISTANCE.CIRCULARITY=[-Inf;68],PR.AXIS.RECTANGULARITY=[19;29]} => {Class=bus}",0.0615989528596401,1,1,41
"5","{COMPACTNESS=[99;Inf],MAX.LENGTH.ASPECT.RATIO=[-Inf;7]} => {Class=bus}",0.0589777193963528,1,1,31
"6","{COMPACTNESS=[98;Inf],SKEWNESS.ABOUT_MAJOR=[77;Inf]} => {Class=bus}",0.0445609427988529,1,1,1
"7","{DISTANCE.CIRCULARITY=[-Inf;78],RADIUS.RATIO=[175;333],MAX.LENGTH.ASPECT.RATIO=[-Inf;7]} => {Class=bus}",0.0393184795975685,1,1,1
"8","{MAX.LENGTH.ASPECT.RATIO=[8;55],SCATTER.RATIO=[-Inf;139],KURTOSIS.ABOUT_MAJOR=[-Inf;19]} => {Class=van}",0.0393184795975685,1,1,20
"9","{MAX.LENGTH.RECTANGULARITY=[147;Inf],SCALED.VARIANCE_MAJOR=[-Inf;165]} => {Class=van}",0.0117955440655351,1,1,3
"10","{MAX.LENGTH.ASPECT.RATIO=[-Inf;8],SCALED.VARIANCE_MAJOR=[166;187],SKEWNESS.ABOUT_MAJOR=[62;64]} => {Class=opel}",0.010484928265214,1,1,8
"11","{SCATTER.RATIO=[-Inf;142],SCALED.VARIANCE_MAJOR=[166;320],KURTOSIS.ABOUT_MAJOR=[-Inf;35]} => {Class=van}",0.010484928265214,1,1,5
"12","{DISTANCE.CIRCULARITY=[-Inf;Inf],SCATTER.RATIO=[133;164],SKEWNESS.ABOUT_MAJOR=[-Inf;61]} => {Class=saab}",0.00786369573324919,1,1,6
"13","{COMPACTNESS=[86;Inf],PR.AXIS.ASPECT.RATIO=[97;Inf]} => {Class=van}",0.00655307993292809,1,1,5
"14","{SCATTER.RATIO=[115;147],SKEWNESS.ABOUT_MAJOR=[87;Inf]} => {Class=van}",0.00655307993292809,1,1,4
"15","{DISTANCE.CIRCULARITY=[-Inf;76],SCALED.VARIANCE_MINOR=[282;364],SKEWNESS.ABOUT_MAJOR=[62;64]} => {Class=opel}",0.00655307993292809,1,1,3
"16","{DISTANCE.CIRCULARITY=[90;Inf],MAX.LENGTH.ASPECT.RATIO=8,ELONGATEDNESS=[27;35]} => {Class=opel}",0.00524246413260698,1,1,4
"17","{COMPACTNESS=[-Inf;97],RADIUS.RATIO=[179;322],SKEWNESS.ABOUT_MINOR=[12;14]} => {Class=opel}",0.00524246413260698,1,1,4
"18","{ELONGATEDNESS=[26;61],PR.AXIS.RECTANGULARITY=[20;21],MAX.LENGTH.RECTANGULARITY=[145;146]} => {Class=opel}",0.00262123206630349,1,1,2
"19","{SCATTER.RATIO=[-Inf;265],SCALED.VARIANCE_MINOR=[281;307],SKEWNESS.ABOUT_MAJOR=68} => {Class=opel}",0.00131061603315175,1,1,1
"20","{MAX.LENGTH.ASPECT.RATIO=[7;55],PR.AXIS.RECTANGULARITY=[20;29],MAX.LENGTH.RECTANGULARITY=136} => {Class=saab}",0.00131061603315175,1,1,1
"21","{DISTANCE.CIRCULARITY=[-Inf;Inf],SCALED.VARIANCE_MINOR=[341;346],KURTOSIS.ABOUT_MINOR=183} => {Class=saab}",0.00131061603315175,1,1,1
"22","{CIRCULARITY=[41;Inf],MAX.LENGTH.ASPECT.RATIO=[-Inf;7],PR.AXIS.RECTANGULARITY=[21;29]} => {Class=bus}",0.0760157257318497,0.950819671154022,0.625,5
"23","{MAX.LENGTH.ASPECT.RATIO=[8;55],PR.AXIS.RECTANGULARITY=[-Inf;18],KURTOSIS.ABOUT_MAJOR=[-Inf;19]} => {Class=van}",0.0498034060001373,0.949999988079071,0.5,2
"24","{COMPACTNESS=[87;Inf],MAX.LENGTH.ASPECT.RATIO=[8;55],SCATTER.RATIO=[-Inf;141]} => {Class=van}",0.0419397130608559,0.941176474094391,1,3
"25","{COMPACTNESS=[-Inf;87],CIRCULARITY=[41;Inf],MAX.LENGTH.ASPECT.RATIO=[-Inf;7]} => {Class=bus}",0.0878112688660622,0.930555582046509,0.878787878787879,29
"26","{DISTANCE.CIRCULARITY=[65;76],SCATTER.RATIO=[141;155],SCALED.RADIUS.OF.GYRATION=[170;268]} => {Class=bus}",0.0943643525242805,0.923076927661896,0.8,8
"27","{SCATTER.RATIO=[-Inf;140],MAX.LENGTH.RECTANGULARITY=[136;Inf]} => {Class=van}",0.0668414160609245,0.910714268684387,0.92,23
"28","{MAX.LENGTH.ASPECT.RATIO=[-Inf;7],SCATTER.RATIO=[164;265],KURTOSIS.ABOUT_MAJOR=[-Inf;23]} => {Class=bus}",0.078636959195137,0.909090936183929,0.333333333333333,1
"29","{RADIUS.RATIO=[-Inf;177],SCALED.VARIANCE_MAJOR=[178;267],SKEWNESS.ABOUT_MINOR=[11;15]} => {Class=opel}",0.0131061598658562,0.909090936183929,0.875,7
"30","{CIRCULARITY=[55;Inf],MAX.LENGTH.RECTANGULARITY=[173;Inf],SCALED.VARIANCE_MAJOR=[-Inf;280]} => {Class=opel}",0.0380078628659248,0.90625,0.90625,29
"31","{MAX.LENGTH.ASPECT.RATIO=[8;19],SCALED.VARIANCE_MINOR=[299;341],SCALED.RADIUS.OF.GYRATION=[134;167]} => {Class=van}",0.0235910881310701,0.899999976158142,0.666666666666667,2
"32","{RADIUS.RATIO=[-Inf;175],MAX.LENGTH.RECTANGULARITY=[-Inf;149],SCALED.VARIANCE_MINOR=[385;430]} => {Class=opel}",0.0117955440655351,0.899999976158142,0.875,7
