dataset,accuracy,rules,antlength,buildtime
anneal,0.991110562346517,21.7,1.80131752305665,0.383
australian,0.8273645110218,28.9,2.83304823554685,0.288
autos,0.76640260070466,39.6,2.06863548569261,0.265
breast-w,0.945690665733532,30.2,2.53249877810362,0.257
colic,0.810067962699542,48.4,2.66464237786945,0.318
credit-a,0.843646937035684,35.3,2.64384518259518,0.317
credit-g,0.713,94.7,2.87561625011393,0.486
diabetes,0.759090909090909,45,2.80488388501115,0.279
glass,0.705272601794341,30.6,2.3778546902444,0.218
heart-statlog,0.833333333333333,22.4,2.75887047734874,0.227
hepatitis,0.812622549019608,18.8,2.3835146690255,0.228
hypothyroid,0.990459282070891,34.4,2.32565926463673,0.561
ionosphere,0.910541549953315,25.2,2.1708674161088,0.306
iris,0.933333333333333,8.7,1.48588383838384,0.184
labor,0.806666666666667,8.3,1.41468253968254,0.183
letter,0.713345473245,1431.3,2.95069739890169,56.365
lymph,0.798551587301587,22.2,2.31712149444758,0.218
segment,0.93030303030303,111.7,2.58000195922186,1.021
sonar,0.769177489177489,19.8,2.64890041308806,0.292
spambase,0.900237498040284,64.1,2.81084642931778,1.864
vehicle,0.685690084082619,66.9,2.85544155870405,0.421
vowel,0.7,149,2.79968929184432,0.473
