rules,suppport,confidence,lift
"{X5=(0.4615385; Inf],X13=[-Inf;-0.895],X6=(0.625; Inf]} => {Y=1}",0.04,1.00,0.00 
"{X11=1,X9=1,X8=-1} => {Y=-1}",0.04,1.00,0.00 
"{X5=(0.4615385; Inf],X6=(0.625; Inf],X14=(-0.99016; Inf]} => {Y=1}",0.04,1.00,0.00 
"{X6=[-Inf;-0.875],X13=[-Inf;-0.895],X8=-1} => {Y=-1}",0.03,1.00,0.00 
"{X6=[-Inf;-0.875],X4=[-Inf;-0.5]} => {Y=-1}",0.03,1.00,0.00 
"{X7=(-0.9108775; Inf],X13=[-Inf;-0.895],X8=-1} => {Y=-1}",0.03,1.00,0.00 
"{X4=[-Inf;-0.5],X13=[-Inf;-0.895],X8=-1} => {Y=-1}",0.03,1.00,0.00 
"{X6=[-Inf;-0.875],X4=[-Inf;-0.5],X8=-1} => {Y=-1}",0.03,1.00,0.00 
"{X6=(0.625; Inf],X8=-1,X5=[-Inf;0]} => {Y=-1}",0.03,1.00,0.00 
"{X3=(-0.6994645; Inf],X9=1,X8=-1} => {Y=-1}",0.02,1.00,0.00 
"{X8=1,X4=[-Inf;-0.5],X14=(-0.99016; Inf]} => {Y=1}",0.02,1.00,0.00 
"{X11=1,X6=(0.625; Inf],X14=(-0.99016; Inf]} => {Y=1}",0.02,1.00,0.00 
"{X5=(0;0.4615385],X1=-1,X14=(-0.99016; Inf]} => {Y=1}",0.02,1.00,0.00 
"{ } => {Y=-1}", 0,0,0
