rules,suppport,confidence,lift
"{engineSize=(85;105.5],width=(63.7;64.3],wheelBase=(92.15;94.8],peakRpm=[-Inf; Inf]} => {XClass=1}",0.17,1.00,0.00 
"{engineSize=(85;105.5],width=(63.7;64.3],stroke=[-Inf; Inf],wheelBase=(92.15;94.8]} => {XClass=1}",0.17,1.00,0.00 
"{engineSize=(85;105.5],width=(63.7;64.3],numOfCylinders=four,wheelBase=(92.15;94.8]} => {XClass=1}",0.17,1.00,0.00 
"{engineSize=(85;105.5],width=(63.7;64.3],wheelBase=(92.15;94.8],compressionRatio=[-Inf; Inf]} => {XClass=1}",0.17,1.00,0.00 
"{width=(63.7;64.3],wheelBase=(92.15;94.8],curbWeight=[-Inf;2215],engineLocation=front} => {XClass=1}",0.16,1.00,0.00 
"{engineSize=(85;105.5],width=(63.7;64.3],wheelBase=(92.15;94.8],fuelType=gas} => {XClass=1}",0.16,1.00,0.00 
"{wheelBase=(92.15;94.8],width=(63.7;64.3],engineType=ohc,curbWeight=[-Inf;2215]} => {XClass=1}",0.16,1.00,0.00 
"{width=(63.7;64.3],bore=[-Inf;3.255],wheelBase=(92.15;94.8],curbWeight=[-Inf;2215]} => {XClass=1}",0.16,1.00,0.00 
"{width=(63.7;64.3],bore=[-Inf;3.255],wheelBase=(92.15;94.8],price=[-Inf;8303.5]} => {XClass=1}",0.16,1.00,0.00 
"{width=(63.7;64.3],wheelBase=(92.15;94.8],driveWheels=fwd,highwayMpg=(29.5; Inf]} => {XClass=1}",0.15,1.00,0.00 
"{wheelBase=(92.15;94.8],width=(63.7;64.3],price=[-Inf;8303.5],cityMpg=(28.5; Inf]} => {XClass=1}",0.15,1.00,0.00 
"{width=(63.7;64.3],wheelBase=(92.15;94.8],cityMpg=(28.5; Inf]} => {XClass=1}",0.15,1.00,0.00 
"{width=(63.7;64.3],normalizedLosses=(96.5; Inf],wheelBase=(92.15;94.8],cityMpg=(28.5; Inf]} => {XClass=1}",0.15,1.00,0.00 
"{width=(63.7;64.3],wheelBase=(92.15;94.8],horsepower=[-Inf;87],cityMpg=(28.5; Inf]} => {XClass=1}",0.15,1.00,0.00 
"{width=(63.7;64.3],aspiration=std,wheelBase=(92.15;94.8],cityMpg=(28.5; Inf]} => {XClass=1}",0.15,1.00,0.00 
"{ } => {XClass=0}", 0,0,0
