rules,suppport,confidence,lift
"{pulse=(58; Inf],capillary_refill_time=<3,surgery=yes,outcome=lived} => {surgical_lesion=yes}",0.11,1.00,0.00 
"{peripheral_pulse=normal,nasogastric_reflux_PH=[-Inf; Inf],pulse=(58; Inf],surgery=yes} => {surgical_lesion=yes}",0.10,1.00,0.00 
"{peripheral_pulse=normal,pulse=(58; Inf],surgery=yes,rectal_temperature=[-Inf; Inf]} => {surgical_lesion=yes}",0.10,1.00,0.00 
"{surgery=no,pain=alert no pain,packed_cell_volume=[-Inf; Inf],outcome=lived} => {surgical_lesion=no}",0.09,1.00,0.00 
"{surgery=no,respiratory_rate=[-Inf;59],pain=alert no pain,outcome=lived} => {surgical_lesion=no}",0.09,1.00,0.00 
"{nasogastric_reflux_PH=[-Inf; Inf],surgery=yes,capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}",0.08,1.00,0.00 
"{peripheral_pulse=normal,pulse=(58; Inf],surgery=yes,respiratory_rate=[-Inf;59]} => {surgical_lesion=yes}",0.08,1.00,0.00 
"{rectal_examination=absent,surgery=yes,nasogastric_tube=slight,total_protein=[-Inf; Inf]} => {surgical_lesion=yes}",0.08,1.00,0.00 
"{abdominal_distension=moderate,Age=adult,packed_cell_volume=[-Inf; Inf],outcome=died} => {surgical_lesion=yes}",0.08,1.00,0.00 
"{peristalsis=hypomotile,Age=adult,outcome=died} => {surgical_lesion=yes}",0.08,1.00,0.00 
"{abdominal_distension=moderate,Age=adult,outcome=died,rectal_temperature=[-Inf; Inf]} => {surgical_lesion=yes}",0.08,1.00,0.00 
"{abdomen=distended large intestine,surgery=yes,nasogastric_tube=slight} => {surgical_lesion=yes}",0.08,1.00,0.00 
"{abdominal_distension=moderate,nasogastric_reflux_PH=[-Inf; Inf],Age=adult,outcome=died} => {surgical_lesion=yes}",0.08,1.00,0.00 
"{abdominal_distension=moderate,Age=adult,outcome=died} => {surgical_lesion=yes}",0.08,1.00,0.00 
"{ } => {surgical_lesion=yes}", 0,0,0
