rules,suppport,confidence,lift
"{A6=x,A10=t} => {class=+}",0.04,1.00,0.00 
"{A9=f,A6=aa} => {class=-}",0.04,1.00,0.00 
"{A7=ff,A5=p} => {class=-}",0.03,1.00,0.00 
"{A7=ff,A4=y} => {class=-}",0.03,1.00,0.00 
"{A5=p,A6=ff} => {class=-}",0.03,1.00,0.00 
"{A6=x,A11=(2.5; Inf]} => {class=+}",0.02,1.00,0.00 
"{A2=(38.96; Inf],A6=cc} => {class=+}",0.01,1.00,0.00 
"{A1=a,A6=d} => {class=-}",0.01,1.00,0.00 
"{A7=z,A8=(1.1875; Inf]} => {class=+}",0.01,1.00,0.00 
"{A7=ff,A6=k} => {class=-}",0.00,1.00,0.00 
"{A2=[-Inf;38.96],A4=l} => {class=+}",0.00,1.00,0.00 
"{A5=g,A6=r} => {class=+}",0.00,1.00,0.00 
"{A4=l} => {class=+}",0.00,1.00,0.00 
"{ } => {class=-}", 0,0,0
