rules,suppport,confidence,lift
"{property_magnitude=real estate,other_payment_plans=none,duration=[-Inf;15.5],checking_status=no checking} => {class=good}",0.06,1.00,0.00 
"{other_payment_plans=none,credit_history=critical/other existing credit,checking_status=no checking,purpose=radio/tv} => {class=good}",0.05,1.00,0.00 
"{other_payment_plans=none,purpose=used car,residence_since=[-Inf; Inf],checking_status=no checking} => {class=good}",0.05,1.00,0.00 
"{other_payment_plans=none,purpose=used car,checking_status=no checking} => {class=good}",0.05,1.00,0.00 
"{other_payment_plans=none,purpose=used car,existing_credits=[-Inf; Inf],checking_status=no checking} => {class=good}",0.05,1.00,0.00 
"{other_payment_plans=none,purpose=used car,checking_status=no checking,other_parties=none} => {class=good}",0.05,1.00,0.00 
"{other_payment_plans=none,credit_history=critical/other existing credit,property_magnitude=car,checking_status=no checking} => {class=good}",0.05,1.00,0.00 
"{housing=own,credit_history=critical/other existing credit,duration=[-Inf;15.5],property_magnitude=real estate} => {class=good}",0.05,1.00,0.00 
"{property_magnitude=real estate,other_payment_plans=none,personal_status=male single,checking_status=no checking} => {class=good}",0.05,1.00,0.00 
"{property_magnitude=real estate,credit_history=critical/other existing credit,duration=[-Inf;15.5],personal_status=male single} => {class=good}",0.04,1.00,0.00 
"{purpose=used car,installment_commitment=[-Inf; Inf],checking_status=no checking,personal_status=male single} => {class=good}",0.04,1.00,0.00 
"{purpose=used car,personal_status=male single,checking_status=no checking,age=[-Inf; Inf]} => {class=good}",0.04,1.00,0.00 
"{other_payment_plans=none,savings_status=no known savings,credit_amount=[-Inf;3913.5],employment=>=7} => {class=good}",0.04,1.00,0.00 
"{employment=4<=X<7,own_telephone=yes,checking_status=no checking} => {class=good}",0.04,1.00,0.00 
"{housing=own,savings_status=no known savings,credit_history=critical/other existing credit,other_payment_plans=none} => {class=good}",0.04,1.00,0.00 
"{employment=4<=X<7,own_telephone=yes,checking_status=no checking,age=[-Inf; Inf]} => {class=good}",0.04,1.00,0.00 
"{purpose=used car,other_payment_plans=none,personal_status=male single,checking_status=no checking} => {class=good}",0.04,1.00,0.00 
"{housing=own,credit_history=critical/other existing credit,duration=[-Inf;15.5],purpose=new car} => {class=good}",0.04,1.00,0.00 
"{ } => {class=good}", 0,0,0
