rules,suppport,confidence,lift
"{plas=[-Inf;99.5],mass=[-Inf;26.35]} => {class=tested_negative}",0.08,1.00,0.00 
"{plas=[-Inf;99.5],mass=[-Inf;26.35],pres=[-Inf; Inf]} => {class=tested_negative}",0.08,1.00,0.00 
"{skin=[-Inf; Inf],insu=(14.5;121],mass=[-Inf;26.35]} => {class=tested_negative}",0.07,1.00,0.00 
"{insu=(14.5;121],preg=[-Inf;6.5],mass=[-Inf;26.35]} => {class=tested_negative}",0.06,1.00,0.00 
"{insu=(14.5;121],age=[-Inf;28.5],mass=[-Inf;26.35]} => {class=tested_negative}",0.05,1.00,0.00 
"{insu=(14.5;121],mass=[-Inf;26.35],pedi=[-Inf;0.5275]} => {class=tested_negative}",0.05,1.00,0.00 
"{insu=(14.5;121],plas=[-Inf;99.5],mass=[-Inf;26.35]} => {class=tested_negative}",0.03,1.00,0.00 
"{plas=(99.5;127.5],insu=(14.5;121],mass=[-Inf;26.35]} => {class=tested_negative}",0.03,1.00,0.00 
"{plas=(127.5;157.5],age=(28.5; Inf],mass=[-Inf;26.35]} => {class=tested_negative}",0.01,1.00,0.00 
"{plas=(127.5;157.5],mass=[-Inf;26.35],insu=(121; Inf]} => {class=tested_negative}",0.01,1.00,0.00 
"{plas=[-Inf;99.5],mass=[-Inf;26.35],preg=(6.5; Inf]} => {class=tested_negative}",0.01,1.00,0.00 
"{plas=(127.5;157.5],mass=[-Inf;26.35],preg=(6.5; Inf]} => {class=tested_negative}",0.00,1.00,0.00 
"{plas=[-Inf;99.5],preg=(6.5; Inf],insu=(121; Inf]} => {class=tested_positive}",0.00,1.00,0.00 
"{ } => {class=tested_negative}", 0,0,0
