rules,suppport,confidence,lift
"{ASCITES=no,SPIDERS=no,ALBUMIN=(3.88373015873; Inf],PROTIME=[-Inf; Inf]} => {Class=LIVE}",0.44,1.00,0.00 
"{SPIDERS=no,ALBUMIN=(3.88373015873; Inf],PROTIME=[-Inf; Inf],AGE=[-Inf; Inf]} => {Class=LIVE}",0.44,1.00,0.00 
"{SPIDERS=no,ALBUMIN=(3.88373015873; Inf],ALK_PHOSPHATE=[-Inf; Inf],AGE=[-Inf; Inf]} => {Class=LIVE}",0.44,1.00,0.00 
"{ASCITES=no,SPIDERS=no,ALBUMIN=(3.88373015873; Inf],VARICES=no} => {Class=LIVE}",0.44,1.00,0.00 
"{VARICES=no,SPIDERS=no,ALBUMIN=(3.88373015873; Inf],SGOT=[-Inf; Inf]} => {Class=LIVE}",0.44,1.00,0.00 
"{SPIDERS=no,ALBUMIN=(3.88373015873; Inf],ALK_PHOSPHATE=[-Inf; Inf]} => {Class=LIVE}",0.44,1.00,0.00 
"{VARICES=no,SPIDERS=no,ALBUMIN=(3.88373015873; Inf],AGE=[-Inf; Inf]} => {Class=LIVE}",0.44,1.00,0.00 
"{SPIDERS=no,ALBUMIN=(3.88373015873; Inf],ALK_PHOSPHATE=[-Inf; Inf],SGOT=[-Inf; Inf]} => {Class=LIVE}",0.44,1.00,0.00 
"{SPIDERS=no,ALBUMIN=(3.88373015873; Inf],BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}",0.42,1.00,0.00 
"{ASCITES=no,SPIDERS=no,ALBUMIN=(3.88373015873; Inf],BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}",0.42,1.00,0.00 
"{SPIDERS=no,ALBUMIN=(3.88373015873; Inf],PROTIME=[-Inf; Inf],BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}",0.42,1.00,0.00 
"{SPIDERS=no,ALBUMIN=(3.88373015873; Inf],SGOT=[-Inf; Inf],BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}",0.42,1.00,0.00 
"{SPIDERS=no,ALBUMIN=(3.88373015873; Inf],ALK_PHOSPHATE=[-Inf; Inf],BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}",0.42,1.00,0.00 
"{VARICES=no,SPIDERS=no,ALBUMIN=(3.88373015873; Inf],BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}",0.42,1.00,0.00 
"{ASCITES=no,SEX=female,SPIDERS=no,ALBUMIN=(3.88373015873; Inf]} => {Class=LIVE}",0.41,1.00,0.00 
"{SPLEEN_PALPABLE=no,SPIDERS=no,ALBUMIN=(3.88373015873; Inf],PROTIME=[-Inf; Inf]} => {Class=LIVE}",0.41,1.00,0.00 
"{SEX=female,SPIDERS=no,ALBUMIN=(3.88373015873; Inf]} => {Class=LIVE}",0.41,1.00,0.00 
"{SPLEEN_PALPABLE=no,SPIDERS=no,ALBUMIN=(3.88373015873; Inf],ALK_PHOSPHATE=[-Inf; Inf]} => {Class=LIVE}",0.41,1.00,0.00 
"{ASCITES=no,SPIDERS=no,ALBUMIN=(3.88373015873; Inf],SPLEEN_PALPABLE=no} => {Class=LIVE}",0.41,1.00,0.00 
"{SPLEEN_PALPABLE=no,SPIDERS=no,ALBUMIN=(3.88373015873; Inf]} => {Class=LIVE}",0.41,1.00,0.00 
"{SPIDERS=no,ALBUMIN=(3.88373015873; Inf],SGOT=[-Inf; Inf],LIVER_BIG=yes} => {Class=LIVE}",0.40,1.00,0.00 
"{ASCITES=no,SPIDERS=no,ALBUMIN=(3.88373015873; Inf],LIVER_BIG=yes} => {Class=LIVE}",0.40,1.00,0.00 
"{ } => {Class=LIVE}", 0,0,0
