rules,suppport,confidence,lift
"{TT4=(89.5;148.5],TSH=[-Inf;6.05],TBG.measured=f,T4U=[-Inf; Inf]} => {Class=negative}",0.60,1.00,0.00 
"{hypopituitary=f,TSH=[-Inf;6.05],TT4=(89.5;148.5],age=[-Inf; Inf]} => {Class=negative}",0.60,1.00,0.00 
"{TT4=(89.5;148.5],TSH=[-Inf;6.05],TBG.measured=f} => {Class=negative}",0.60,1.00,0.00 
"{TSH=[-Inf;6.05],TT4=(89.5;148.5],age=[-Inf; Inf]} => {Class=negative}",0.60,1.00,0.00 
"{lithium=f,hypopituitary=f,TSH=[-Inf;6.05],TT4=(89.5;148.5]} => {Class=negative}",0.60,1.00,0.00 
"{lithium=f,TSH=[-Inf;6.05],TT4=(89.5;148.5],age=[-Inf; Inf]} => {Class=negative}",0.60,1.00,0.00 
"{TSH=[-Inf;6.05],on.antithyroid.medication=f,TT4=(89.5;148.5],age=[-Inf; Inf]} => {Class=negative}",0.60,1.00,0.00 
"{TSH=[-Inf;6.05],on.antithyroid.medication=f,TT4=(89.5;148.5]} => {Class=negative}",0.60,1.00,0.00 
"{TT4=(89.5;148.5],TSH=[-Inf;6.05],T4U=[-Inf; Inf],thyroid.surgery=f} => {Class=negative}",0.60,1.00,0.00 
"{TT4=(89.5;148.5],TSH=[-Inf;6.05],query.on.thyroxine=f,TBG.measured=f} => {Class=negative}",0.60,1.00,0.00 
"{TSH=[-Inf;6.05],query.on.thyroxine=f,TT4=(89.5;148.5],age=[-Inf; Inf]} => {Class=negative}",0.60,1.00,0.00 
"{hypopituitary=f,TSH=[-Inf;6.05],goitre=f,TT4=(89.5;148.5]} => {Class=negative}",0.60,1.00,0.00 
"{TT4=(89.5;148.5],TSH=[-Inf;6.05],I131.treatment=f,TBG.measured=f} => {Class=negative}",0.59,1.00,0.00 
"{TT4=(89.5;148.5],TSH=[-Inf;6.05],I131.treatment=f,T4U=[-Inf; Inf]} => {Class=negative}",0.59,1.00,0.00 
"{TSH=[-Inf;6.05],I131.treatment=f,TT4=(89.5;148.5],age=[-Inf; Inf]} => {Class=negative}",0.59,1.00,0.00 
"{lithium=f,pregnant=f,TSH=[-Inf;6.05],TT4=(89.5;148.5]} => {Class=negative}",0.59,1.00,0.00 
"{lithium=f,TSH=[-Inf;6.05],query.on.thyroxine=f,TT4=(89.5;148.5]} => {Class=negative}",0.59,1.00,0.00 
"{lithium=f,thyroid.surgery=f,TSH=[-Inf;6.05],TT4=(89.5;148.5]} => {Class=negative}",0.59,1.00,0.00 
"{ } => {Class=negative}", 0,0,0
