rules,suppport,confidence,lift
"{a25=(0.08722;0.999495],a33=(0.0002;0.994855],a27=(0.52812;0.999945]} => {class=g}",0.28,1.00,0.00 
"{a10=(-0.57299;0.98267],a25=(0.08722;0.999495],a33=(0.0002;0.994855],a27=(0.52812;0.999945]} => {class=g}",0.28,1.00,0.00 
"{a25=(0.08722;0.999495],a18=(-0.805795;0.99361],a33=(0.0002;0.994855],a27=(0.52812;0.999945]} => {class=g}",0.28,1.00,0.00 
"{a33=(0.0002;0.994855],a18=(-0.805795;0.99361],a31=(0.132415;0.99556],a27=(0.52812;0.999945]} => {class=g}",0.28,1.00,0.00 
"{a26=(-0.98148;0.799775],a25=(0.08722;0.999495],a33=(0.0002;0.994855],a27=(0.52812;0.999945]} => {class=g}",0.28,1.00,0.00 
"{a33=(0.0002;0.994855],a31=(0.132415;0.99556],a20=(-0.912755;0.975495],a27=(0.52812;0.999945]} => {class=g}",0.28,1.00,0.00 
"{a14=(-0.554585;0.652535],a25=(0.08722;0.999495],a33=(0.0002;0.994855],a27=(0.52812;0.999945]} => {class=g}",0.28,1.00,0.00 
"{a03=(0.19028; Inf],a33=(0.0002;0.994855],a31=(0.132415;0.99556],a27=(0.52812;0.999945]} => {class=g}",0.28,1.00,0.00 
"{a24=(-0.987455;0.865585],a33=(0.0002;0.994855],a31=(0.132415;0.99556],a27=(0.52812;0.999945]} => {class=g}",0.27,1.00,0.00 
"{a26=(-0.98148;0.799775],a33=(0.0002;0.994855],a31=(0.132415;0.99556],a27=(0.52812;0.999945]} => {class=g}",0.27,1.00,0.00 
"{a24=(-0.987455;0.865585],a25=(0.08722;0.999495],a21=(0.07206;0.99888],a27=(0.52812;0.999945]} => {class=g}",0.27,1.00,0.00 
"{a25=(0.08722;0.999495],a21=(0.07206;0.99888],a30=(-0.91428;0.930305],a27=(0.52812;0.999945]} => {class=g}",0.27,1.00,0.00 
"{a25=(0.08722;0.999495],a21=(0.07206;0.99888],a32=(-0.969765;0.87076],a27=(0.52812;0.999945]} => {class=g}",0.27,1.00,0.00 
"{a14=(-0.554585;0.652535],a25=(0.08722;0.999495],a21=(0.07206;0.99888],a27=(0.52812;0.999945]} => {class=g}",0.27,1.00,0.00 
"{a29=(0.06779;0.997],a25=(0.08722;0.999495],a33=(0.0002;0.994855],a27=(0.52812;0.999945]} => {class=g}",0.26,1.00,0.00 
"{a29=(0.06779;0.997],a33=(0.0002;0.994855],a31=(0.132415;0.99556],a27=(0.52812;0.999945]} => {class=g}",0.26,1.00,0.00 
"{a25=(0.08722;0.999495],a02=0,a33=(0.0002;0.994855],a27=(0.52812;0.999945]} => {class=g}",0.28,1.00,0.00 
"{a25=(0.08722;0.999495],a21=(0.07206;0.99888],a02=0,a27=(0.52812;0.999945]} => {class=g}",0.27,1.00,0.00 
"{a33=(0.0002;0.994855],a02=0,a31=(0.132415;0.99556],a27=(0.52812;0.999945]} => {class=g}",0.28,1.00,0.00 
"{ } => {class=g}", 0,0,0
