rules,suppport,confidence,lift
"{srv_count=(330.5; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_count=(330.5; Inf],rerror_rate=[-Inf;0.005],service=b'ecr_i'} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_serror_rate=[-Inf;0.005],srv_count=(330.5; Inf],service=b'ecr_i'} => {labels=smurf.}",0.57,1.00,0.00 
"{wrong_fragment=[-Inf;0.5],srv_count=(330.5; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_count=(330.5; Inf],dst_host_serror_rate=[-Inf;0.005]} => {labels=smurf.}",0.57,1.00,0.00 
"{hot=[-Inf;0.5],srv_count=(330.5; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_count=(330.5; Inf],rerror_rate=[-Inf;0.005]} => {labels=smurf.}",0.57,1.00,0.00 
"{num_access_files=[-Inf;0.5],srv_count=(330.5; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_count=(330.5; Inf],num_compromised=[-Inf;0.5]} => {labels=smurf.}",0.57,1.00,0.00 
"{serror_rate=[-Inf;0.005],srv_count=(330.5; Inf],service=b'ecr_i'} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_rerror_rate=[-Inf;0.01],srv_count=(330.5; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_count=(330.5; Inf],flag=b'SF'} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_count=(330.5; Inf],su_attempted=0} => {labels=smurf.}",0.57,1.00,0.00 
"{num_shells=0,srv_count=(330.5; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{is_host_login=0,srv_count=(330.5; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{urgent=0,srv_count=(330.5; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{logged_in=0,srv_count=(330.5; Inf],service=b'ecr_i'} => {labels=smurf.}",0.57,1.00,0.00 
"{ } => {labels=smurf.}", 0,0,0
