rules,suppport,confidence,lift
"{vacation=generous,shift.differential=[-Inf; Inf],wage.increase.first.year=(2.9; Inf],working.hours=[-Inf; Inf]} => {class=good}",0.27,1.00,0.00 
"{vacation=generous,wage.increase.first.year=(2.9; Inf],duration=[-Inf; Inf],wage.increase.second.year=[-Inf; Inf]} => {class=good}",0.27,1.00,0.00 
"{vacation=generous,shift.differential=[-Inf; Inf],wage.increase.first.year=(2.9; Inf],wage.increase.third.year=[-Inf; Inf]} => {class=good}",0.27,1.00,0.00 
"{vacation=generous,standby.pay=[-Inf; Inf],wage.increase.first.year=(2.9; Inf],duration=[-Inf; Inf]} => {class=good}",0.27,1.00,0.00 
"{vacation=generous,shift.differential=[-Inf; Inf],wage.increase.first.year=(2.9; Inf],wage.increase.second.year=[-Inf; Inf]} => {class=good}",0.27,1.00,0.00 
"{vacation=generous,standby.pay=[-Inf; Inf],wage.increase.first.year=(2.9; Inf],wage.increase.third.year=[-Inf; Inf]} => {class=good}",0.27,1.00,0.00 
"{vacation=generous,standby.pay=[-Inf; Inf],wage.increase.first.year=(2.9; Inf],working.hours=[-Inf; Inf]} => {class=good}",0.27,1.00,0.00 
"{vacation=generous,standby.pay=[-Inf; Inf],wage.increase.first.year=(2.9; Inf],wage.increase.second.year=[-Inf; Inf]} => {class=good}",0.27,1.00,0.00 
"{vacation=generous,wage.increase.first.year=(2.9; Inf],duration=[-Inf; Inf],wage.increase.third.year=[-Inf; Inf]} => {class=good}",0.27,1.00,0.00 
"{wage.increase.first.year=(2.9; Inf],shift.differential=[-Inf; Inf],contribution.to.dental.plan=full} => {class=good}",0.25,1.00,0.00 
"{contribution.to.dental.plan=full,statutory.holidays=[-Inf; Inf]} => {class=good}",0.25,1.00,0.00 
"{contribution.to.dental.plan=full,wage.increase.third.year=[-Inf; Inf]} => {class=good}",0.25,1.00,0.00 
"{wage.increase.first.year=(2.9; Inf],contribution.to.dental.plan=full,wage.increase.third.year=[-Inf; Inf]} => {class=good}",0.25,1.00,0.00 
"{wage.increase.first.year=(2.9; Inf],contribution.to.dental.plan=full,statutory.holidays=[-Inf; Inf]} => {class=good}",0.25,1.00,0.00 
"{standby.pay=[-Inf; Inf],contribution.to.dental.plan=full} => {class=good}",0.25,1.00,0.00 
"{ } => {class=good}", 0,0,0
