rules,suppport,confidence,lift
"{high=[-Inf;8.5],width=[-Inf;0.5]} => {class=I}",0.01,1.00,0.00 
"{width=[-Inf;0.5]} => {class=I}",0.01,1.00,0.00 
"{y.ege=[-Inf;0.5],xybar=[-Inf;2.5]} => {class=L}",0.01,1.00,0.00 
"{width=[-Inf;0.5],y.ege=[-Inf;0.5]} => {class=I}",0.01,1.00,0.00 
"{onpix=[-Inf;1.5],xybar=[-Inf;2.5]} => {class=L}",0.01,1.00,0.00 
"{x2ybr=(0.5;2.5],xybar=[-Inf;2.5]} => {class=L}",0.01,1.00,0.00 
"{x2bar=(3.5;4.5],width=[-Inf;0.5]} => {class=I}",0.01,1.00,0.00 
"{width=(3.5;7.5],xybar=[-Inf;2.5]} => {class=L}",0.01,1.00,0.00 
"{x2ybr=[-Inf;0.5],xybar=[-Inf;2.5]} => {class=L}",0.01,1.00,0.00 
"{y2bar=(12.5; Inf],x2ybr=(5.5;6.5]} => {class=Z}",0.01,1.00,0.00 
"{y2bar=(12.5; Inf],y.box=[-Inf; Inf]} => {class=Z}",0.01,1.00,0.00 
"{x2bar=(4.5;5.5],xybar=[-Inf;2.5]} => {class=L}",0.01,1.00,0.00 
"{y2bar=(12.5; Inf],y.bar=(6.5;7.5]} => {class=Z}",0.01,1.00,0.00 
"{ } => {class=U}", 0,0,0
