rules,suppport,confidence,lift
"{changes_in_node=lac_central,no_of_nodes_in=(3.5; Inf]} => {class=malign_lymph}",0.08,1.00,0.00 
"{special_forms=no,defect_in_node=lac_central} => {class=metastases}",0.05,1.00,0.00 
"{defect_in_node=lac_margin,changes_in_stru=coarse} => {class=metastases}",0.05,1.00,0.00 
"{lymphatics=displaced,early_uptake_in=no} => {class=metastases}",0.04,1.00,0.00 
"{bl_of_lymph_c=yes,dislocation_of=no} => {class=metastases}",0.04,1.00,0.00 
"{changes_in_stru=stripped} => {class=malign_lymph}",0.04,1.00,0.00 
"{regeneration_of=yes,lym_nodes_enlar=(2.5; Inf]} => {class=malign_lymph}",0.04,1.00,0.00 
"{exclusion_of_no=no,changes_in_stru=faint} => {class=metastases}",0.04,1.00,0.00 
"{lym_nodes_enlar=(2.5; Inf],changes_in_stru=stripped} => {class=malign_lymph}",0.04,1.00,0.00 
"{lymphatics=arched,changes_in_stru=grainy} => {class=metastases}",0.03,1.00,0.00 
"{regeneration_of=yes,changes_in_node=lac_central} => {class=malign_lymph}",0.03,1.00,0.00 
"{changes_in_stru=stripped,lymphatics=displaced} => {class=malign_lymph}",0.03,1.00,0.00 
"{by_pass=yes,lym_nodes_dimin=(1.5; Inf]} => {class=fibrosis}",0.03,1.00,0.00 
"{ } => {class=metastases}", 0,0,0
