rules,suppport,confidence,lift
"{attribute_45=(0.38545; Inf],attribute_11=(0.19795; Inf]} => {Class=Mine}",0.13,1.00,0.00 
"{attribute_45=(0.38545; Inf],attribute_12=(0.22505; Inf]} => {Class=Mine}",0.11,1.00,0.00 
"{attribute_44=(0.4271; Inf],attribute_9=(0.10785; Inf]} => {Class=Mine}",0.10,1.00,0.00 
"{attribute_44=(0.4271; Inf],attribute_13=(0.16265; Inf]} => {Class=Mine}",0.10,1.00,0.00 
"{attribute_29=[-Inf; Inf],attribute_54=(0.02075; Inf]} => {Class=Mine}",0.09,1.00,0.00 
"{attribute_42=[-Inf; Inf],attribute_54=(0.02075; Inf]} => {Class=Mine}",0.09,1.00,0.00 
"{attribute_38=[-Inf; Inf],attribute_54=(0.02075; Inf]} => {Class=Mine}",0.09,1.00,0.00 
"{attribute_32=[-Inf; Inf],attribute_54=(0.02075; Inf]} => {Class=Mine}",0.09,1.00,0.00 
"{attribute_18=[-Inf; Inf],attribute_54=(0.02075; Inf]} => {Class=Mine}",0.09,1.00,0.00 
"{attribute_39=[-Inf; Inf],attribute_54=(0.02075; Inf]} => {Class=Mine}",0.09,1.00,0.00 
"{attribute_44=(0.4271; Inf],attribute_10=(0.16315; Inf]} => {Class=Mine}",0.09,1.00,0.00 
"{attribute_1=[-Inf; Inf],attribute_54=(0.02075; Inf]} => {Class=Mine}",0.09,1.00,0.00 
"{attribute_43=[-Inf; Inf],attribute_54=(0.02075; Inf]} => {Class=Mine}",0.09,1.00,0.00 
"{attribute_59=[-Inf; Inf],attribute_54=(0.02075; Inf]} => {Class=Mine}",0.09,1.00,0.00 
"{ } => {Class=Mine}", 0,0,0
