rules,suppport,confidence,lift
"{word_freq_table=[-Inf; Inf],word_freq_george=(0.44; Inf]} => {class=0}",0.14,1.00,0.00 
"{word_freq_font=[-Inf;0.115],word_freq_george=(0.44; Inf]} => {class=0}",0.14,1.00,0.00 
"{word_freq_addresses=[-Inf;0.025],word_freq_george=(0.44; Inf]} => {class=0}",0.14,1.00,0.00 
"{word_freq_receive=[-Inf;0.045],word_freq_george=(0.44; Inf]} => {class=0}",0.14,1.00,0.00 
"{word_freq_cs=[-Inf;0.01],word_freq_george=(0.44; Inf]} => {class=0}",0.14,1.00,0.00 
"{X.char_freq_..24.=[-Inf;0.0125],word_freq_george=(0.44; Inf]} => {class=0}",0.14,1.00,0.00 
"{word_freq_order=[-Inf;0.045],word_freq_george=(0.44; Inf]} => {class=0}",0.14,1.00,0.00 
"{word_freq_free=[-Inf;0.095],word_freq_george=(0.44; Inf]} => {class=0}",0.13,1.00,0.00 
"{word_freq_make=[-Inf;0.075],word_freq_george=(0.44; Inf]} => {class=0}",0.13,1.00,0.00 
"{X.char_freq_..3B.=[-Inf;0.0655],word_freq_george=(0.44; Inf]} => {class=0}",0.12,1.00,0.00 
"{word_freq_original=[-Inf;0.245],word_freq_george=(0.44; Inf]} => {class=0}",0.11,1.00,0.00 
"{word_freq_1999=[-Inf;0.105],word_freq_george=(0.44; Inf]} => {class=0}",0.10,1.00,0.00 
"{word_freq_technology=[-Inf;0.095],word_freq_george=(0.44; Inf]} => {class=0}",0.10,1.00,0.00 
"{word_freq_857=[-Inf;0.045],word_freq_george=(0.44; Inf]} => {class=0}",0.10,1.00,0.00 
"{word_freq_85=[-Inf;0.195],word_freq_george=(0.44; Inf]} => {class=0}",0.10,1.00,0.00 
"{word_freq_lab=[-Inf;0.125],word_freq_george=(0.44; Inf]} => {class=0}",0.10,1.00,0.00 
"{word_freq_650=[-Inf;0.01],word_freq_george=(0.44; Inf]} => {class=0}",0.10,1.00,0.00 
"{word_freq_hpl=[-Inf;0.12],word_freq_george=(0.44; Inf]} => {class=0}",0.09,1.00,0.00 
"{ } => {class=0}", 0,0,0
