rules,suppport,confidence,lift
"{ELONGATEDNESS=(41.5;46.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],SKEWNESS.ABOUT_MAJOR=(64.5;76.5]} => {Class=van}",0.09,1.00,0.00 
"{ELONGATEDNESS=(41.5;46.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],HOLLOWS.RATIO=(189.5; Inf],SKEWNESS.ABOUT_MAJOR=(64.5;76.5]} => {Class=van}",0.09,1.00,0.00 
"{MAX.LENGTH.ASPECT.RATIO=(8.5;16],HOLLOWS.RATIO=(189.5; Inf],SKEWNESS.ABOUT_MAJOR=(64.5;76.5],SCALED.VARIANCE_MAJOR=(165.5;180.5]} => {Class=van}",0.08,1.00,0.00 
"{ELONGATEDNESS=(41.5;46.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],SKEWNESS.ABOUT_MAJOR=(64.5;76.5],SCALED.VARIANCE_MAJOR=(165.5;180.5]} => {Class=van}",0.08,1.00,0.00 
"{ELONGATEDNESS=(41.5;46.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],SKEWNESS.ABOUT_MAJOR=(64.5;76.5],CIRCULARITY=(40.5;49.5]} => {Class=van}",0.08,1.00,0.00 
"{ELONGATEDNESS=(41.5;46.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],SKEWNESS.ABOUT_MAJOR=(64.5;76.5],DISTANCE.CIRCULARITY=(76.5;92.5]} => {Class=van}",0.08,1.00,0.00 
"{MAX.LENGTH.ASPECT.RATIO=(8.5;16],COMPACTNESS=(82.5;98.5],SKEWNESS.ABOUT_MAJOR=(64.5;76.5],SCALED.VARIANCE_MAJOR=(165.5;180.5]} => {Class=van}",0.08,1.00,0.00 
"{MAX.LENGTH.ASPECT.RATIO=(8.5;16],PR.AXIS.ASPECT.RATIO=(52.5;68.5],SKEWNESS.ABOUT_MAJOR=(64.5;76.5],SCALED.VARIANCE_MAJOR=(165.5;180.5]} => {Class=van}",0.08,1.00,0.00 
"{MAX.LENGTH.ASPECT.RATIO=(8.5;16],SKEWNESS.ABOUT_MAJOR=(64.5;76.5],SCALED.VARIANCE_MAJOR=(165.5;180.5],CIRCULARITY=(40.5;49.5]} => {Class=van}",0.08,1.00,0.00 
"{MAX.LENGTH.ASPECT.RATIO=(8.5;16],SKEWNESS.ABOUT_MAJOR=(64.5;76.5],SCALED.VARIANCE_MAJOR=(165.5;180.5],DISTANCE.CIRCULARITY=(76.5;92.5]} => {Class=van}",0.08,1.00,0.00 
"{RADIUS.RATIO=[-Inf;175.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],SCALED.RADIUS.OF.GYRATION=(169.5;192.5]} => {Class=van}",0.07,1.00,0.00 
"{KURTOSIS.ABOUT_MINOR=(177.5;181.5],SCALED.VARIANCE_MAJOR=(165.5;180.5],CIRCULARITY=(40.5;49.5]} => {Class=bus}",0.07,1.00,0.00 
"{ELONGATEDNESS=(41.5;46.5],KURTOSIS.ABOUT_MINOR=(177.5;181.5],SCALED.VARIANCE_MAJOR=(165.5;180.5],CIRCULARITY=(40.5;49.5]} => {Class=bus}",0.07,1.00,0.00 
"{SCATTER.RATIO=(140.5;154.5],KURTOSIS.ABOUT_MINOR=(177.5;181.5],SCALED.VARIANCE_MAJOR=(165.5;180.5],CIRCULARITY=(40.5;49.5]} => {Class=bus}",0.07,1.00,0.00 
"{KURTOSIS.ABOUT_MINOR=(177.5;181.5],SKEWNESS.ABOUT_MAJOR=(76.5; Inf],SCALED.VARIANCE_MAJOR=(165.5;180.5],CIRCULARITY=(40.5;49.5]} => {Class=bus}",0.07,1.00,0.00 
"{ELONGATEDNESS=(41.5;46.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],SCALED.RADIUS.OF.GYRATION=(169.5;192.5]} => {Class=van}",0.07,1.00,0.00 
