rules,suppport,confidence,lift
"{Feature.1=[-Inf;-0.1235],Feature.9=[-Inf; Inf]} => {Class=hid}",0.05,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.2=[-Inf;0.4725],Feature.9=[-Inf; Inf]} => {Class=hid}",0.04,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.2=[-Inf;0.4725]} => {Class=hid}",0.04,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.3=(0.829; Inf],Feature.2=[-Inf;0.4725]} => {Class=hid}",0.03,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.3=(0.829; Inf],Feature.2=[-Inf;0.4725],Feature.9=[-Inf; Inf]} => {Class=hid}",0.03,1.00,0.00 
"{Feature.2=[-Inf;0.4725],Feature.0=[-Inf;-4.6685],Feature.9=[-Inf; Inf]} => {Class=hud}",0.03,1.00,0.00 
"{Feature.0=(-2.1045;-1.45],Feature.4=(-0.7345;0.498],Feature.1=(1.4125;2.215]} => {Class=hAd}",0.03,1.00,0.00 
"{Feature.0=(-2.1045;-1.45],Feature.4=(-0.7345;0.498],Feature.1=(1.4125;2.215],Feature.5=[-Inf;1.451]} => {Class=hAd}",0.03,1.00,0.00 
"{Feature.0=(-2.1045;-1.45],Feature.6=(-0.6605;0.4795],Feature.4=(-0.7345;0.498],Feature.1=(1.4125;2.215]} => {Class=hAd}",0.03,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Sex=Male,Feature.9=[-Inf; Inf]} => {Class=hid}",0.03,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.8=[-Inf;-0.4105]} => {Class=hid}",0.03,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.5=(1.451; Inf]} => {Class=hid}",0.03,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.2=[-Inf;0.4725],Sex=Male} => {Class=hid}",0.03,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.2=[-Inf;0.4725],Feature.7=(0.0765; Inf],Feature.9=[-Inf; Inf]} => {Class=hid}",0.03,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Sex=Male,Feature.7=(0.0765; Inf],Feature.9=[-Inf; Inf]} => {Class=hid}",0.03,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.2=[-Inf;0.4725],Sex=Male,Feature.7=(0.0765; Inf]} => {Class=hid}",0.03,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.7=(0.0765; Inf],Feature.9=[-Inf; Inf]} => {Class=hid}",0.03,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.4=(-0.7345;0.498],Feature.7=(0.0765; Inf]} => {Class=hid}",0.02,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.4=(-0.7345;0.498],Feature.9=[-Inf; Inf]} => {Class=hid}",0.02,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.4=(-0.7345;0.498],Feature.2=[-Inf;0.4725]} => {Class=hid}",0.02,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.4=(-0.7345;0.498],Sex=Male} => {Class=hid}",0.02,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.3=(0.829; Inf],Feature.2=[-Inf;0.4725],Feature.8=[-Inf;-0.4105]} => {Class=hid}",0.02,1.00,0.00 
"{ } => {Class=hAd}", 0,0,0
