dataset,accuracy,rules,antlength,buildtime
iris,0.8066666666666666,17.0,2.658342670401494,45.412319850921634
australian,0.5985836073559858,13.0,2.9692307692307693,37.58473563194275
anneal,0.8295802075577356,13.0,1.9384615384615387,30.404732179641723
autos,0.3669567941593113,13.8,1.957948717948718,28.47149395942688
breast-w,0.7180806578602048,18.1,2.8475462568010355,1117.5459530115127
colic,0.6414849059585901,13.0,1.9923076923076923,30.085563349723817
credit-a,0.5885007916209961,13.0,1.9615384615384617,31.194459915161133
credit-g,0.6990000000000001,13.0,2.0,29.55607924461365
diabetes,0.6537081339712919,14.2,2.996336996336997,32.18023347854614
glass,0.49969320534537925,14.7,2.900814479638009,31.748458075523377
heart-statlog,0.5629629629629628,13.0,3.0,28.735057759284974
ionosphere,0.8942110177404293,16.0,1.9083660130718954,45.216572070121764
labor,0.6799999999999998,15.3,2.7275106837606833,486.67327334880827
letter,0.07315081161572322,13.0,1.930769230769231,35.46629621982574
lymph,0.661547619047619,13.0,1.9846153846153847,36.902452898025516
segment,0.5047619047619047,16.9,1.8888458093334255,70.25550298690796
sonar,0.5871645021645022,13.7,2.0,49.51131114959717
vehicle,0.2799742141250981,13.0,1.9230769230769234,27.53535740375519
vowel,0.1797979797979798,13.0,1.9846153846153847,27.662706112861635
hepatitis,0.8008578431372548,13.4,1.9846153846153847,30.31151349544525
spambase,0.6187816762510384,13.7,1.953846153846154,47.40092735290527
hypothyroid,0.9228601478924275,15.9,1.9406349206349205,42.18211245536804
