dataset,accuracy,rules,antlength,buildtime
australian,0.694227865059067,3.1,3.275,9.015
anneal,0.761755809733338,1,0,0.429
autos,0.400481729686535,3.7,2.37,1.137
breast-w,0.95989531391246,7.5,2.88154761904762,0.809
colic,0.703674727358938,3.3,1.90555555555556,0.45
credit-a,0.710026184386798,6.8,3.13690476190476,2.257
credit-g,0.7,1,0,2.16
diabetes,0.670642515379357,3.4,1.94166666666667,13.07
glass,0.458407365581279,4,2.73,3.337
heart-statlog,0.696296296296296,4.3,2.84166666666667,0.455
hepatitis,0.794191176470588,1,0,0.349
hypothyroid,0.942986489008137,2.1,1.4,48.761
ionosphere,0.686788048552754,3.4,2.65333333333333,6.765
iris,0.946666666666667,4.5,1.69595238095238,0.594
labor,0.633333333333333,3.7,2.11666666666667,0.13
letter,0.0753062559175228,4.1,2.255,19.714
lymph,0.684603174603175,5.6,2.71968253968254,0.379
segment,0.285281385281385,2,0.5,105.522
sonar,0.702727272727273,3.9,2.82666666666667,3.695
spambase,0.605955589294517,1,0,66.093
vehicle,0.482710278761916,6.3,3.16936507936508,9.937
vowel,0.212121212121212,5.8,2.39154761904762,57.043
