"","rules","support","confidence","lift","laplace"
"1","{X1=1,X8=1,X9=1,X14=(-0.9921; Inf]} => {Y=1}",0.0983870967741935,1,2.2463768115942,0.984126984126984
"2","{X5=[-Inf;0.153846],X8=-1,X9=1} => {Y=-1}",0.0741935483870968,1,1.80232558139535,0.979166666666667
"3","{X8=1,X9=1,X14=(-0.9921; Inf]} => {Y=1}",0.164516129032258,0.980769230769231,2.20317725752508,0.971698113207547
"4","{X8=1,X10=(-0.9253735; Inf],X13=[-Inf;-0.9005]} => {Y=1}",0.108064516129032,0.985294117647059,2.21334185848252,0.971428571428571
"5","{X4=[-Inf;-0.5],X7=[-Inf;-0.9284215],X8=-1} => {Y=-1}",0.0887096774193548,0.982142857142857,1.77014119601329,0.96551724137931
"6","{X1=-1,X8=-1,X13=[-Inf;-0.9005]} => {Y=-1}",0.0403225806451613,1,1.80232558139535,0.962962962962963
"7","{X8=1,X14=(-0.9921; Inf]} => {Y=1}",0.195161290322581,0.968,2.17449275362319,0.960629921259842
"8","{X5=(0.153846; Inf],X8=1,X13=[-Inf;-0.9005]} => {Y=1}",0.1,0.96875,2.17617753623188,0.954545454545455
"9","{X8=-1} => {Y=-1}",0.443548387096774,0.925925925925926,1.66881998277347,0.923076923076923
"10","{X8=1} => {Y=1}",0.409677419354839,0.786377708978328,1.76650065060349,0.784615384615385
"11","{} => {Y=-1}",0,0,0,0
