"","rules","support","confidence","lift","laplace"
"1","{Na=(14.065; Inf],Ba=(0.335; Inf]} => {Type=headlamps}",0.115183246073298,1,7.34615384615385,0.821428571428571
"2","{RI=(1.517335;1.517875],Al=[-Inf;1.42]} => {Type=build wind float}",0.130890052356021,0.961538461538461,2.91514041514041,0.8125
"3","{RI=(1.517335;1.517875]} => {Type=build wind float}",0.146596858638743,0.933333333333333,2.82962962962963,0.805555555555556
"4","{RI=[-Inf;1.517335],Mg=(2.695; Inf],Ca=(7.02;8.275]} => {Type=build wind non-float}",0.167539267015707,0.914285714285714,2.56806722689076,0.804878048780488
"5","{RI=[-Inf;1.517335],Al=(1.42;1.78]} => {Type=build wind non-float}",0.151832460732984,0.878787878787879,2.46836007130125,0.769230769230769
"6","{Ba=(0.335; Inf]} => {Type=headlamps}",0.12565445026178,0.888888888888889,6.52991452991453,0.757575757575758
"7","{Al=[-Inf;1.42],Ca=(10.075; Inf]} => {Type=build wind non-float}",0.0523560209424084,0.769230769230769,2.1606334841629,0.578947368421053
"8","{Al=[-Inf;1.42]} => {Type=build wind float}",0.303664921465969,0.568627450980392,1.72393401805166,0.546296296296296
"9","{Al=(1.42;1.78],K=[-Inf;0.055]} => {Type=tableware}",0.0261780104712042,1,23.875,0.545454545454545
"10","{Al=(1.42;1.78],K=[-Inf;0.055],Ba=[-Inf;0.335]} => {Type=tableware}",0.0261780104712042,1,23.875,0.545454545454545
"11","{RI=(1.517875; Inf],Ca=(7.02;8.275]} => {Type=build wind non-float}",0.0209424083769634,1,2.80882352941176,0.5
"12","{Al=(1.42;1.78],Ca=(10.075; Inf]} => {Type=containers}",0.0261780104712042,0.833333333333333,14.469696969697,0.5
"13","{Na=[-Inf;14.065],Mg=[-Inf;2.695],Al=(1.78; Inf],K=(0.745; Inf]} => {Type=containers}",0.0209424083769634,1,17.3636363636364,0.5
"14","{K=[-Inf;0.055],Ba=[-Inf;0.335]} => {Type=tableware}",0.0418848167539267,0.571428571428572,13.6428571428571,0.45
"15","{RI=[-Inf;1.517335],Mg=(2.695; Inf],Al=[-Inf;1.42],Ca=(8.275;10.075]} => {Type=vehic wind float}",0.0366492146596859,0.538461538461538,6.85641025641026,0.421052631578947
"16","{K=(0.745; Inf]} => {Type=headlamps}",0.0261780104712042,0.5,3.67307692307692,0.375
"17","{K=(0.745; Inf]} => {Type=containers}",0.0209424083769634,0.4,6.94545454545455,0.3125
"18","{Ca=(10.075; Inf]} => {Type=containers}",0.0418848167539267,0.347826086956522,6.0395256916996,0.310344827586207
"19","{Mg=(2.695; Inf],Al=(1.42;1.78],Ca=(8.275;10.075]} => {Type=vehic wind float}",0.0209424083769634,0.307692307692308,3.91794871794872,0.263157894736842
"20","{} => {Type=build wind non-float}",0,0,0,0
