"","rules","support","confidence","lift","laplace"
"1","{sex=0,chest=[-Inf;3.5],oldpeak=[-Inf;1.7],number_of_major_vessels=[-Inf;0.5],thal=[-Inf;4.5]} => {class=absent}",0.131687242798354,1,1.8,0.970588235294118
"2","{chest=(3.5; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.172839506172839,0.976744186046512,2.19767441860465,0.955555555555556
"3","{chest=(3.5; Inf],oldpeak=(1.7; Inf],thal=(4.5; Inf]} => {class=present}",0.127572016460905,0.96875,2.1796875,0.941176470588235
"4","{sex=0,chest=[-Inf;3.5]} => {class=absent}",0.189300411522634,0.958333333333333,1.725,0.94
"5","{chest=(3.5; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.238683127572016,0.935483870967742,2.10483870967742,0.921875
"6","{slope=[-Inf;1.5],number_of_major_vessels=[-Inf;0.5],thal=[-Inf;4.5]} => {class=absent}",0.234567901234568,0.934426229508197,1.68196721311475,0.920634920634921
"7","{number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.218106995884774,0.913793103448276,2.05603448275862,0.9
"8","{chest=[-Inf;3.5]} => {class=absent}",0.419753086419753,0.796875,1.434375,0.792307692307692
"9","{thal=(4.5; Inf]} => {class=present}",0.320987654320988,0.75,1.6875,0.745283018867924
"10","{} => {class=absent}",0,0,0,0
