"","rules","support","confidence","lift","laplace"
"1","{a05=[-Inf;0.04144]} => {class=b}",0.193037974683544,1,2.79646017699115,0.984126984126984
"2","{a03=[-Inf;0.19028]} => {class=b}",0.174050632911392,1,2.79646017699115,0.982456140350877
"3","{a09=(0.840605;0.995785],a13=(0.35474;0.998725]} => {class=g}",0.170886075949367,1,1.55665024630542,0.982142857142857
"4","{a05=(0.04144;0.995175],a07=(0.029375;0.999995],a14=(-0.554585;0.652535],a31=(0.132415;0.99556]} => {class=g}",0.319620253164557,0.990196078431372,1.54138896938086,0.980769230769231
"5","{a33=(-4e-05;0.0002]} => {class=b}",0.142405063291139,1,2.79646017699115,0.978723404255319
"6","{a05=(0.04144;0.995175],a17=(-0.955715;-0.05415]} => {class=g}",0.129746835443038,1,1.55665024630542,0.976744186046512
"7","{a09=(-0.036395;0.011975]} => {class=b}",0.107594936708861,1,2.79646017699115,0.972222222222222
"8","{a05=(0.995175; Inf],a27=(0.52812;0.999945]} => {class=g}",0.10126582278481,1,1.55665024630542,0.970588235294118
"9","{a01=0,a27=(0.999945; Inf]} => {class=b}",0.0981012658227848,1,2.79646017699115,0.96969696969697
"10","{a14=(0.652535;0.969725]} => {class=g}",0.0791139240506329,1,1.55665024630542,0.962962962962963
"11","{a18=[-Inf;-0.805795]} => {class=b}",0.0759493670886076,1,2.79646017699115,0.961538461538462
"12","{a14=[-Inf;-0.554585],a27=(0.999945; Inf]} => {class=b}",0.0727848101265823,1,2.79646017699115,0.96
"13","{a21=(-1.5e-05;0.07206]} => {class=b}",0.139240506329114,0.977777777777778,2.73431661750246,0.957446808510638
"14","{a08=[-Inf;-0.983575]} => {class=b}",0.0632911392405063,1,2.79646017699115,0.954545454545455
"15","{a19=(-0.989535;-0.607565]} => {class=g}",0.060126582278481,1,1.55665024630542,0.952380952380952
"16","{a16=[-Inf;-0.917595]} => {class=b}",0.0569620253164557,1,2.79646017699115,0.95
"17","{a14=[-Inf;-0.554585]} => {class=b}",0.0886075949367089,0.96551724137931,2.70003051571559,0.935483870967742
"18","{a13=(0.35474;0.998725]} => {class=g}",0.40506329113924,0.934306569343066,1.45438855129265,0.928057553956835
"19","{a34=(0.95098; Inf]} => {class=b}",0.0632911392405063,0.869565217391304,2.43170450173144,0.84
"20","{} => {class=g}",0,0,0,0
