"","rules","support","confidence","lift","laplace"
"1","{word_freq_george=(0.005; Inf],X.char_freq_..21.=[-Inf;0.005]} => {class=0}",0.137647911132577,1,1.65045834994022,0.998251748251748
"2","{word_freq_your=[-Inf;0.395],word_freq_george=(0.005; Inf],X.char_freq_..21.=[-Inf;0.005]} => {class=0}",0.106013040328423,1,1.65045834994022,0.997732426303855
"3","{word_freq_hpl=(0.12; Inf],word_freq_650=(0.01; Inf]} => {class=0}",0.082105771552765,1,1.65045834994022,0.997076023391813
"4","{word_freq_your=[-Inf;0.395],word_freq_hpl=(0.12; Inf],capital_run_length_longest=(9.5;18.5]} => {class=0}",0.0596474281574499,1,1.65045834994022,0.995983935742972
"5","{word_freq_remove=[-Inf;0.01],word_freq_hpl=(0.12; Inf],X.char_freq_..21.=[-Inf;0.005],capital_run_length_longest=(9.5;18.5]} => {class=0}",0.0591644530306689,1,1.65045834994022,0.995951417004049
"6","{word_freq_hpl=(0.12; Inf],word_freq_650=(0.01; Inf],X.char_freq_..21.=[-Inf;0.005]} => {class=0}",0.0579570152137165,1,1.65045834994022,0.995867768595041
"7","{word_freq_meeting=(0.455; Inf]} => {class=0}",0.0538517266360782,1,1.65045834994022,0.995555555555556
"8","{word_freq_remove=(0.01; Inf],word_freq_will=(0.245;0.985],word_freq_money=(0.01; Inf]} => {class=1}",0.0528857763825163,1,2.53737745098039,0.995475113122172
"9","{word_freq_your=(1.025;6.485],word_freq_000=(0.26; Inf],word_freq_money=(0.01; Inf]} => {class=1}",0.0456411494808017,1,2.53737745098039,0.994764397905759
"10","{word_freq_all=(0.235;1.93],word_freq_free=(0.095; Inf],X.char_freq_..21.=(0.3775; Inf],X.char_freq_..24.=(0.1475; Inf]} => {class=1}",0.0429847862835064,1,2.53737745098039,0.994444444444444
"11","{word_freq_meeting=(0.455; Inf],X.char_freq_..21.=[-Inf;0.005]} => {class=0}",0.0400869355228206,1,1.65045834994022,0.994047619047619
"12","{word_freq_internet=(0.015; Inf],word_freq_free=(0.095; Inf],X.char_freq_..21.=(0.3775; Inf]} => {class=1}",0.0383965225790872,1,2.53737745098039,0.993788819875776
"13","{word_freq_lab=(0.115; Inf]} => {class=0}",0.0748611446510505,0.996784565916399,1.64515140990825,0.993610223642173
"14","{word_freq_1999=(0.105; Inf],word_freq_edu=(0.125; Inf]} => {class=0}",0.0354986718184013,1,1.65045834994022,0.993288590604027
