"","rules","support","confidence","orderedConf","orderedSupp"
"1","{condition=S,surface.quality=E} => {class=3}",0.303217828273773,1,1,245
"2","{ferro=,thick=[0.601;0.799]} => {class=3}",0.227722778916359,1,1,93
"3","{hardness=[45;70]} => {class=3}",0.154702976346016,1,1,87
"4","{hardness=[0;80],thick=[-Inf;0.451]} => {class=3}",0.10519801825285,1,1,32
"5","{carbon=[4;Inf],width=[-Inf;1310]} => {class=3}",0.0792079195380211,1,1,62
"6","{steel=R,condition=S,surface.quality=} => {class=2}",0.0779702961444855,1,1,63
"7","{family=TN} => {class=5}",0.0742574259638786,1,1,60
"8","{surface.quality=F} => {class=3}",0.0693069323897362,1,1,36
"9","{hardness=[80;Inf],cbond=} => {class=U}",0.0371287129819393,1,1,30
"10","{steel=W} => {class=3}",0.0222772285342216,1,1,18
"11","{surface.finish=P} => {class=2}",0.0111386142671108,1,1,9
"12","{enamelability=2} => {class=2}",0.0111386142671108,1,1,9
"13","{strength=600} => {class=2}",0.0111386142671108,1,1,8
"14","{steel=S,carbon=[-Inf;65]} => {class=1}",0.00495049497112632,1,1,4
"15","{exptl=Y} => {class=1}",0.00247524748556316,1,1,2
"16","{carbon=[4;Inf]} => {class=3}",0.0841584131121635,0.985507249832153,0.8,4
"17","{hardness=[80;Inf]} => {class=U}",0.0433168299496174,0.945945918560028,0.714285714285714,5
"18","{} => {class=3}",0.762376248836517,0.762376248836517,0.973684210526316,37
