"","rules","support","confidence","orderedConf","orderedSupp"
"1","{normalizedLosses=[78;161],numOfDoors=four,wheelBase=[95.1;104.3],height=[52;55.6]} => {XClass=0}",0.162162154912949,1,1,30
"2","{numOfDoors=four,height=[52;55.6],horsepower=[70;90]} => {XClass=0}",0.10810811072588,1,1,3
"3","{length=[144.6;178.4],height=[-Inf;50.2]} => {XClass=3}",0.0702702701091766,1,1,13
"4","{make=peugot} => {XClass=0}",0.0540540553629398,1,1,10
"5","{normalizedLosses=[-Inf;102],wheelBase=[98.4;105.8]} => {XClass=-1}",0.0486486479640007,1,1,9
"6","{normalizedLosses=[-Inf;107],height=[55.6;56.1]} => {XClass=2}",0.0486486479640007,1,1,9
"7","{height=[55.6;56.5],highwayMpg=[30;Inf]} => {XClass=2}",0.0432432442903519,1,1,2
"8","{wheelBase=[88.6;91.3]} => {XClass=3}",0.0378378368914127,1,1,3
"9","{numOfDoors=two,fuelSystem=mpfi,bore=[3.27;Inf],highwayMpg=[29;Inf]} => {XClass=2}",0.0378378368914127,1,1,7
"10","{length=[187.8;198.9],height=[53.9;55.6]} => {XClass=-1}",0.0324324332177639,1,1,5
"11","{fuelSystem=1bbl,wheelBase=[94.5;Inf]} => {XClass=0}",0.0324324332177639,1,1,3
"12","{engineType=dohc,height=[-Inf;52.5]} => {XClass=3}",0.0216216221451759,1,1,2
"13","{height=56.2} => {XClass=-2}",0.016216216608882,1,1,3
"14","{fuelType=diesel,length=[187.8;197]} => {XClass=-1}",0.016216216608882,1,1,2
"15","{make=mitsubishi,cityMpg=[26;Inf]} => {XClass=2}",0.016216216608882,1,1,3
"16","{bodyStyle=hardtop,highwayMpg=[26;Inf]} => {XClass=2}",0.016216216608882,1,1,1
"17","{make=saab,bodyStyle=hatchback} => {XClass=3}",0.016216216608882,1,1,3
"18","{make=jaguar} => {XClass=0}",0.010810811072588,1,1,2
"19","{wheelBase=86.6} => {XClass=2}",0.010810811072588,1,1,2
"20","{make=audi,height=[52.4;55.6]} => {XClass=2}",0.010810811072588,1,1,2
"21","{fuelSystem=spfi} => {XClass=2}",0.00540540553629398,1,1,1
"22","{bodyStyle=convertible} => {XClass=3}",0.0270270276814699,0.833333313465118,1,2
"23","{make=mercedes-benz,numOfDoors=four} => {XClass=-1}",0.0216216221451759,0.800000011920929,0.666666666666667,2
"24","{driveWheels=4wd} => {XClass=0}",0.0324324332177639,0.75,1,2
"25","{make=bmw} => {XClass=0}",0.0270270276814699,0.714285731315613,0.833333333333333,5
"26","{} => {XClass=1}",0.264864861965179,0.264864861965179,0.842105263157895,48
