"","rules","support","confidence","orderedConf","orderedSupp"
"1","{A1=b,A9=t,A10=t,A15=[225;Inf]} => {class=+}",0.119162641465664,1,1,74
"2","{A4=y,A8=[-Inf;1.46],A9=f,A13=g} => {class=-}",0.0982286632061005,1,1,61
"3","{A7=ff,A9=f} => {class=-}",0.0660225450992584,1,1,29
"4","{A6=k,A9=f} => {class=-}",0.045088566839695,1,1,17
"5","{A6=aa,A9=f} => {class=-}",0.0370370373129845,1,1,20
"6","{A6=cc,A10=t} => {class=+}",0.0338164232671261,1,1,10
"7","{A2=[34.67;Inf],A13=p} => {class=+}",0.00322061195038259,1,1,2
"8","{A4=l} => {class=+}",0.0016103059751913,1,1,1
"9","{A9=t,A11=[3;Inf],A14=[-Inf;99]} => {class=+}",0.112721413373947,0.98591548204422,0.978723404255319,46
"10","{A9=t,A10=t,A15=[225;Inf]} => {class=+}",0.185185179114342,0.982905983924866,0.947368421052632,18
"11","{A6=i,A9=f} => {class=-}",0.0531400963664055,0.970588207244873,0.964285714285714,27
"12","{A9=f,A14=[-Inf;121]} => {class=-}",0.151368767023087,0.969072163105011,0.94,47
"13","{A9=t,A15=[390;Inf]} => {class=+}",0.191626414656639,0.967479646205902,0.9,18
"14","{A9=f} => {class=-}",0.444444447755814,0.932432413101196,0.852272727272727,75
"15","{} => {class=+}",0.444444447755814,0.444444447755814,0.580645161290323,90
