"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Na=[14.03;Inf],Ba=[0.06;Inf]} => {Type=headlamps}",0.103626944124699,1,1,20
"2","{RI=[1.51719;1.51797],Ca=[-Inf;8.43]} => {Type=build wind float}",0.062176164239645,1,1,12
"3","{Na=[13.73;Inf],Mg=[-Inf;3.8],K=[-Inf;0],Ba=[-Inf;0.53]} => {Type=tableware}",0.0414507761597633,1,1,8
"4","{RI=[1.51569;1.51719],Mg=[2.87;3.6],Ca=[8.28;Inf]} => {Type=vehic wind float}",0.0362694300711155,1,1,7
"5","{Al=[1.05;3.5],Ca=[11.22;12.5]} => {Type=containers}",0.0310880821198225,1,1,6
"6","{Na=[-Inf;14.38],Mg=[-Inf;Inf],Ca=[5.87;6.96]} => {Type=containers}",0.0155440410599113,1,1,3
"7","{Ba=[0.4;2.88]} => {Type=headlamps}",0.119170986115932,0.920000016689301,0.75,3
"8","{RI=[1.51708;1.518],Al=[0.66;1.53]} => {Type=build wind float}",0.160621762275696,0.911764681339264,0.863636363636364,19
"9","{Ca=[7.08;8.31]} => {Type=build wind non-float}",0.20207254588604,0.779999971389771,0.906976744186046,39
"10","{K=[0.72;Inf],Ca=[7.94;10.09]} => {Type=headlamps}",0.0103626940399408,0.666666686534882,0.666666666666667,2
"11","{Al=[-Inf;1.37]} => {Type=build wind float}",0.295336782932281,0.564356446266174,0.519230769230769,27
"12","{Ca=[10.09;12.5]} => {Type=containers}",0.0414507761597633,0.5,0.666666666666667,2
"13","{} => {Type=build wind non-float}",0.357512950897217,0.357512950897217,0.8,8
