"","rules","support","confidence","orderedConf","orderedSupp"
"1","{TSH=[-Inf;6],TT4=[49;430]} => {Class=negative}",0.898055374622345,1,1,3048
"2","{on.thyroxine=f,thyroid.surgery=f,TSH=[5.9;Inf],TT4=[62;93],FTI=[65;395]} => {Class=compensated_hypothyroid}",0.0282852090895176,1,1,96
"3","{thyroid.surgery=f,TSH=[5.6;Inf],FTI=[-Inf;60]} => {Class=primary_hypothyroid}",0.0206246320158243,1,1,70
"4","{on.thyroxine=f,thyroid.surgery=f,TSH=[5.7;Inf],FTI=[65;86]} => {Class=compensated_hypothyroid}",0.0188568066805601,1,1,14
"5","{sex=F,on.thyroxine=f,TSH=[6.1;Inf],TT4.measured=t,TT4=[90;152]} => {Class=compensated_hypothyroid}",0.0176782552152872,1,1,48
"6","{TSH=[7.4;Inf],FTI=[26;64]} => {Class=primary_hypothyroid}",0.0138479666784406,1,1,9
"7","{TT4=[-Inf;18]} => {Class=primary_hypothyroid}",0.00854449067264795,1,1,3
"8","{psych=t,TSH=[6.1;Inf]} => {Class=compensated_hypothyroid}",0.00235710083507001,1,1,1
"9","{TSH=[12.1;Inf],TT4.measured=f} => {Class=primary_hypothyroid}",0.000294637604383752,1,1,1
"10","{query.hypothyroid=t,TSH=[-Inf;Inf],TT4=[-Inf;28]} => {Class=secondary_hypothyroid}",0.000294637604383752,1,1,1
"11","{TSH=[-Inf;Inf],TT4=[-Inf;56],FTI=[53;54]} => {Class=secondary_hypothyroid}",0.000294637604383752,1,1,1
"12","{TSH=[-Inf;6]} => {Class=negative}",0.903653502464294,0.999348342418671,1,19
"13","{on.thyroxine=f,TSH=[6.1;23],TT4=[90;152]} => {Class=compensated_hypothyroid}",0.0220978204160929,0.974025964736938,0.875,14
"14","{} => {Class=negative}",0.92309957742691,0.92309957742691,0.970149253731343,65
