"","rules","support","confidence","orderedConf","orderedSupp"
"1","{thyroid.surgery=f,TSH=[14.4;Inf],FTI=[-Inf;64]} => {Class=primary_hypothyroid}",0.0200353562831879,1,1,68
"2","{on.thyroxine=f,thyroid.surgery=f,TSH=[5.7;Inf],FTI=[65;86]} => {Class=compensated_hypothyroid}",0.0191514436155558,1,1,65
"3","{on.thyroxine=f,TSH=[5.7;Inf],T4U=[-Inf;1.1],FTI=[65;87]} => {Class=compensated_hypothyroid}",0.0153211550787091,1,1,2
"4","{on.thyroxine=f,thyroid.surgery=f,TSH=[6.1;Inf],TT4=[90;158],T4U=[1;1.69]} => {Class=compensated_hypothyroid}",0.0153211550787091,1,1,42
"5","{TSH=[5.6;Inf],T4U=[-Inf;1.08],FTI=[-Inf;64]} => {Class=primary_hypothyroid}",0.0120801413431764,1,1,5
"6","{TSH=[14.4;Inf],FTI=[26;64]} => {Class=primary_hypothyroid}",0.0111962286755443,1,1,1
"7","{TT4=[-Inf;21]} => {Class=primary_hypothyroid}",0.00942840334028006,1,1,3
"8","{on.thyroxine=f,TSH=[14.4;Inf],T4U.measured=t,FTI=[69;112]} => {Class=compensated_hypothyroid}",0.0079552149400115,1,1,5
"9","{sex=M,on.thyroxine=f,TSH=[5.9;Inf],TT4=[85;430]} => {Class=compensated_hypothyroid}",0.00589275173842907,1,1,14
"10","{TSH=[5.5;26],T3.measured=t,T4U.measured=f} => {Class=compensated_hypothyroid}",0.0044195638038218,1,1,11
"11","{thyroid.surgery=f,TSH=[8.3;47],T4U.measured=f,referral.source=other} => {Class=compensated_hypothyroid}",0.00324101350270212,1,1,1
"12","{psych=t,TSH=[6.1;Inf]} => {Class=compensated_hypothyroid}",0.00235710083507001,1,1,2
"13","{query.hypothyroid=t,TT4=[-Inf;66],T4U.measured=f} => {Class=secondary_hypothyroid}",0.000294637604383752,1,1,1
"14","{sex=F,TSH=[-Inf;Inf],TT4=[46;51],referral.source=other} => {Class=secondary_hypothyroid}",0.000294637604383752,1,1,1
"15","{on.thyroxine=f,TSH=[6.1;23],TT4=[85;152]} => {Class=compensated_hypothyroid}",0.028874484822154,0.960784316062927,0.857142857142857,24
"16","{TSH=[5.6;Inf],FTI=[26;64]} => {Class=primary_hypothyroid}",0.0138479666784406,0.959183692932129,0.666666666666667,4
"17","{} => {Class=negative}",0.92309957742691,0.92309957742691,0.996495699267283,3128
