"","rules","support","confidence","orderedConf","orderedSupp"
"1","{a03=[0.73523;0.99701],a05=[0.00428;0.99672]} => {class=g}",0.30158731341362,1,1,95
"2","{a04=[-0.0349;0.83333],a27=[0.52385;0.99989],a29=[0.00026;1]} => {class=g}",0.276190489530563,1,1,44
"3","{a05=[-Inf;0.0409]} => {class=b}",0.177777782082558,1,1,56
"4","{a03=[-Inf;0.1859]} => {class=b}",0.168253973126411,1,1,17
"5","{a06=[-0.73371;-0.00143],a13=[0.34848;0.99745]} => {class=g}",0.146031752228737,1,1,11
"6","{a07=[-Inf;0.81773],a27=[0.9289;1]} => {class=b}",0.126984134316444,1,1,8
"7","{a01=0} => {class=b}",0.111111111938953,1,1,9
"8","{a09=[-0.03636;0.01128]} => {class=b}",0.104761905968189,1,1,2
"9","{a14=[0.60793;0.9513]} => {class=g}",0.095238097012043,1,1,4
"10","{a18=[-Inf;-0.81556]} => {class=b}",0.0825396850705147,1,1,3
"11","{a08=[-Inf;-0.99265]} => {class=b}",0.0761904790997505,1,1,5
"12","{a06=[-Inf;-0.76087]} => {class=b}",0.0761904790997505,1,1,1
"13","{a08=[0.71596;1],a27=[0.9289;1]} => {class=b}",0.0539682544767857,1,1,2
"14","{a10=[-Inf;-0.63427]} => {class=b}",0.0476190485060215,1,1,1
"15","{a21=[0.00138;0.99776],a27=[0.53215;0.99989]} => {class=g}",0.298412710428238,0.989473700523376,1,11
"16","{a21=[0;0.06897]} => {class=b}",0.117460317909718,0.973684191703796,0.5,1
"17","{a14=[-Inf;-0.59043]} => {class=b}",0.0920634940266609,0.966666638851166,1,3
"18","{} => {class=g}",0.641269862651825,0.641269862651825,0.878048780487805,36
