"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Feature.1=[-Inf;-0.137]} => {Class=hid}",0.0471380464732647,1,1,42
"2","{Feature.0=[-2.346;Inf],Feature.1=[-Inf;3.41],Feature.7=[-0.282;0.297]} => {Class=hAd}",0.0448933765292168,1,1,40
"3","{Feature.0=[-Inf;-3.285],Feature.1=[-Inf;0.491]} => {Class=hid}",0.0426487103104591,1,1,20
"4","{Feature.0=[-2.343;Inf],Feature.1=[1.304;3.342],Feature.4=[-0.643;Inf]} => {Class=hAd}",0.0347923673689365,1,1,5
"5","{Feature.0=[-Inf;-4.676],Feature.3=[-Inf;1.461]} => {Class=hud}",0.0325476974248886,1,1,29
"6","{Feature.0=[-Inf;-4.676],Feature.2=[-Inf;0.888]} => {Class=hud}",0.030303031206131,1,1,1
"7","{Feature.0=[-3.816;-2.762],Feature.1=[2.719;3.192],Feature.7=[-0.068;1.003]} => {Class=hOd}",0.029180696234107,1,1,26
"8","{Sex=Male,Feature.0=[-Inf;-4.494]} => {Class=hud}",0.0269360262900591,1,1,9
"9","{Feature.1=[3.043;Inf],Feature.4=[-Inf;-1.165],Feature.6=[-Inf;0.48]} => {Class=hod}",0.0269360262900591,1,1,24
"10","{Feature.0=[-Inf;Inf],Feature.1=[3.314;Inf],Feature.4=[-Inf;-0.917],Feature.6=[-0.649;0.48]} => {Class=hod}",0.0246913582086563,1,1,7
"11","{Feature.0=[-2.263;Inf],Feature.1=[1.146;1.678]} => {Class=hAd}",0.0235690232366323,1,1,5
"12","{Feature.0=[-3.62;-2.938],Feature.3=[0.244;0.907],Feature.4=[-0.735;0.516],Feature.7=[-0.016;0.842]} => {Class=hed}",0.0224466882646084,1,1,20
"13","{Feature.0=[-3.053;Inf],Feature.1=[2.524;Inf],Feature.4=[-1.023;-0.723]} => {Class=hYd}",0.0190796852111816,1,1,17
"14","{Feature.0=[-5.08;-4.045],Feature.4=[-0.685;-0.273],Feature.8=[-0.032;Inf]} => {Class=hud}",0.0179573521018028,1,1,6
"15","{Feature.0=[-3.008;-2.026],Feature.1=[2.158;2.937],Feature.4=[-0.484;0.222]} => {Class=had}",0.0157126821577549,1,1,14
"16","{Feature.0=[-3.74;Inf],Feature.1=[2.433;Inf],Feature.6=[0.531;0.813]} => {Class=hOd}",0.0157126821577549,1,1,7
"17","{Sex=Female,Feature.0=[-Inf;-3.354],Feature.1=[1.241;2.768],Feature.4=[-0.64;0.349],Feature.7=[0.223;Inf]} => {Class=hUd}",0.0157126821577549,1,1,14
"18","{Feature.0=[-5.049;-4.243],Feature.1=[2.138;2.851]} => {Class=hud}",0.0145903481170535,1,1,4
"19","{Feature.1=[-0.538;Inf],Feature.4=[0.128;Inf],Feature.5=[1.435;1.802]} => {Class=hId}",0.0145903481170535,1,1,13
"20","{Feature.0=[-Inf;-1.495],Feature.1=[0.431;0.785],Feature.5=[1.285;Inf]} => {Class=hId}",0.0134680131450295,1,1,3
"21","{Feature.0=[-3.379;Inf],Feature.4=[-1.166;-0.683],Feature.6=[0.448;Inf]} => {Class=hYd}",0.0134680131450295,1,1,11
"22","{Feature.1=[-Inf;0.458],Feature.3=[-0.221;0.803],Feature.6=[-Inf;0.532]} => {Class=hId}",0.0134680131450295,1,1,9
"23","{Feature.2=[0.971;Inf],Feature.4=[-0.851;0.349]} => {Class=hid}",0.0123456791043282,1,1,11
"24","{Feature.1=[2.988;Inf],Feature.3=[0.83;Inf]} => {Class=hod}",0.0123456791043282,1,1,4
"25","{Feature.1=[1.735;Inf],Feature.2=[-Inf;0.164],Feature.6=[-Inf;-0.681]} => {Class=hud}",0.0123456791043282,1,1,11
"26","{Feature.0=[-3.924;-2.274],Feature.1=[3.26;3.618],Feature.6=[-0.319;0.46]} => {Class=hOd}",0.0123456791043282,1,1,11
"27","{Feature.0=[-Inf;Inf],Feature.1=[2.216;3.132],Feature.4=[-0.737;0.143],Feature.6=[-0.231;0.345],Feature.7=[-0.461;0.084]} => {Class=had}",0.0123456791043282,1,1,2
"28","{Feature.1=[-Inf;0.458],Feature.8=[0.131;Inf]} => {Class=hId}",0.0112233441323042,1,1,7
"29","{Feature.0=[-1.657;Inf],Feature.1=[-0.251;0.49]} => {Class=hId}",0.0101010100916028,1,1,1
