"","rules","support","confidence","orderedConf","orderedSupp"
"1","{A9=t,A11=[1;Inf],A1=b,A15=[225;Inf]} => {class=+}",0.119162641465664,1,1,74
"2","{A9=t,A15=[228;Inf],A8=[1.085;Inf],A3=[-Inf;8.46]} => {class=+}",0.119162641465664,1,1,30
"3","{A9=f,A12=f,A3=[1.585;Inf],A5=g} => {class=-}",0.0998389720916748,1,1,62
"4","{A8=[-Inf;1.46],A13=g,A5=p,A9=f} => {class=-}",0.0982286632061005,1,1,61
"5","{A8=[-Inf;1.665],A5=p,A12=f,A15=[-Inf;475]} => {class=-}",0.0837359130382538,1,1,11
"6","{A9=t,A8=[0.04;Inf],A2=[35.42;76.75],A14=[-Inf;99]} => {class=+}",0.0837359130382538,1,1,33
"7","{A9=t,A1=b,A15=[390;Inf],A2=[-Inf;37.42]} => {class=+}",0.0789049938321114,1,1,4
"8","{A13=g,A9=f,A15=[-Inf;750],A10=t} => {class=-}",0.077294684946537,1,1,31
"9","{A9=t,A15=[228;Inf],A8=[1.085;Inf],A12=t} => {class=+}",0.077294684946537,1,1,1
"10","{A9=f,A15=[-Inf;Inf],A7=ff} => {class=-}",0.0660225450992584,1,1,8
"11","{A5=p,A9=f,A1=b,A12=f} => {class=-}",0.0660225450992584,1,1,4
"12","{A9=t,A15=[225;Inf],A7=h} => {class=+}",0.0644122362136841,1,1,6
"13","{A11=[3;Inf],A2=[35.25;Inf],A14=[-Inf;99]} => {class=+}",0.0628019347786903,1,1,2
"14","{} => {class=-}",0.555555582046509,0.555555582046509,0.571428571428571,168
