"","rules","support","confidence","orderedConf","orderedSupp"
"1","{X5=[-Inf;-0.076923],X7=[-Inf;-0.912281],X8=-1,X11=-1} => {Y=-1}",0.130225077271461,1,1,81
"2","{X1=1,X8=1,X14=[-0.99;Inf]} => {Y=1}",0.114147908985615,1,1,71
"3","{X1=-1,X5=[-Inf;-0.076923],X8=-1} => {Y=-1}",0.0884244367480278,1,1,25
"4","{X5=[-Inf;-0.076923],X8=-1,X13=[-Inf;-0.898]} => {Y=-1}",0.0819935724139214,1,1,10
"5","{X3=[-Inf;-0.7025],X4=-1,X8=-1,X11=-1} => {Y=-1}",0.0707395523786545,1,1,24
"6","{X4=-1,X7=[-Inf;-0.912281],X8=-1,X11=-1} => {Y=-1}",0.0691318362951279,1,1,1
"7","{X5=[-Inf;-0.076923],X6=-1,X8=-1} => {Y=-1}",0.0675241127610207,1,1,2
"8","{X1=1,X8=1,X10=[-0.910448;Inf],X13=[-Inf;-0.898]} => {Y=1}",0.0675241127610207,1,1,23
"9","{X3=[-0.696429;Inf],X5=[-Inf;-0.076923],X8=-1,X14=[-Inf;-0.99032]} => {Y=-1}",0.0675241127610207,1,1,6
"10","{X5=[0.076923;0.384615],X8=1,X14=[-0.99;Inf]} => {Y=1}",0.065916396677494,1,1,14
"11","{X7=[-0.909474;Inf],X8=1,X13=[-0.892;Inf],X14=[-0.99;Inf]} => {Y=1}",0.065916396677494,1,1,6
"12","{X3=[-0.696429;Inf],X7=[-Inf;-0.912281],X8=-1,X11=-1} => {Y=-1}",0.065916396677494,1,1,12
"13","{X5=[0.076923;0.384615],X8=1,X9=1,X13=[-Inf;-0.898]} => {Y=1}",0.0627009645104408,1,1,8
"14","{X6=[0.75;Inf],X8=1,X14=[-0.99;Inf]} => {Y=1}",0.0610932484269142,1,1,11
"15","{X1=1,X7=[-0.909474;Inf],X10=[-0.910448;Inf],X11=-1} => {Y=1}",0.0610932484269142,1,1,7
"16","{X3=[-0.696429;Inf],X4=[0;Inf],X8=-1,X11=-1} => {Y=-1}",0.0610932484269142,1,1,3
"17","{X8=1,X10=[-0.910448;Inf],X13=[-0.892;Inf],X14=[-0.99;Inf]} => {Y=1}",0.0594855323433876,1,1,1
"18","{X1=1,X4=-1,X8=-1,X11=-1} => {Y=-1}",0.0594855323433876,1,1,1
"19","{X3=[-0.696429;Inf],X8=-1,X13=[-Inf;-0.898]} => {Y=-1}",0.0562700964510441,1,1,3
"20","{X7=[-0.909474;Inf],X8=1,X11=1,X14=[-0.99;Inf]} => {Y=1}",0.0546623803675175,1,1,1
"21","{X3=[-Inf;-0.7025],X8=1,X10=[-0.910448;Inf],X14=[-0.99;Inf]} => {Y=1}",0.051446944475174,1,1,1
"22","{X5=[-Inf;-0.076923],X8=-1,X9=1} => {Y=-1}",0.0498392283916473,1,1,5
"23","{X8=1,X11=-1,X13=[-0.892;Inf],X14=[-0.99;Inf]} => {Y=1}",0.0498392283916473,1,1,1
"24","{X1=1,X3=[-0.696429;Inf],X6=[-0.75;0.5],X10=[-0.910448;Inf]} => {Y=1}",0.0482315123081207,1,1,5
"25","{X6=[0.75;Inf],X8=1,X11=-1,X13=[-Inf;-0.898]} => {Y=1}",0.0466237924993038,1,1,7
"26","{X3=[-Inf;-0.7025],X8=1,X11=-1,X14=[-0.99;Inf]} => {Y=1}",0.0466237924993038,1,1,1
"27","{X1=-1,X7=[-Inf;-0.912281],X8=-1,X11=1} => {Y=-1}",0.0466237924993038,1,1,15
"28","{X5=[0.076923;0.384615],X7=[-0.909474;Inf],X9=1,X11=-1} => {Y=1}",0.0466237924993038,1,1,1
