"","rules","support","confidence","orderedConf","orderedSupp"
"1","{wheelBase=[88.6;94.5],height=[52.4;55.5],bore=[-Inf;3.27]} => {XClass=1}",0.108695648610592,1,1,20
"2","{normalizedLosses=[77;93],numOfDoors=four,numOfCylinders=four} => {XClass=0}",0.0978260859847069,1,1,18
"3","{normalizedLosses=[-Inf;102],numOfDoors=four,length=[175.6;Inf]} => {XClass=-1}",0.0869565233588219,1,1,16
"4","{wheelBase=[-Inf;102],height=[54.7;55.5]} => {XClass=0}",0.0652173906564713,1,1,10
"5","{width=[63.9;64.2],height=[51.4;55.5]} => {XClass=1}",0.0597826093435287,1,NA,0
"6","{length=[168.8;169]} => {XClass=3}",0.0543478243052959,1,1,10
"7","{make=peugot} => {XClass=0}",0.0543478243052959,1,1,10
"8","{bodyStyle=wagon,wheelBase=[95.1;102.9]} => {XClass=0}",0.0543478243052959,1,1,1
"9","{normalizedLosses=[-Inf;102],wheelBase=[98.4;105.8]} => {XClass=-1}",0.0543478243052959,1,1,1
"10","{normalizedLosses=[83;Inf],bodyStyle=sedan,length=[-Inf;165.6]} => {XClass=1}",0.0543478243052959,1,1,4
"11","{wheelBase=[-Inf;95.3],engineSize=[61;103],cityMpg=[18;30]} => {XClass=1}",0.0543478243052959,1,1,3
"12","{make=subaru,wheelBase=[94.3;Inf]} => {XClass=0}",0.0489130429923534,1,1,5
"13","{numOfCylinders=four,height=[-Inf;50.2]} => {XClass=3}",0.0489130429923534,1,1,6
"14","{width=[64.1;Inf],height=[52;53.9],price=[-Inf;8358]} => {XClass=0}",0.0489130429923534,1,1,1
"15","{bodyStyle=sedan,wheelBase=[-Inf;103.3],height=[55.6;Inf]} => {XClass=2}",0.0434782616794109,1,1,8
"16","{bodyStyle=sedan,wheelBase=[101.2;Inf],height=[54.5;55.6]} => {XClass=-1}",0.0434782616794109,1,NA,0
"17","{wheelBase=[88.6;91.3]} => {XClass=3}",0.0380434766411781,1,1,2
"18","{wheelBase=[-Inf;96.3],length=[166.8;168.7]} => {XClass=1}",0.0380434766411781,1,1,1
"19","{make=mazda,fuelSystem=2bbl,height=[-Inf;55.4]} => {XClass=1}",0.0380434766411781,1,1,2
"20","{make=toyota,numOfDoors=four,wheelBase=[95.9;Inf]} => {XClass=-1}",0.0380434766411781,1,1,1
"21","{wheelBase=[-Inf;96.1],height=[50.6;55.1],horsepower=[92;200]} => {XClass=1}",0.0380434766411781,1,NA,0
"22","{height=[-Inf;52.8],bore=[3.27;Inf],highwayMpg=[29;31]} => {XClass=2}",0.0380434766411781,1,1,7
"23","{make=dodge,height=[50.5;Inf]} => {XClass=1}",0.0326086953282356,1,1,2
"24","{make=honda,wheelBase=[94.3;Inf]} => {XClass=0}",0.0326086953282356,1,1,1
"25","{normalizedLosses=[98;Inf],fuelType=diesel,numOfDoors=four} => {XClass=0}",0.0326086953282356,1,1,1
"26","{make=toyota,driveWheels=rwd,wheelBase=[95.1;102.7]} => {XClass=2}",0.0326086953282356,1,1,1
"27","{driveWheels=rwd,height=[-Inf;52.5],highwayMpg=[29;Inf]} => {XClass=2}",0.0326086953282356,1,NA,0
"28","{make=toyota,numOfDoors=two,engineSize=[61;145]} => {XClass=1}",0.0326086953282356,1,1,2
"29","{normalizedLosses=[83;Inf],numOfDoors=four,length=[-Inf;165.6]} => {XClass=1}",0.0326086953282356,1,1,1
"30","{height=[55.6;57.5],horsepower=[-Inf;88]} => {XClass=2}",0.027173912152648,1,1,1
"31","{bodyStyle=convertible,highwayMpg=[-Inf;29]} => {XClass=3}",0.027173912152648,1,1,2
"32","{make=nissan,driveWheels=fwd,wheelBase=[95.3;Inf]} => {XClass=0}",0.027173912152648,1,NA,0
"33","{numOfCylinders=six,height=[50.2;52.6],bore=[2.91;Inf]} => {XClass=3}",0.027173912152648,1,1,2
"34","{bodyStyle=hatchback,driveWheels=fwd,highwayMpg=[-Inf;29]} => {XClass=3}",0.027173912152648,1,1,2
"35","{aspiration=turbo,driveWheels=fwd,height=[50.5;54.8]} => {XClass=1}",0.027173912152648,1,1,1
"36","{length=[-Inf;Inf],width=[-Inf;63.9],curbWeight=[2254;Inf]} => {XClass=0}",0.027173912152648,1,1,1
"37","{numOfDoors=four,driveWheels=rwd,highwayMpg=[29;Inf]} => {XClass=0}",0.027173912152648,1,1,1
"38","{make=plymouth,height=[50.5;59.1]} => {XClass=1}",0.0217391308397055,1,1,1
"39","{bodyStyle=hardtop,highwayMpg=[26;Inf]} => {XClass=2}",0.0217391308397055,1,1,1
"40","{bodyStyle=convertible,width=[-Inf;65.5]} => {XClass=3}",0.0217391308397055,1,NA,0
"41","{bodyStyle=sedan,numOfCylinders=six,wheelBase=[-Inf;103.3]} => {XClass=0}",0.0217391308397055,1,1,2
"42","{numOfDoors=two,bore=[3.24;Inf],price=[-Inf;8495]} => {XClass=2}",0.0217391308397055,1,1,2
"43","{driveWheels=fwd,horsepower=[88;Inf],price=[-Inf;8495]} => {XClass=1}",0.0217391308397055,1,1,1
"44","{bodyStyle=hatchback,driveWheels=rwd,height=[52.4;Inf]} => {XClass=1}",0.0217391308397055,1,1,1
"45","{wheelBase=[-Inf;88.4]} => {XClass=2}",0.0163043476641178,1,1,3
"46","{height=56.2} => {XClass=-2}",0.0163043476641178,1,1,3
"47","{make=jaguar} => {XClass=0}",0.0163043476641178,1,1,3
"48","{make=audi,height=[54.4;Inf]} => {XClass=1}",0.0163043476641178,1,1,3
"49","{make=audi,height=[52.4;55.6]} => {XClass=2}",0.0163043476641178,1,1,3
"50","{aspiration=turbo,driveWheels=4wd} => {XClass=0}",0.0163043476641178,1,1,1
"51","{make=toyota,length=[-Inf;165.6]} => {XClass=1}",0.0163043476641178,1,1,1
"52","{make=bmw,numOfCylinders=six,height=[-Inf;55.6]} => {XClass=0}",0.0163043476641178,1,1,1
"53","{make=nissan,numOfDoors=four,width=[-Inf;65]} => {XClass=1}",0.0163043476641178,1,NA,0
"54","{numOfCylinders=five,height=[54.4;55.6]} => {XClass=0}",0.0108695654198527,1,1,1
"55","{make=mitsubishi,cityMpg=[26;Inf]} => {XClass=2}",0.0108695654198527,1,1,2
"56","{wheelBase=[-Inf;Inf],width=[-Inf;63.8],height=[-Inf;53.1]} => {XClass=1}",0.0706521719694138,0.928571403026581,1,1
"57","{normalizedLosses=[94;Inf],height=[56.3;Inf]} => {XClass=0}",0.0597826093435287,0.916666686534882,0.666666666666667,2
"58","{normalizedLosses=[98;Inf],bodyStyle=sedan,numOfCylinders=six} => {XClass=0}",0.0489130429923534,0.899999976158142,0.5,1
"59","{driveWheels=rwd,wheelBase=[95.1;Inf],highwayMpg=[29;32]} => {XClass=2}",0.0434782616794109,0.888888895511627,1,1
"60","{make=nissan,aspiration=std,numOfDoors=two} => {XClass=1}",0.0326086953282356,0.75,1,1
"61","{numOfDoors=two,numOfCylinders=eight} => {XClass=1}",0.0108695654198527,0.666666686534882,1,2
"62","{} => {XClass=0}",0.326086968183517,0.326086968183517,0,0
