"","rules","support","confidence","orderedConf","orderedSupp"
"1","{wheelBase=[93;93.7],width=[-Inf;64.2],bore=[-Inf;3.24]} => {XClass=1}",0.114130437374115,1,1,21
"2","{wheelBase=[95.7;97.2],width=[64.4;Inf],height=[52;56.1]} => {XClass=0}",0.108695648610592,1,1,20
"3","{normalizedLosses=[-Inf;95],numOfDoors=four,wheelBase=[100.4;Inf]} => {XClass=-1}",0.0923913046717644,1,1,17
"4","{wheelBase=[95.7;97.2],height=[52;56.1],engineSize=[108;Inf]} => {XClass=0}",0.0923913046717644,1,1,1
"5","{bodyStyle=hatchback,height=[-Inf;50.2]} => {XClass=3}",0.0706521719694138,1,1,13
"6","{numOfDoors=four,wheelBase=[100.4;Inf],length=[177.8;187.5]} => {XClass=0}",0.0706521719694138,1,1,13
"7","{wheelBase=[95.7;97.2],curbWeight=[2221;Inf],cityMpg=[26;Inf]} => {XClass=0}",0.0706521719694138,1,1,3
"8","{bodyStyle=sedan,wheelBase=[95.7;97.2],height=[52;56.1]} => {XClass=0}",0.0652173906564713,1,1,1
"9","{make=peugot} => {XClass=0}",0.0597826093435287,1,1,4
"10","{length=[168.8;169]} => {XClass=3}",0.0543478243052959,1,1,5
"11","{length=[173.4;175.4],height=[52;56.1]} => {XClass=0}",0.0543478243052959,1,1,2
"12","{bodyStyle=sedan,height=[50.5;51.6]} => {XClass=1}",0.0489130429923534,1,1,4
"13","{bodyStyle=sedan,fuelSystem=mpfi,wheelBase=[97.3;99.8]} => {XClass=2}",0.0489130429923534,1,1,9
"14","{fuelSystem=mpfi,wheelBase=[97.3;99.8],highwayMpg=[30;Inf]} => {XClass=2}",0.0489130429923534,1,1,5
"15","{bodyStyle=wagon,wheelBase=[95.7;97.2]} => {XClass=0}",0.0434782616794109,1,1,1
"16","{normalizedLosses=[98;Inf],fuelSystem=idi,price=[8499;Inf]} => {XClass=0}",0.0434782616794109,1,1,1
"17","{numOfDoors=two,wheelBase=[94.3;94.5],engineSize=[90;98]} => {XClass=1}",0.0434782616794109,1,1,8
"18","{bodyStyle=sedan,wheelBase=[97.3;99.8],bore=[-Inf;3.24]} => {XClass=2}",0.0434782616794109,1,1,2
"19","{numOfDoors=four,length=[177.8;187.5],highwayMpg=[30;Inf]} => {XClass=0}",0.0434782616794109,1,1,2
"20","{length=[187.8;188.8],height=[52;56.1]} => {XClass=-1}",0.0380434766411781,1,1,1
"21","{length=[175.7;177.3],highwayMpg=[30;Inf]} => {XClass=2}",0.0380434766411781,1,1,1
"22","{make=nissan,wheelBase=[94.3;94.5]} => {XClass=1}",0.0380434766411781,1,1,4
"23","{numOfDoors=two,numOfCylinders=four,length=[175.7;177.3]} => {XClass=2}",0.0380434766411781,1,1,1
"24","{make=toyota,length=[-Inf;168.7],width=[-Inf;64.2]} => {XClass=1}",0.0380434766411781,1,1,3
"25","{fuelSystem=idi,length=[177.8;187.5]} => {XClass=0}",0.0326086953282356,1,1,1
"26","{bodyStyle=hatchback,driveWheels=fwd,highwayMpg=[-Inf;29]} => {XClass=3}",0.0326086953282356,1,1,3
"27","{bore=[-Inf;3.24],horsepower=[-Inf;86],price=[8499;Inf]} => {XClass=0}",0.0326086953282356,1,1,1
"28","{bodyStyle=convertible,highwayMpg=[-Inf;29]} => {XClass=3}",0.027173912152648,1,1,2
"29","{make=mazda,numOfDoors=two,fuelSystem=2bbl} => {XClass=1}",0.027173912152648,1,1,2
"30","{bodyStyle=hatchback,wheelBase=[94.3;94.5],height=[52;56.1]} => {XClass=1}",0.027173912152648,1,1,1
"31","{length=[169.1;172.6],height=[52;56.1],bore=[3.27;Inf]} => {XClass=0}",0.027173912152648,1,1,1
"32","{make=mercedes-benz,height=[56.3;Inf]} => {XClass=-1}",0.0217391308397055,1,1,1
"33","{bodyStyle=hardtop,highwayMpg=[30;Inf]} => {XClass=2}",0.0217391308397055,1,1,1
"34","{numOfDoors=two,engineType=dohc,cityMpg=[-Inf;25]} => {XClass=3}",0.0217391308397055,1,1,1
"35","{numOfDoors=two,width=[64.4;Inf],curbWeight=[-Inf;2212]} => {XClass=2}",0.0217391308397055,1,1,3
"36","{numOfDoors=two,bore=[3.27;Inf],price=[-Inf;8495]} => {XClass=2}",0.0217391308397055,1,1,3
"37","{normalizedLosses=[-Inf;95],bodyStyle=sedan,length=[-Inf;168.7]} => {XClass=0}",0.0217391308397055,1,1,1
"38","{wheelBase=[-Inf;88.4]} => {XClass=2}",0.0163043476641178,1,1,3
"39","{aspiration=turbo,driveWheels=4wd} => {XClass=0}",0.0163043476641178,1,1,1
"40","{height=56.2} => {XClass=-2}",0.0108695654198527,1,1,2
"41","{make=jaguar} => {XClass=0}",0.0108695654198527,1,1,2
"42","{make=audi,length=[189;Inf]} => {XClass=1}",0.0108695654198527,1,1,2
"43","{length=[173.4;175.4],height=[56.3;Inf]} => {XClass=-1}",0.0108695654198527,1,1,1
"44","{make=bmw,numOfDoors=two,numOfCylinders=six} => {XClass=0}",0.0108695654198527,1,1,2
"45","{numOfDoors=two,engineType=ohcv,height=[52;56.1]} => {XClass=1}",0.0108695654198527,1,1,1
"46","{bodyStyle=hatchback,wheelBase=[95.7;97.2],height=[50.5;51.6]} => {XClass=2}",0.0108695654198527,1,1,1
"47","{normalizedLosses=[98;Inf],driveWheels=rwd,height=[56.3;Inf]} => {XClass=0}",0.0597826093435287,0.916666686534882,1,1
"48","{normalizedLosses=[98;Inf],bodyStyle=sedan,numOfCylinders=six} => {XClass=0}",0.0380434766411781,0.875,0.5,1
"49","{normalizedLosses=[98;Inf],numOfDoors=four,driveWheels=rwd} => {XClass=0}",0.0978260859847069,0.782608687877655,1,1
"50","{} => {XClass=0}",0.326086968183517,0.326086968183517,0,0
