"","rules","support","confidence","orderedConf","orderedSupp"
"1","{numOfDoors=four,height=[52.5;55.5],horsepower=[70;86]} => {XClass=0}",0.0918918922543526,1,1,17
"2","{wheelBase=[93.1;94.5],height=[52.6;54.5],bore=[2.91;3.24]} => {XClass=1}",0.0918918922543526,1,1,17
"3","{normalizedLosses=[85;108],length=[172;187.5],height=[52.5;55.1]} => {XClass=0}",0.0864864885807037,1,1,9
"4","{numOfDoors=four,fuelSystem=2bbl,horsepower=[70;84]} => {XClass=0}",0.0810810774564743,1,1,2
"5","{numOfDoors=four,curbWeight=[1938;2191],horsepower=[62;69]} => {XClass=1}",0.0702702701091766,1,1,7
"6","{length=[168.8;170.7],bore=[3.32883977901;3.94]} => {XClass=3}",0.0648648664355278,1,1,12
"7","{bodyStyle=sedan,wheelBase=[93.1;94.5],horsepower=[55;69]} => {XClass=1}",0.0594594590365887,1,NA,0
"8","{make=peugot} => {XClass=0}",0.0540540553629398,1,1,10
"9","{bodyStyle=sedan,wheelBase=[97.3;99.1],height=[55.7;56.1]} => {XClass=2}",0.0540540553629398,1,1,10
"10","{numOfDoors=four,driveWheels=rwd,length=[175;186.7]} => {XClass=0}",0.0540540553629398,1,1,3
"11","{bodyStyle=wagon,wheelBase=[95.7;100.4]} => {XClass=0}",0.0486486479640007,1,1,5
"12","{normalizedLosses=[83;104],numOfCylinders=four,height=[55.7;56.1]} => {XClass=2}",0.0486486479640007,1,1,1
"13","{wheelBase=[95.7;96.5],length=[157.1;167.5],horsepower=[70;86]} => {XClass=0}",0.0486486479640007,1,1,2
"14","{bodyStyle=sedan,wheelBase=[93.1;94.5],height=[52.6;54.5]} => {XClass=1}",0.0486486479640007,1,NA,0
"15","{normalizedLosses=[78;110],numOfDoors=four,length=[157.1;166.3]} => {XClass=0}",0.0486486479640007,1,1,1
"16","{normalizedLosses=[65;74],wheelBase=[102.4;104.3]} => {XClass=-1}",0.0432432442903519,1,1,8
"17","{fuelType=diesel,numOfCylinders=four,bore=[3.27;3.7]} => {XClass=0}",0.0432432442903519,1,1,1
"18","{normalizedLosses=[122.493243243;161],fuelType=diesel,price=[10795;18344]} => {XClass=0}",0.0432432442903519,1,1,1
"19","{make=dodge,height=[50.6;50.8]} => {XClass=1}",0.0378378368914127,1,1,4
"20","{numOfCylinders=four,height=[48.8;50.2]} => {XClass=3}",0.0378378368914127,1,1,4
"21","{bodyStyle=hatchback,driveWheels=fwd,highwayMpg=[24;29]} => {XClass=3}",0.0378378368914127,1,1,4
"22","{make=toyota,length=[158.7;168.7],width=[63.6;64]} => {XClass=1}",0.0378378368914127,1,1,2
"23","{length=[187.8;188.8],height=[54.1;55.5]} => {XClass=-1}",0.0324324332177639,1,1,6
"24","{engineSize=98,horsepower=[102;112]} => {XClass=1}",0.0324324332177639,1,1,2
"25","{driveWheels=fwd,wheelBase=[102.4;103.3],length=[174.6;175.6]} => {XClass=-1}",0.0324324332177639,1,1,1
"26","{numOfDoors=two,bodyStyle=sedan,wheelBase=94.5} => {XClass=1}",0.0324324332177639,1,1,1
"27","{driveWheels=fwd,horsepower=[88;102],price=[6989;8558]} => {XClass=1}",0.0324324332177639,1,1,2
"28","{bodyStyle=convertible,highwayMpg=[18;29]} => {XClass=3}",0.0270270276814699,1,1,2
"29","{make=plymouth,height=[50.6;50.8]} => {XClass=1}",0.0270270276814699,1,1,1
"30","{length=[188.8;190.9],height=[56.5;58.7]} => {XClass=-1}",0.0270270276814699,1,1,2
"31","{numOfDoors=two,engineType=dohc,cityMpg=[19;21]} => {XClass=3}",0.0270270276814699,1,1,2
"32","{make=nissan,numOfDoors=four,length=[173.4;184.6]} => {XClass=0}",0.0270270276814699,1,1,1
"33","{make=toyota,driveWheels=rwd,wheelBase=98.4} => {XClass=2}",0.0270270276814699,1,1,5
"34","{driveWheels=rwd,engineType=ohc,height=[51.4;52]} => {XClass=2}",0.0270270276814699,1,1,1
"35","{aspiration=turbo,height=[50.6;51.6],highwayMpg=30} => {XClass=1}",0.0270270276814699,1,1,1
"36","{wheelBase=[93.7;94.5],engineSize=[92;98],cityMpg=[26;30]} => {XClass=1}",0.0270270276814699,1,NA,0
